Date,Time (GMT),Wind Speed (m/s),Wind Dir (deg),Wind Gust (m/s),Air Temp (°C),Baro (mb),Water Level(m)
2022/1/2,0:00,2.4,32,3.5,25.4,1009.8,0.761
2022/1/2,1:00,2.3,358,3.3,25.3,1009.9,0.916
2022/1/2,2:00,2.6,50,3.5,25,1010.3,0.947
2022/1/2,3:00,1.8,338,2.4,24.9,1010.5,0.917
2022/1/2,4:00,1.9,327,2.7,24.5,1011.1,0.815
2022/1/2,5:00,0.4,288,1.3,23.9,1011.6,0.665
2022/1/2,6:00,1.4,288,1.5,23.4,1011.7,0.56
2022/1/2,7:00,1.5,317,2,22.9,1012.1,0.403
2022/1/2,8:00,2.3,337,3,23.1,1012.5,0.37
2022/1/2,9:00,3.7,342,5.3,23.5,1012.3,0.38
2022/1/2,10:00,3.7,332,4,23.7,1011.9,0.409
2022/1/2,11:00,2.8,6,3.6,23.1,1011.5,0.432
2022/1/2,12:00,1.1,243,1.6,22.6,1011.5,0.474
2022/1/2,13:00,0.9,88,1.1,22.1,1010.5,0.434
2022/1/2,14:00,1.7,314,2.7,21.3,1010.3,0.424
2022/1/2,15:00,1.7,145,2.1,20.8,1010.4,0.272
2022/1/2,16:00,0.7,165,0.9,20.1,1010.7,0.131
2022/1/2,17:00,0.7,25,1.1,21.1,1011.2,-0.041
2022/1/2,18:00,3.3,334,4.3,23.2,1011.5,-0.15
2022/1/2,19:00,3,10,3.5,22.6,1012,-0.201
2022/1/2,20:00,4.2,6,4.9,23.9,1012.4,-0.146
2022/1/2,21:00,3.1,42,3.6,24.4,1012.5,-0.018
2022/1/2,22:00,3,11,3.5,24.2,1012.2,0.11
2022/1/2,23:00,4,6,4.4,24.5,1011.4,0.36
2022/1/3,0:00,4,5,4.6,24.8,1010.7,0.637
2022/1/3,1:00,5.1,46,6.2,24.1,1010,0.811
2022/1/3,2:00,3.4,194,4.2,25.5,1010.3,0.935
2022/1/3,3:00,5.6,3,6.1,23.9,1010.9,0.984
2022/1/3,4:00,2.6,65,4.1,23.7,1011.8,0.927
2022/1/3,5:00,1.1,65,2.6,23.1,1012.4,0.777
2022/1/3,6:00,3.1,31,3.6,23.1,1012.7,0.647
2022/1/3,7:00,3.3,347,3.8,23,1012.9,0.55
2022/1/3,8:00,2.7,359,3.2,23.2,1012.9,0.37
2022/1/3,9:00,2,328,2.7,22.7,1013,0.285
2022/1/3,10:00,1.5,332,1.8,22.5,1012.9,0.396
2022/1/3,11:00,1.6,283,2.2,22.1,1012.7,0.378
2022/1/3,12:00,2.9,349,3.3,22.3,1012.1,0.361
2022/1/3,13:00,2.3,346,3.3,23,1011.6,0.405
2022/1/3,14:00,4.4,357,5.1,23.4,1011.4,0.407
2022/1/3,15:00,4.7,356,6.1,23.4,1011.2,0.35
2022/1/3,16:00,4,358,5,23.8,1011.7,0.247
2022/1/3,17:00,4.2,356,6.1,23.9,1012.4,0.089
2022/1/3,18:00,3.3,18,4.7,23.9,1013.2,-0.052
2022/1/3,19:00,3.4,11,3.8,24,1013.7,-0.181
2022/1/3,20:00,0.7,50,1.1,24.2,1014.1,-0.194
2022/1/3,21:00,0.8,344,1.1,25.4,1013.8,-0.132
2022/1/3,22:00,6.2,206,11.4,25.3,1013.1,0.015
2022/1/3,23:00,1.7,76,2.7,25.1,1012.5,0.233
2022/1/4,0:00,3.9,172,5.9,25.6,1011.4,0.435
2022/1/4,1:00,3.2,149,4.8,26.1,1011,0.698
2022/1/4,2:00,4.4,115,5.9,26.5,1011.1,0.874
2022/1/4,3:00,3.6,60,5.7,24,1011.9,0.99
2022/1/4,4:00,2.9,52,4.2,23.9,1012.3,0.961
2022/1/4,5:00,2.5,26,3.7,24.2,1012.7,0.912
2022/1/4,6:00,1.7,291,2.2,23.1,1013.2,0.776
2022/1/4,7:00,1.1,185,1.2,22.9,1013.5,0.622
2022/1/4,8:00,1.5,166,2.6,21.7,1013.5,0.486
2022/1/4,9:00,1.8,170,2.5,20.9,1013.7,0.39
2022/1/4,10:00,0,299,0,21.7,1013.2,0.312
2022/1/4,11:00,0.6,155,1.1,21,1013.2,0.311
2022/1/4,12:00,0.5,229,1,21.3,1013,0.358
2022/1/4,13:00,0.8,165,1.8,20.3,1012.5,0.4
2022/1/4,14:00,0.6,101,1.5,20.3,1012.3,0.418
2022/1/4,15:00,0.8,176,1.5,20.1,1012.4,0.429
2022/1/4,16:00,0.5,183,0.9,20.9,1012.7,0.341
2022/1/4,17:00,0.8,234,1.6,21.7,1013.2,0.217
2022/1/4,18:00,1.5,233,3,23.3,1013.7,0.105
2022/1/4,19:00,4.7,200,6.6,24,1014.3,-0.054
2022/1/4,20:00,5.6,183,8.2,25.5,1014.2,-0.154
2022/1/4,21:00,6.3,205,9.1,25.5,1014,-0.174
2022/1/4,22:00,7.2,189,8.7,25.2,1013.1,-0.066
2022/1/4,23:00,7.6,192,9.2,25.2,1012.5,0.094
2022/1/5,0:00,7.1,195,9.7,24.8,1012,0.287
2022/1/5,1:00,7.1,188,10.3,25.2,1011.8,0.552
