Date,Time (GMT),Wind Speed (m/s),Wind Dir (deg),Wind Gust (m/s),Air Temp (°C),Baro (mb),Water Level(m)
2022/1/1,0:00,8.1,289,9.5,13.5,1007.3,0.709
2022/1/1,1:00,6.4,272,8.3,13.4,1007.4,0.667
2022/1/1,2:00,5.8,278,7.2,13.2,1008.1,0.77
2022/1/1,3:00,4.7,275,6.5,13.1,1008.7,1.03
2022/1/1,4:00,5.5,254,6.4,13.3,1009.4,1.4
2022/1/1,5:00,6,231,6.5,13.5,1009.9,1.747
2022/1/1,6:00,5.8,230,7.1,13.5,1010.9,2.052
2022/1/1,7:00,3.4,224,5.1,13.5,1011.6,2.169
2022/1/1,8:00,3.2,183,3.8,13.2,1011.5,2.079
2022/1/1,9:00,2.9,163,3.6,12.7,1012.2,1.76
2022/1/1,10:00,1.9,134,2.2,12.9,1012.9,1.299
2022/1/1,11:00,2.6,139,3.3,12.5,1013.3,0.721
2022/1/1,12:00,2.2,123,3.1,12.1,1013.7,0.177
2022/1/1,13:00,2.9,104,4.4,11.5,1014.5,-0.266
2022/1/1,14:00,2.9,108,4.1,11.5,1015.7,-0.507
2022/1/1,15:00,4.6,89,5.5,11.7,1016.7,-0.514
2022/1/1,16:00,3.7,98,4.8,12.1,1017.6,-0.317
2022/1/1,17:00,2.3,85,3.5,14,1018.5,0.069
2022/1/1,18:00,0.6,147,3.7,16,1019.3,0.465
2022/1/1,19:00,2.4,265,3.6,15.1,1019.2,0.829
2022/1/1,20:00,5.6,256,6.1,14.5,1018.9,1.078
2022/1/1,21:00,5.1,229,6.4,14.7,1018.9,1.142
2022/1/1,22:00,4.4,235,5.5,14.7,1019.3,1.059
2022/1/1,23:00,3.8,235,4.5,14.7,1020,0.894
2022/1/2,0:00,1.8,252,2.4,15.1,1020.6,0.718
2022/1/2,1:00,1.5,354,1.7,14.4,1021.6,0.599
2022/1/2,2:00,1,37,1.4,14.1,1022,0.605
2022/1/2,3:00,1.6,29,1.9,13.2,1022.6,0.768
2022/1/2,4:00,1.2,176,1.7,12.8,1023.3,1.041
2022/1/2,5:00,1.4,169,1.7,12.6,1023.9,1.396
2022/1/2,6:00,0.8,48,1.2,11.7,1024,1.77
2022/1/2,7:00,3.4,108,5.6,10.2,1023.9,2.062
2022/1/2,8:00,3.6,91,4.7,11.1,1024,2.157
2022/1/2,9:00,4,97,4.4,11,1023.7,2.029
2022/1/2,10:00,2.3,88,2.9,11.5,1023.9,1.687
2022/1/2,11:00,1,113,1.9,10.1,1024.2,1.168
2022/1/2,12:00,3.5,84,4.3,10.4,1024,0.581
2022/1/2,13:00,3.9,88,4.5,10.6,1024,0.033
2022/1/2,14:00,3.6,91,4.1,9.8,1024.1,-0.383
2022/1/2,15:00,5.3,101,5.8,8.6,1024.5,-0.57
2022/1/2,16:00,4.8,103,5.7,9.9,1025,-0.522
2022/1/2,17:00,2.6,111,3.9,12.2,1025.6,-0.27
2022/1/2,18:00,1.3,2,1.6,14.3,1025.9,0.127
2022/1/2,19:00,1.9,6,2.3,13.6,1025.2,0.558
2022/1/2,20:00,1.1,342,1.3,14.5,1023.4,0.922
2022/1/2,21:00,1.1,335,1.5,14.7,1022,1.127
2022/1/2,22:00,1.4,324,1.9,15.7,1021.4,1.161
2022/1/2,23:00,2.1,319,2.6,15.4,1020.8,1.06
2022/1/3,0:00,3.7,319,4.5,14.8,1020.8,0.891
2022/1/3,1:00,4.1,343,4.5,14,1020.6,0.717
2022/1/3,2:00,3.3,326,3.7,14.2,1020.8,0.615
2022/1/3,3:00,2.5,29,2.7,13.7,1021.2,0.632
2022/1/3,4:00,1.1,37,1.7,13.6,1021.7,0.839
2022/1/3,5:00,2.8,89,3.6,11.9,1021.9,1.116
2022/1/3,6:00,0.6,122,1.1,11.8,1022.2,1.492
2022/1/3,7:00,0.7,84,1.1,11.9,1022.3,1.862
2022/1/3,8:00,1.3,169,1.5,11.5,1022,2.117
2022/1/3,9:00,1,150,1.3,11.1,1021.5,2.179
2022/1/3,10:00,3.6,102,4.3,9.3,1021.4,2.007
2022/1/3,11:00,3.3,106,3.9,9.4,1021.6,1.601
2022/1/3,12:00,5.4,101,5.8,8.8,1020.7,1.058
2022/1/3,13:00,4.1,106,4.9,8.9,1021,0.454
2022/1/3,14:00,3,97,3.5,9.2,1021.4,-0.053
2022/1/3,15:00,4.5,102,4.9,8.9,1021.2,-0.428
2022/1/3,16:00,0.8,126,0.9,13.4,1022.4,-0.578
2022/1/3,17:00,1,175,1.3,13.7,1022.9,-0.48
2022/1/3,18:00,0.4,283,0.9,15.4,1023.2,-0.213
2022/1/3,19:00,0.5,315,1.4,14.3,1023.1,0.202
2022/1/3,20:00,2,340,2.3,13.6,1022.5,0.621
2022/1/3,21:00,1.2,318,1.7,14,1021.8,0.939
2022/1/3,22:00,1.5,300,2.2,14.9,1021.5,1.155
2022/1/3,23:00,1.9,316,2.3,14.6,1021.4,1.166
2022/1/4,0:00,2.7,301,3.6,14.8,1021.6,1.055
2022/1/4,1:00,2.9,333,3.6,13.8,1021.9,0.86
2022/1/4,2:00,2.4,23,2.8,13.3,1022.3,0.677
2022/1/4,3:00,2.3,34,3.1,12.8,1022.6,0.586
2022/1/4,4:00,2.2,33,2.5,12.7,1023.1,0.622
2022/1/4,5:00,1.8,36,2.5,12.9,1023.8,0.804
2022/1/4,6:00,0.6,175,0.9,11.8,1023.7,1.117
2022/1/4,7:00,1.5,88,1.8,11.5,1023.5,1.462
2022/1/4,8:00,0.7,133,1,10.8,1023.5,1.803
2022/1/4,9:00,0.5,101,0.7,11,1023.5,2.01
