Metric,Value,Station,Month
R2,0.7562268557336552,Burlington Station,_12
RMSE,0.3845069393987899,Burlington Station,_12
MAE,0.3372142002317072,Burlington Station,_12
R2,0.7567422871538381,Burlington Station,_3
RMSE,0.3918446000480057,Burlington Station,_3
MAE,0.3512764787186271,Burlington Station,_3
R2,0.74297523491728,Burlington Station,_6
RMSE,0.4091505730020128,Burlington Station,_6
MAE,0.3652055529368135,Burlington Station,_6
R2,0.7359051736495441,Burlington Station,_9
RMSE,0.4030660837935942,Burlington Station,_9
MAE,0.3560526358828157,Burlington Station,_9
R2,0.8648274908318975,HONOLULU Station,_12
RMSE,0.0741392928858133,HONOLULU Station,_12
MAE,0.0601633204598568,HONOLULU Station,_12
R2,0.819426653614992,HONOLULU Station,_3
RMSE,0.0699295860168824,HONOLULU Station,_3
MAE,0.0577467287927217,HONOLULU Station,_3
R2,0.8667051548725244,HONOLULU Station,_6
RMSE,0.0702085148407302,HONOLULU Station,_6
MAE,0.0566054922730909,HONOLULU Station,_6
R2,0.8281397193502024,HONOLULU Station,_9
RMSE,0.0708854394029948,HONOLULU Station,_9
MAE,0.0577494724494325,HONOLULU Station,_9
R2,0.841126953303229,KAHUKUI Station,_12
RMSE,0.0922285323346301,KAHUKUI Station,_12
MAE,0.0734020922820032,KAHUKUI Station,_12
R2,0.776137584478023,KAHUKUI Station,_3
RMSE,0.0975029853352526,KAHUKUI Station,_3
MAE,0.0803283346195212,KAHUKUI Station,_3
R2,0.8551326773213986,KAHUKUI Station,_6
RMSE,0.0888457620771124,KAHUKUI Station,_6
MAE,0.0723509694729796,KAHUKUI Station,_6
R2,0.7844562585582397,KAHUKUI Station,_9
RMSE,0.0957295946108205,KAHUKUI Station,_9
MAE,0.0775605821394541,KAHUKUI Station,_9
R2,0.8401285921277263,LaJolla Station,_12
RMSE,0.2073031382721561,LaJolla Station,_12
MAE,0.1739105596155713,LaJolla Station,_12
R2,0.8094037070679905,LaJolla Station,_3
RMSE,0.2143703416022298,LaJolla Station,_3
MAE,0.1792511586468314,LaJolla Station,_3
R2,0.8288760251638367,LaJolla Station,_6
RMSE,0.2123142942763243,LaJolla Station,_6
MAE,0.1735578948755708,LaJolla Station,_6
R2,0.788157502253402,LaJolla Station,_9
RMSE,0.220256359709492,LaJolla Station,_9
MAE,0.1788811627687329,LaJolla Station,_9
R2,0.8702440909111102,Nawiliwili Station,_12
RMSE,0.0708769462207352,Nawiliwili Station,_12
MAE,0.0582514969318416,Nawiliwili Station,_12
R2,0.8231128636581054,Nawiliwili Station,_3
RMSE,0.0703740478631304,Nawiliwili Station,_3
MAE,0.0580683773631731,Nawiliwili Station,_3
R2,0.8752494025261834,Nawiliwili Station,_6
RMSE,0.0702529226873494,Nawiliwili Station,_6
MAE,0.0571699816439897,Nawiliwili Station,_6
R2,0.817800417246712,Nawiliwili Station,_9
RMSE,0.0738185789932736,Nawiliwili Station,_9
MAE,0.0600762303445032,Nawiliwili Station,_9
