IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,IMF10,IMF11,IMF12,IMF13,Residual,IMF1-13,IMF1-R
-0.49148604,-0.004908885,0.03061064,0.48017702,1.0613561,-0.07322125,0.5127581,0.24198203,0.21375655,0.5942119,-0.33763438,-0.30091944,0.51043904,1.9467834,4.383904785,2.437121385
-0.022170788,0.048588496,0.059962332,0.06679615,0.73602074,-0.15134896,0.42060462,0.21556231,0.20664428,0.59590745,-0.33933112,-0.30101892,0.51072025,1.9467602,3.99369704,2.04693684
-0.13974065,-0.020337917,-0.009461839,-0.32019472,0.39073277,-0.23302867,0.32580858,0.18885998,0.1994429,0.5975158,-0.34101638,-0.30111665,0.5110019,1.9467372,2.795202304,0.848465104
0.1546715,-0.046233814,-0.22563948,-0.6444387,0.054270245,-0.3128392,0.22900891,0.16192791,0.19216374,0.5990366,-0.34269017,-0.3012125,0.5112839,1.9467142,1.976023141,0.029308941
0.42760628,-0.03864896,-0.2294297,-0.8186266,-0.25596824,-0.39185494,0.13083072,0.1348084,0.1848175,0.6004696,-0.34435254,-0.30130646,0.5115662,1.9466912,1.55660246,-0.39008874
-0.27066818,-0.00544186,-0.01456966,-0.8595731,-0.5260558,-0.46053848,0.03196481,0.10755175,0.17741552,0.60181457,-0.34600347,-0.30139858,0.5118489,1.9466679,0.59301432,-1.35365358
-0.22352575,0.009912435,0.0909494,-0.7170036,-0.73373646,-0.5166516,-0.07203433,0.080210835,0.16996752,0.6030714,-0.34764296,-0.30148882,0.512132,1.9466449,0.50080497,-1.44583993
0.20016037,-0.010997854,0.14103833,-0.52119356,-0.8886189,-0.5595262,-0.17846243,0.052835952,0.16248211,0.60424006,-0.34927106,-0.30157727,0.5124154,1.9466219,0.810146848,-1.136475052
0.1111383,-0.020439541,0.001571019,-0.29230797,-1.0028306,-0.5885552,-0.2837382,0.025476769,0.154967,0.6053206,-0.35088784,-0.30166382,0.5126992,1.9465989,0.517348617,-1.429250283
-0.006943133,-0.009160745,-0.14452395,-0.05868207,-1.1037332,-0.60430425,-0.38735142,-0.001805513,0.14742959,0.6063129,-0.3524932,-0.30174848,0.5129834,1.9465759,0.242555829,-1.704020071
-0.108628005,-0.008670312,-0.15817517,0.13828857,-1.1712561,-0.60777855,-0.48871705,-0.028935598,0.13987659,0.6072167,-0.3540872,-0.30183133,0.5132679,1.9465529,0.117123345,-1.829429555
0.11865812,-0.008227375,-0.11602108,0.34205437,-1.1789006,-0.5989989,-0.58722913,-0.055835623,0.13231541,0.6080323,-0.3556699,-0.30191228,0.5135527,1.9465299,0.458347912,-1.488181988
0.093014844,-0.001729167,0.04947721,0.45571914,-1.1135163,-0.57691294,-0.6824143,-0.08242404,0.12475177,0.6087596,-0.3572351,-0.30199134,0.513838,1.9465069,0.675844277,-1.270662623
-0.2164976,0.005954039,0.11448148,0.42131528,-0.97236186,-0.54181266,-0.7739598,-0.108612575,0.11719258,0.60939884,-0.35875267,-0.30206862,0.51412356,1.9464839,0.454883894,-1.491600006
0.09983072,-0.011689855,0.058286842,0.3622561,-0.7757246,-0.4950926,-0.8615871,-0.1343136,0.10962002,0.60994977,-0.36025938,-0.30214393,0.5144095,1.9464607,0.760002587,-1.186458113
0.13821866,-0.02711871,-0.040994544,0.25844046,-0.543439,-0.43882504,-0.94507325,-0.15944555,0.101707,0.6104127,-0.3617553,-0.30221736,0.51469576,1.9464377,0.751043526,-1.195394174
0.09334616,-0.015412542,-0.100948855,0.064627185,-0.2943306,-0.37465894,-1.0242782,-0.18394566,0.09382047,0.61078733,-0.36324042,-0.302289,0.51498246,1.9464147,0.664874088,-1.281540612
-0.16818494,-0.002461411,-0.08785787,-0.1537096,-0.05662677,-0.30394563,-1.0990487,-0.2077671,0.08596786,0.6110741,-0.36471477,-0.30235875,0.5152695,1.9463917,0.412027619,-1.534364081
0.07213586,-0.011768837,-0.055741433,-0.3073497,0.15667073,-0.2288512,-1.169074,-0.23087788,0.07815735,0.61127317,-0.36617854,-0.30242658,0.5155569,1.9463687,0.70789454,-1.23847416
