IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,IMF10,IMF11,IMF12,IMF13,IMF14,Residual,Pre
0.000909378,4.44E-05,-0.2612714,-0.09839018,0.11627069,0.03389569,0.001187356,-0.043438997,-0.03669445,-0.031305015,0.051280223,-0.003151569,-0.030458676,0.02298455,1.321799,1.043660951
0.007750948,-0.000969955,0.09040965,0.009860827,0.13966344,0.032272313,-0.000250637,-0.04463441,-0.037044488,-0.031178081,0.051314276,-0.003280527,-0.030447263,0.02296783,1.3218039,1.528237823
0.001663398,-0.007463728,0.41800785,0.11836156,0.15717822,0.02951414,-0.001822133,-0.045744363,-0.0373677,-0.031049991,0.051347025,-0.003409408,-0.030435821,0.022951124,1.3218088,1.963538973
0.001938894,-0.002895046,0.5643137,0.2290294,0.16801493,0.025788918,-0.003511243,-0.046769086,-0.037663724,-0.030920785,0.051378455,-0.003538213,-0.03042434,0.022934416,1.3218136,2.229489876
0.018968055,0.006364481,0.504937,0.2867363,0.17123513,0.021485703,-0.005277549,-0.047707725,-0.03793221,-0.030790413,0.05140858,-0.003666937,-0.03041283,0.02291771,1.3218185,2.250083795
0.004792816,0.003673333,0.3779275,0.2556621,0.16442457,0.017065423,-0.007091573,-0.04855859,-0.038172737,-0.030658867,0.051437385,-0.003795579,-0.030401286,0.022901013,1.3218234,2.061028907
-0.002658109,-0.00169673,0.18069673,0.15551239,0.14526615,0.012906993,-0.008927205,-0.049320072,-0.038385022,-0.030526124,0.05146488,-0.003924136,-0.030389704,0.022884319,1.3218282,1.72473256
-0.002128082,-0.00338377,-0.024492811,0.026008576,0.1133743,0.008918337,-0.010744236,-0.049990125,-0.038568873,-0.03039216,0.05149106,-0.004052611,-0.030378098,0.022867622,1.321833,1.350362129
-0.005098695,-0.003573778,-0.17735904,-0.09597938,0.072789006,0.004721143,-0.012496335,-0.050565753,-0.038724072,-0.030256972,0.051515914,-0.00418101,-0.030366449,0.022850938,1.3218379,1.025113418
-2.48E-05,0.002095209,-0.3438013,-0.18946934,0.029777419,-0.000129213,-0.014132282,-0.051044386,-0.03885048,-0.03012051,0.051539455,-0.004309322,-0.030354772,0.022834247,1.3218428,0.725852737
0.002876339,0.004724465,-0.51120025,-0.23779297,-0.009903863,-0.005811734,-0.015619193,-0.05142531,-0.038948104,-0.029982775,0.05156165,-0.004437554,-0.030343048,0.022817569,1.3218477,0.468362922
-0.02047349,-0.003702454,-0.60403544,-0.21530376,-0.04297005,-0.012252594,-0.016924476,-0.051709,-0.039016996,-0.029843725,0.051582534,-0.004565709,-0.030331306,0.022800885,1.3218524,0.325106819
-0.021923184,-0.008690492,-0.54693323,-0.15091166,-0.069028266,-0.0189711,-0.018012833,-0.051898036,-0.03905726,-0.029703366,0.051602084,-0.004693783,-0.030319529,0.022784216,1.3218573,0.406100861
0.005290947,-0.0032056,-0.27644503,-0.07569014,-0.0897176,-0.025433213,-0.01885146,-0.0519972,-0.03906891,-0.029561663,0.0516203,-0.004821766,-0.03030771,0.022767538,1.3218622,0.756440692
0.016291073,0.004586588,0.07692966,0.023593266,-0.107121095,-0.031058917,-0.019407501,-0.05201143,-0.039052017,-0.029418597,0.051637173,-0.004949673,-0.030295856,0.022750882,1.321867,1.204340556
0.017365078,0.003220728,0.4354433,0.1372023,-0.12099887,-0.03527709,-0.01965384,-0.051945105,-0.039006565,-0.029274186,0.05165271,-0.005077493,-0.030283978,0.022734214,1.3218718,1.657973002
0.01883059,-0.000643249,0.64999896,0.21204631,-0.13005695,-0.037683193,-0.019587386,-0.05180152,-0.03893257,-0.029128449,0.0516669,-0.005205247,-0.030272055,0.022717552,1.3218766,1.933826293
0.022703735,-0.001046181,0.6117458,0.22879164,-0.13309631,-0.038096663,-0.019216182,-0.051584188,-0.038830537,-0.028981378,0.05167974,-0.0053329,-0.030260105,0.022700902,1.3218814,1.913058773
0.006335996,-0.005819963,0.39883512,0.18910563,-0.12879226,-0.036359083,-0.01856156,-0.051297314,-0.038701016,-0.02883297,0.051691223,-0.005460477,-0.030248126,0.02268425,1.3218863,1.646465749
-0.00549695,-0.009966598,0.12798865,0.107161015,-0.116987236,-0.032373123,-0.017662356,-0.050944235,-0.03854468,-0.028683247,0.051701367,-0.005587969,-0.030236103,0.0226676,1.3218911,1.294927235
-0.004948034,0.00047,-0.16755505,0.004140351,-0.09778866,-0.026493145,-0.016570916,-0.050525814,-0.03836212,-0.028532231,0.051710155,-0.005715378,-0.030224051,0.02265096,1.321896,0.934152067
-0.005317899,0.0098495,-0.40423864,-0.09819475,-0.07268173,-0.019418387,-0.015314604,-0.050042335,-0.038153853,-0.028379856,0.051717564,-0.005842711,-0.030211965,0.022634316,1.3219007,0.63830535
-0.0043101,0.004008116,-0.600759,-0.1726833,-0.043564077,-0.011744183,-0.01391063,-0.049495447,-0.037920393,-0.028226143,0.051723626,-0.005969954,-0.030199843,0.022617681,1.3219056,0.401471953
-0.039524205,-0.012720902,-0.63268304,-0.19584747,-0.013102021,-0.003957795,-0.012386617,-0.048886523,-0.03766212,-0.028071113,0.05172831,-0.006097115,-0.030187696,0.022601053,1.3219104,0.335113147
-0.000823297,-0.005653177,-0.5192749,-0.15139753,0.01685615,0.00349632,-0.010775113,-0.048216354,-0.03737949,-0.027914722,0.051731627,-0.0062242,-0.030175509,0.022584425,1.3219153,0.57874953
-0.006016233,0.002496836,-0.2115002,-0.07361812,0.044831082,0.010108471,-0.009131321,-0.047485854,-0.037072897,-0.02775702,0.05173358,-0.006351199,-0.03016329,0.022567803,1.32192,1.004561638
0.004770646,-0.002167652,0.23062319,-0.001704698,0.06958135,0.015778057,-0.007505485,-0.04669616,-0.03674278,-0.027597986,0.051734153,-0.006478122,-0.03015103,0.02255118,1.3219249,1.557919563
0.016663652,0.004891982,0.49757668,0.07006901,0.08977918,0.020415096,-0.005953504,-0.045846947,-0.036389627,-0.02743766,0.051733356,-0.006604953,-0.030138742,0.022534562,1.3219297,1.943221785
0.017546806,0.004186006,0.6791846,0.14749415,0.10452616,0.024004558,-0.004514323,-0.04493681,-0.03601395,-0.02727601,0.05173116,-0.006731708,-0.030126428,0.022517957,1.3219346,2.223526768
0.03229053,0.007381457,0.62690914,0.18760924,0.11212632,0.026638897,-0.003187212,-0.04396495,-0.035616167,-0.027113086,0.051727604,-0.006858382,-0.030114062,0.022501351,1.3219393,2.24226998
0.013338482,-0.00102435,0.47229928,0.1628157,0.11065133,0.028402274,-0.001952394,-0.04293174,-0.035196725,-0.026948897,0.051722664,-0.00698497,-0.03010168,0.02248474,1.3219441,2.038517815
0.001801768,-0.010674012,0.25137016,0.0739733,0.10070894,0.029354334,-0.000793956,-0.04183736,-0.034755934,-0.026783448,0.05171635,-0.007111482,-0.030089246,0.022468146,1.321949,1.70129656
-0.002398563,-0.009595265,-0.003328002,-0.029100038,0.08459931,0.02953731,0.000295479,-0.040682252,-0.03429425,-0.026616743,0.051708635,-0.007237917,-0.03007679,0.022451546,1.3219538,1.32721626
-0.000799092,0.001832691,-0.2728184,-0.09722275,0.06464458,0.028805576,0.001318855,-0.039467774,-0.033812165,-0.026448812,0.051699568,-0.007364252,-0.0300643,0.022434952,1.3219585,0.984697177
-0.003030841,0.004671881,-0.48996642,-0.13663065,0.043371532,0.026958171,0.002270059,-0.03819612,-0.033310127,-0.026279645,0.051689107,-0.007490524,-0.030051775,0.022418369,1.3219634,0.708386417
-0.008440605,-0.004856229,-0.65199804,-0.15736556,0.022010224,0.023804238,0.003130058,-0.03686829,-0.032788858,-0.026109278,0.051677264,-0.007616711,-0.03003922,0.02240178,1.3219682,0.488908973
-0.0362679,-0.011051791,-0.68065655,-0.15716629,0.001989781,0.019286357,0.003877245,-0.035483737,-0.032249067,-0.025937729,0.051664073,-0.007742816,-0.030026628,0.022385202,1.321973,0.40459315
5.08E-05,-0.004747673,-0.482196,-0.11627501,-0.015043109,0.013524052,0.004473084,-0.03404127,-0.031691544,-0.025764989,0.05164948,-0.007868836,-0.030013999,0.02236862,1.3219779,0.66640155
-0.006148117,0.003901045,-0.13798504,-0.03161857,-0.027942033,0.006859666,0.004864856,-0.0325393,-0.03111725,-0.025591139,0.05163351,-0.007994788,-0.030001333,0.022352047,1.3219826,1.080656153
0.013132247,0.001979962,0.2638257,0.07274077,-0.036715627,-0.000389683,0.005007814,-0.030975603,-0.030527037,-0.02541615,0.05161619,-0.00812065,-0.029988647,0.022335486,1.3219875,1.590492272
0.010339517,-0.001653142,0.6066272,0.14387977,-0.043151528,-0.007579219,0.004884162,-0.029347625,-0.029921975,-0.025240118,0.051597476,-0.008246435,-0.02997592,0.022318926,1.3219923,1.986523389
0.014131299,-0.003708113,0.7680758,0.15964413,-0.048903007,-0.013908705,0.004500111,-0.02765419,-0.029302943,-0.025063021,0.05157738,-0.008372139,-0.029963156,0.022302365,1.3219972,2.155353011
0.01620526,0.002599386,0.6305744,0.14185952,-0.05584876,-0.01873498,0.003859622,-0.025896536,-0.02867104,-0.024884958,0.051555935,-0.008497757,-0.029950364,0.022285806,1.3220019,1.998457434
0.003750254,-0.002290342,0.37410614,0.09921319,-0.06099354,-0.02173894,0.002950197,-0.024077669,-0.028027443,-0.024705883,0.051533125,-0.008623309,-0.02993753,0.022269256,1.3220067,1.675434207
-0.000939686,-0.009395503,0.08673124,0.031427473,-0.060220852,-0.02269127,0.001762801,-0.022200624,-0.027373334,-0.024525799,0.051508915,-0.008748769,-0.02992467,0.022252707,1.3220115,1.309674129
-0.001507944,-0.001730186,-0.20629556,-0.049625102,-0.0525356,-0.021513598,0.000326095,-0.020268874,-0.026709894,-0.024344731,0.05148337,-0.008874157,-0.029911764,0.022236168,1.3220162,0.952744423
0.00725753,0.00731838,-0.48203456,-0.11050446,-0.039577287,-0.018495895,-0.001291858,-0.018286122,-0.026038302,-0.024162645,0.051456444,-0.008999465,-0.02989884,0.02221963,1.322021,0.650983551
