IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,IMF10,IMF11,IMF12,IMF13,Residual,Pred
-0.008058793,0.000389487,0.02689786,0.0198403,-0.08123554,-0.001920372,0.005595134,0.009355536,0.011431963,-5.77E-05,0.004054648,0.018544098,0.047515783,0.37825614,0.430608525
5.04E-05,0.002790576,0.06861617,0.053896878,-0.085878,-0.002842395,0.005571538,0.008814852,0.011416156,-7.15E-05,0.003977807,0.018454082,0.047516648,0.378262,0.510575207
-0.000882296,0.001091876,0.09957459,0.07455099,-0.086091004,-0.003288731,0.005489037,0.008272789,0.011394917,-8.57E-05,0.003900866,0.018363917,0.0475175,0.37826785,0.558076609
-0.004958145,-0.001019575,0.09353622,0.07078304,-0.08082012,-0.003280689,0.005345524,0.007730127,0.011368011,-0.000100422,0.003823834,0.018273642,0.047518317,0.37827367,0.546473435
-0.001253864,-0.00115037,0.05765416,0.047397155,-0.070396915,-0.002917027,0.005154986,0.007187273,0.01133521,-0.000115672,0.003746708,0.01818323,0.047519103,0.37827945,0.500623428
-0.006896139,-0.000203833,0.008815548,0.011881479,-0.055587877,-0.002345389,0.004920411,0.006643297,0.011296216,-0.000131458,0.003669492,0.018092697,0.047519866,0.37828517,0.42595948
-0.011006163,5.26E-05,-0.059504684,-0.026085895,-0.038094193,-0.001716105,0.004623002,0.006096319,0.011250827,-0.000147823,0.003592192,0.018002057,0.047520615,0.37829074,0.332873484
-0.006402626,-0.002510055,-0.087374076,-0.056049857,-0.01909445,-0.001117289,0.004260808,0.005549299,0.011198866,-0.000164753,0.003514811,0.017911267,0.047521327,0.3782963,0.295539573
-0.007853581,-0.000632578,-0.111726806,-0.06988395,0.000759099,-0.000607045,0.003836425,0.005001601,0.011140138,-0.000182248,0.00343736,0.017820353,0.047522023,0.3783018,0.276932591
-0.007036516,-0.000490858,-0.09058798,-0.062774,0.020315235,-0.00018604,0.003353498,0.004453367,0.01107444,-0.000200325,0.003359825,0.01772932,0.04752269,0.37830716,0.324839816
-0.008843137,-0.000267391,-0.045156717,-0.04135647,0.04084654,0.000148816,0.002821383,0.003903355,0.011001573,-0.000218983,0.003282225,0.01763817,0.047523335,0.37831244,0.409635139
-0.005211082,0.001057307,0.003396235,-0.013120263,0.05845865,0.000453815,0.002253257,0.003353477,0.010921374,-0.000238227,0.003204555,0.017546898,0.047523953,0.37831762,0.507917569
-0.00356439,-0.000736563,0.072104536,0.010948502,0.07100889,0.000765896,0.001670313,0.002805384,0.010833673,-0.000258061,0.003126823,0.017455505,0.047524553,0.3783227,0.612007759
-0.005225102,-0.001685681,0.12060962,0.028588755,0.077188104,0.001049393,0.001082499,0.002259967,0.010738316,-0.000278494,0.003049029,0.017363982,0.047525123,0.37832776,0.680593271
-0.002471522,-0.000380431,0.14204872,0.051932674,0.07729112,0.001258179,0.000509494,0.001720001,0.010635276,-0.000299515,0.00297118,0.017272336,0.047525663,0.37833273,0.728345906
-0.002123962,0.002747239,0.10993193,0.06381308,0.07127563,0.001330217,-2.88E-05,0.00118699,0.010524623,-0.000321134,0.00289328,0.01718058,0.047526192,0.37833762,0.704273513
-0.002629367,0.001486287,0.06701491,0.053670384,0.058028482,0.001249914,-0.000516513,0.000661686,0.010406507,-0.000343472,0.002815328,0.017088704,0.04752668,0.37834248,0.63480201
-0.008198744,-0.001462026,0.017551832,0.023683792,0.03843155,0.001073238,-0.000944438,0.000147449,0.010281026,-0.000366421,0.002737333,0.016996704,0.047527153,0.3783473,0.525805748
-0.002874466,-0.001492582,-0.038787223,-0.015423956,0.015032913,0.000834551,-0.001308626,-0.00035585,0.010148352,-0.000389981,0.002659293,0.01690458,0.047527608,0.37835214,0.410826752
-0.003839969,0.000207779,-0.09339426,-0.048262205,-0.009169407,0.000578653,-0.001611917,-0.000853077,0.010008669,-0.000414152,0.002581218,0.016812349,0.047528036,0.37835696,0.298528677
-0.004333975,-0.002087522,-0.13551438,-0.06077696,-0.028474648,0.000397592,-0.001862183,-0.001337928,0.009858057,-0.000438948,0.002503108,0.016720003,0.04752844,0.37836176,0.220542416
-0.013075353,-0.004396477,-0.15340367,-0.060870692,-0.044389404,0.000371217,-0.002067582,-0.001808243,0.00970064,-0.000464357,0.002424966,0.016627524,0.047528807,0.3783666,0.174543975
-0.000994118,-0.003113533,-0.13657784,-0.04873975,-0.056343134,0.00056901,-0.002238924,-0.002261983,0.0095366,-0.000490394,0.002346798,0.016534947,0.047529172,0.37837136,0.20412821
-0.008081256,-0.001236485,-0.06377726,-0.029856095,-0.064486176,0.001010282,-0.002390995,-0.002696708,0.009366058,-0.000517059,0.002268602,0.016442241,0.04752949,0.37837616,0.2819508
-0.004859066,0.001035288,0.01839898,-0.003948927,-0.06940246,0.001640048,-0.002538794,-0.003109796,0.009189159,-0.00054435,0.002190387,0.016349426,0.0475298,0.37838092,0.390310615
