IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,IMF10,IMF11,IMF12,IMF13,Residual,
0.036213335,0.007670009,0.172501219,0.082704394,-0.067337014,0.008214992,0.002895056,0.006547766,0.00937595,0.006169143,0.016143579,-0.012957541,0.055703887,0.836155224,1
0.007324258,0.00431724,0.0198994,0.028385508,-0.118404323,0.00975218,0.002265932,0.006622758,0.009687891,0.006253259,0.016093926,-0.012998,0.055637876,0.836162096,2
-0.002965087,-0.000897105,-0.133086903,-0.040671617,-0.163038495,0.010359518,0.001514305,0.006706881,0.009995094,0.006337034,0.016043814,-0.013038259,0.055571854,0.836168965,3
-0.04067138,-0.005926158,-0.257004889,-0.103002384,-0.194175225,0.010029891,0.000635306,0.006800354,0.010297457,0.00642045,0.015993241,-0.013078318,0.055505822,0.836175832,4
-0.045081047,-0.002377479,-0.354009226,-0.134138867,-0.206349926,0.008873782,-0.000364825,0.006902674,0.010594923,0.006503487,0.015942206,-0.013118176,0.055439779,0.836182696,5
-0.046441464,-0.001946257,-0.34589427,-0.122658138,-0.201564329,0.007196936,-0.001475352,0.00701314,0.010887459,0.00658612,0.015890707,-0.013157833,0.055373726,0.836189557,6
-0.047500771,-0.007630676,-0.243697629,-0.080446484,-0.184530469,0.005373204,-0.002687165,0.007131109,0.011175033,0.006668319,0.015838742,-0.013197291,0.055307662,0.836196416,7
-0.028716637,-0.007722707,-0.077739089,-0.017464907,-0.159530847,0.003707442,-0.003991957,0.007256452,0.011457582,0.006750046,0.015786311,-0.013236549,0.055241587,0.836203273,8
0.028171884,0.004450264,0.064925918,0.041813594,-0.127298932,0.002506261,-0.005368172,0.007389442,0.011735047,0.006831261,0.01573341,-0.013275607,0.055175503,0.836210126,9
0.032239432,-0.001971425,0.277518189,0.072928183,-0.086972841,0.001897444,-0.00678069,0.007530437,0.012007386,0.006911923,0.01568004,-0.013314464,0.055109408,0.836216978,10
0.060730546,-0.000743165,0.369707435,0.095420674,-0.041236286,0.001827343,-0.008192968,0.00767963,0.012274595,0.006991991,0.015626198,-0.013353123,0.055043304,0.836223826,11
0.036578655,0.002697317,0.376425597,0.107567509,0.006359518,0.002106689,-0.00956888,0.007837256,0.012536756,0.007071419,0.015571883,-0.013391581,0.054977189,0.836230672,12
0.029146778,0.003840453,0.266766035,0.089175306,0.051284066,0.002476639,-0.010873692,0.008004434,0.012793984,0.007150164,0.015517094,-0.01342984,0.054911064,0.836237516,13
0.030477011,-0.000258847,0.110925253,0.048136407,0.089593047,0.002665621,-0.012078849,0.008182591,0.013046365,0.007228186,0.015461829,-0.0134679,0.05484493,0.836244356,14
-0.009096116,-0.000126857,-0.103349335,0.000796396,0.120660765,0.002373866,-0.013161359,0.008372952,0.013293934,0.007305449,0.015406086,-0.013505761,0.054778786,0.836251195,15
-0.061082759,-0.009077418,-0.232637273,-0.057113024,0.144228316,0.001513304,-0.01410302,0.008576171,0.01353668,0.00738192,0.015349863,-0.013543422,0.054712632,0.83625803,16
-0.013508044,-0.00271535,-0.381070201,-0.093021639,0.157474554,8.94E-05,-0.014896621,0.008792175,0.013774536,0.007457566,0.01529316,-0.013580884,0.054646469,0.836264863,17
