IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,IMF10,IMF11,IMF12,IMF13,Residual,Pred
0.050479434,0.003460235,0.25113776,0.093128026,-0.03137863,0.005381119,0.003788772,0.007041487,0.009133842,0.006258526,0.016123997,-0.013062608,0.05571795,0.8360319,1.293241811
0.032284923,0.005376852,0.118559584,0.06800347,-0.08337579,0.007599497,0.003277306,0.007101591,0.009441017,0.006341602,0.016074816,-0.013105396,0.05565083,0.83603793,1.069268231
0.008738583,0.003039586,-0.012781285,0.011293737,-0.1363698,0.009046954,0.002654605,0.007168478,0.009743771,0.006424294,0.016025161,-0.013148025,0.055583734,0.8360441,0.803463893
0.00095758,-0.000789173,-0.09391207,-0.063901424,-0.1836114,0.009597885,0.001908911,0.007240276,0.010042049,0.006506596,0.01597505,-0.013190458,0.055516627,0.8360501,0.588390549
-0.027608328,-0.004521577,-0.1914935,-0.12170658,-0.21665931,0.009247603,0.001037647,0.007321063,0.010335721,0.006588487,0.015924476,-0.013232802,0.055449523,0.83605623,0.366738654
-0.038227912,-0.002163966,-0.28373176,-0.1341988,-0.22914314,0.008107137,4.78E-05,0.007410332,0.010624742,0.006669932,0.01587344,-0.013275036,0.055382427,0.83606225,0.239437453
-0.03663807,-0.001956372,-0.29794872,-0.11716731,-0.22315185,0.006477846,-0.001049097,0.007507432,0.010909094,0.006750925,0.015821932,-0.013317074,0.055315334,0.8360683,0.247622371
-0.0357255,-0.005913495,-0.23423159,-0.068465374,-0.20387582,0.004722453,-0.00228786,0.007611737,0.011188701,0.00683143,0.015769958,-0.013358915,0.055248246,0.8360743,0.373588271
-0.022944856,-0.006110968,-0.042276513,-0.005616575,-0.17591745,0.00313147,-0.003638243,0.007723132,0.011463531,0.006911404,0.01571752,-0.013400563,0.055181164,0.8360803,0.666303354
0.029099332,0.002966008,0.058688648,0.053925075,-0.14018908,0.001994834,-0.005056378,0.007841892,0.011733497,0.00699081,0.015664605,-0.013442017,0.05511404,0.8360864,0.921417666
0.031184288,-0.001820982,0.256173,0.086591505,-0.09569919,0.001431958,-0.006505515,0.007968052,0.011998577,0.007069612,0.01561122,-0.013483276,0.05504636,0.83609235,1.191657959
0.05340813,-0.000847832,0.31353807,0.10658186,-0.048079036,0.001390839,-0.007948125,0.008101376,0.012258738,0.007147766,0.015557363,-0.01352434,0.054978676,0.8360984,1.338661885
0.032608844,0.001699168,0.3337547,0.10746088,-0.003409622,0.001690329,-0.009347583,0.008242818,0.012512843,0.007225223,0.015503028,-0.01356525,0.05491044,0.8361044,1.385390217
0.02622468,0.002601255,0.25067878,0.07608221,0.037668467,0.002082391,-0.010668585,0.00839246,0.012762224,0.007301951,0.015448217,-0.013605985,0.054841973,0.8361104,1.305920438
0.032302167,-0.000304269,0.10781392,0.02867695,0.073834054,0.002304237,-0.011883489,0.008553069,0.01300696,0.007377902,0.015392936,-0.013646523,0.054773517,0.83611643,1.15431786
-0.004344107,-0.000532229,-0.062057022,-0.019348055,0.10244183,0.00206551,-0.012970204,0.008725917,0.013246899,0.007453039,0.015337173,-0.013686866,0.054705057,0.83612245,0.927159392
