IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,IMF10,IMF11,IMF12,IMF13,Residual,Pred
-0.004440131,0.002839295,0.035815604,0.025738198,-0.084612526,-0.002337734,0.004870786,0.009321526,0.011372524,-0.000116963,0.003982435,0.018949343,0.04742023,0.37835756,0.447160146
0.003322104,0.005240885,0.07608446,0.06223534,-0.08910216,-0.003246643,0.004843609,0.008761744,0.011356327,-0.000130334,0.003906552,0.018853497,0.047421224,0.37836218,0.527908785
0.002553079,0.003570056,0.10424442,0.08135916,-0.08925893,-0.003683367,0.004759565,0.008200116,0.011334664,-0.000144202,0.003830568,0.018757494,0.04742218,0.3783668,0.571311602
-0.001414711,0.001455867,0.09660329,0.076757364,-0.08392229,-0.003669528,0.004615488,0.007638041,0.011307297,-0.000158567,0.003754485,0.018661352,0.047423128,0.37837136,0.557422576
0.002299491,0.00132155,0.062836505,0.052726276,-0.073512405,-0.003303305,0.00441067,0.00707634,0.011274001,-0.000173448,0.003678305,0.018565053,0.047424044,0.37837592,0.512998997
-0.003432971,0.002266467,0.016329546,0.017826783,-0.058626875,-0.002731576,0.004144964,0.006515411,0.011234491,-0.000188858,0.003602039,0.018468607,0.047424924,0.37838033,0.441213281
-0.000736478,0.002518683,-0.05381237,-0.018807454,-0.040579204,-0.002103891,0.003817859,0.005955451,0.011188548,-0.000204824,0.003525677,0.018372029,0.047425795,0.37838474,0.35494456
-0.002691425,-6.36E-05,-0.08431677,-0.04689463,-0.021356545,-0.001507776,0.003462735,0.005396619,0.011135967,-0.000221339,0.003449238,0.018275293,0.047426634,0.37838912,0.310483498
-0.004126949,0.001810421,-0.10793188,-0.060102753,-0.002194244,-0.001001637,0.003060865,0.004838885,0.01107654,-0.000238429,0.003372721,0.018178403,0.047427457,0.37839356,0.292562959
-0.003590884,0.001974311,-0.082976624,-0.05312895,0.019431567,-0.000586306,0.002604005,0.004282248,0.011010051,-0.000256101,0.003296115,0.018081382,0.047428235,0.37839794,0.345966989
-0.00514824,0.002272267,-0.037040334,-0.032287963,0.03973368,-0.000258673,0.002099412,0.003725041,0.010936292,-0.000274348,0.003219446,0.017984213,0.047429003,0.37840235,0.430792146
-0.001905245,0.003526008,0.010528576,-0.005004294,0.057117954,3.77E-05,0.001558188,0.003167386,0.010855094,-0.000293183,0.003142702,0.017886907,0.047429748,0.37840673,0.526454248
-0.000122923,0.001671193,0.07909358,0.017396448,0.0696066,0.00034004,0.000992036,0.002612865,0.010766265,-0.000312606,0.003065889,0.017789444,0.047430456,0.37841114,0.628740427
-0.001898123,0.000748577,0.12685578,0.037261613,0.07571345,0.000613049,0.000420135,0.002063579,0.01066966,-0.00033263,0.002989017,0.017691847,0.04743114,0.37841552,0.698642614
-0.000283703,0.00210428,0.14810607,0.061706666,0.07589816,0.000809161,-0.000138545,0.001521117,0.010565233,-0.000353249,0.002912083,0.017594105,0.04743182,0.3784199,0.746293099
0.001332062,0.005184109,0.11562063,0.07412119,0.069959864,0.000867383,-0.000665049,0.00098631,0.010453046,-0.000374463,0.002835093,0.017496224,0.047432452,0.3784243,0.723673151
0.000695843,0.003929605,0.072531134,0.06234937,0.05689902,0.000772817,-0.001144359,0.000457334,0.010333234,-0.000396278,0.002757397,0.017398197,0.047433075,0.3784287,0.652445088
-0.004806346,0.000975001,0.022043778,0.030753316,0.037666615,0.000581734,-0.001567664,-6.25E-05,0.010205936,-0.000418701,0.002678401,0.017300026,0.047433667,0.37843308,0.541216356
0.000762874,0.000964217,-0.03389326,-0.007705155,0.014767646,0.000328937,-0.00193103,-0.00057236,0.010071312,-0.000441738,0.002599355,0.017201731,0.047434233,0.37843743,0.428024191
-0.000957233,0.00269364,-0.088193916,-0.038576532,-0.008924074,5.96E-05,-0.002237163,-0.001075395,0.009929487,-0.00046539,0.002520272,0.017103292,0.04743476,0.3784418,0.317753145
-0.000877056,0.00040464,-0.1298493,-0.050204564,-0.029910376,-0.000133936,-0.002493392,-0.001568351,0.009780611,-0.000489665,0.00244115,0.017004704,0.04743525,0.37844613,0.239985844
-0.00932581,-0.001949674,-0.14865729,-0.0505469,-0.04699006,-0.00017126,-0.002707317,-0.002048475,0.009624796,-0.000514562,0.002361995,0.016905982,0.047435716,0.37845048,0.191867622
0.002111389,-0.000682243,-0.13184804,-0.038977843,-0.059037868,1.75E-05,-0.002889017,-0.002513164,0.009462179,-0.000540083,0.002282812,0.016807143,0.04743616,0.37845477,0.220083714
-0.004584807,0.001212827,-0.059126716,-0.020384757,-0.067188635,0.000451714,-0.003052326,-0.002957812,0.009292886,-0.000566244,0.002203604,0.016708145,0.047436588,0.3784591,0.297903566
-0.001010826,0.003506853,0.024453897,0.005319648,-0.07214635,0.001076326,-0.00321068,-0.003379764,0.00911704,-0.000593032,0.00212437,0.01660902,0.04743698,0.37846345,0.407766933
0.005256403,0.004114636,0.103928946,0.028412268,-0.07309007,0.001795218,-0.003381061,-0.003777772,0.008934904,-0.000620461,0.002045119,0.016509766,0.047437355,0.37846777,0.516033021
