IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,IMF10,IMF11,IMF12,IMF13,Residual
0.019352589,0.006025787,0.074797851,0.054150911,-0.086356747,-0.003247688,0.005267684,0.00919664,0.011599032,-3.55E-05,0.003945294,0.018420471,0.047477202,0.378406467
0.022137723,0.003116644,0.110117016,0.074866138,-0.086019822,-0.003687207,0.005210116,0.008641586,0.011579053,-4.84E-05,0.003867919,0.018327464,0.047478606,0.378413162
-0.006274132,-0.000400433,0.10247981,0.07087559,-0.080619059,-0.003657929,0.005094918,0.008085057,0.011553359,-6.18E-05,0.00379045,0.01823433,0.047479984,0.378419853
0.011814066,-0.000747025,0.060176521,0.046883474,-0.070520806,-0.00326295,0.004921056,0.007527828,0.011521712,-7.57E-05,0.003712889,0.01814107,0.047481338,0.37842654
-0.007087633,0.000671057,0.005044317,0.01183069,-0.056452841,-0.002656305,0.004687964,0.006970228,0.011483863,-9.02E-05,0.003635242,0.018047684,0.047482666,0.378433225
0.009869862,0.001172224,-0.05891207,-0.025250872,-0.039461485,-0.001994854,0.004394809,0.006412388,0.011439588,-0.000105152,0.003557511,0.017954174,0.04748397,0.378439906
-0.012847224,-0.00276,-0.091913058,-0.055499695,-0.020045361,-0.001369903,0.004040853,0.005854332,0.011388693,-0.000120706,0.003479699,0.01786054,0.047485248,0.378446584
-0.016741494,0.000524068,-0.13065058,-0.071019875,0.0015035,-0.000841369,0.003627232,0.005296021,0.011330977,-0.000136831,0.003401811,0.017766781,0.047486501,0.378453259
-0.003110634,0.000152427,-0.111507818,-0.063147179,0.023070344,-0.000410013,0.003158356,0.00473741,0.011266232,-0.000153534,0.003323849,0.0176729,0.047487729,0.378459931
-0.015214517,0.000366375,-0.058582413,-0.038974992,0.042853995,-7.20E-05,0.002641234,0.004178633,0.011194269,-0.00017082,0.003245817,0.017578895,0.047488932,0.378466599
-0.005011701,0.003070224,0.000829619,-0.006629523,0.05926009,0.000230481,0.002088271,0.003620458,0.011114915,-0.000188695,0.003167718,0.017484769,0.04749011,0.378473264
0.008242693,0.000262144,0.082191839,0.020307717,0.070610028,0.000535692,0.001513735,0.003064048,0.011028,-0.000207165,0.003089557,0.017390521,0.047491264,0.378479926
0.000802316,-0.001449302,0.140346951,0.0389702,0.076083329,0.000808602,0.000932739,0.002511549,0.010933379,-0.000226228,0.003011337,0.017296152,0.047492392,0.378486585
0.004063482,0.000632567,0.163100123,0.060531199,0.075635483,0.001001396,0.000364595,0.001964576,0.010831009,-0.000245889,0.00293306,0.017201662,0.047493496,0.378493241
0.01472102,0.005789206,0.125439069,0.070558928,0.068775087,0.001052754,-0.000171315,0.001424171,0.010720978,-0.000266151,0.002854732,0.017107052,0.047494575,0.378499893
0.014287818,0.003711903,0.068656852,0.057682258,0.055374086,0.000948315,-0.000659579,0.000891098,0.010603419,-0.00028702,0.002776356,0.017012323,0.047495629,0.378506542
-0.011839169,-0.001234665,0.009608803,0.025387747,0.036262334,0.000744972,-0.001091195,0.000365934,0.010478482,-0.0003085,0.002697934,0.016917475,0.047496658,0.378513188
