IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,IMF10,IMF11,IMF12,IMF13,Residual,Pred
0.04948902,0.003586805,0.24674824,0.09830751,-0.008821622,0.004611677,0.003590561,0.007066899,0.009077542,0.006353338,0.016128479,-0.013044817,0.05552744,0.8360484,1.314669471
0.027560644,0.005469109,0.105714746,0.073477745,-0.06089998,0.006778013,0.003074993,0.007111006,0.009389197,0.006436252,0.01607925,-0.013087387,0.055455044,0.8360546,1.078613231
0.003158309,0.003198616,-0.024052506,0.015179222,-0.1126159,0.00818603,0.002449283,0.007163563,0.009696488,0.006518812,0.016029576,-0.013129762,0.055382647,0.8360608,0.813225178
-0.003938839,-0.000512882,-0.10421801,-0.054753955,-0.16026965,0.008757952,0.001702595,0.007225084,0.009999345,0.006601013,0.01597945,-0.013171947,0.05531026,0.836067,0.604777416
-0.031552784,-0.004119827,-0.2023972,-0.10935145,-0.19386187,0.008426723,0.000830741,0.007295771,0.010297652,0.006682831,0.015928878,-0.013213941,0.055237878,0.8360731,0.386276503
-0.042221542,-0.001812985,-0.29837048,-0.13006832,-0.20675774,0.007305845,-0.000159194,0.007375126,0.010591344,0.006764231,0.015877852,-0.013255741,0.05516551,0.8360793,0.246513206
-0.041867185,-0.001598423,-0.30919287,-0.11232447,-0.20111968,0.0056942,-0.001255581,0.007462432,0.01088038,0.006845216,0.015826365,-0.013297352,0.05509314,0.8360855,0.257231673
-0.039899647,-0.005573387,-0.2397182,-0.06997004,-0.18313143,0.003953808,-0.002448555,0.007557031,0.011164706,0.006925734,0.015774423,-0.013338768,0.055020787,0.83609164,0.382408102
-0.027421568,-0.005693764,-0.048673294,-0.011644764,-0.15695123,0.002378711,-0.003772392,0.007658813,0.011444271,0.007005753,0.015722029,-0.013379992,0.054948438,0.8360978,0.66771881
0.023067664,0.003061139,0.052450743,0.04451903,-0.12324618,0.001258135,-0.005205938,0.007768038,0.011718993,0.007085239,0.015669174,-0.013421026,0.05487608,0.836104,0.915705091
0.025316775,-0.001507349,0.2543203,0.07617317,-0.08245262,0.000709751,-0.006670757,0.00788507,0.011988817,0.00716415,0.015615856,-0.013461866,0.05480375,0.83611006,1.185995107
0.04900972,-0.000515211,0.3119603,0.09851808,-0.03699534,0.000680393,-0.0081305,0.008010136,0.012253746,0.007242441,0.015562075,-0.01350252,0.054731417,0.83611625,1.334940986
0.030839283,0.001982006,0.33330706,0.1052282,0.008784962,0.000989174,-0.009545395,0.008143444,0.012513843,0.007320075,0.015507831,-0.013542977,0.054659095,0.8361224,1.392309001
0.022153117,0.002790248,0.24858934,0.07919935,0.05177307,0.00138943,-0.010880708,0.008286157,0.012769233,0.007396996,0.015453127,-0.013583243,0.05458677,0.8361285,1.316051386
0.026717996,-0.00011754,0.10228434,0.033045396,0.08716301,0.001617988,-0.012108246,0.008439728,0.013019975,0.007473176,0.015397963,-0.013623319,0.05451447,0.8361346,1.159959538
-0.009724093,-0.000306167,-0.068674676,-0.015398658,0.11633447,0.001382463,-0.01320557,0.008605435,0.013266102,0.007548587,0.015342318,-0.013663203,0.054442175,0.8361408,0.932089982
-0.05376183,-0.006489401,-0.20934868,-0.066376574,0.1395043,0.00059247,-0.014155329,0.008783981,0.013507602,0.007623172,0.015286214,-0.013702896,0.054369874,0.8361469,0.711979804
-0.011632768,-0.002053833,-0.3556988,-0.093255006,0.1538597,-0.000753487,-0.014951548,0.008975322,0.013744388,0.007696916,0.015229631,-0.013742393,0.05429759,0.83615303,0.597868743
-0.0422266,-0.001959576,-0.3714768,-0.08813274,0.15807962,-0.002446375,-0.015595754,0.009178062,0.013976333,0.007769785,0.015172587,-0.013781705,0.054225314,0.8361591,0.558941252
-0.047442373,-0.003699728,-0.28309116,-0.057002835,0.1512589,-0.004149279,-0.016088458,0.009390076,0.01420332,0.007841757,0.015115064,-0.013820822,0.054153044,0.83616525,0.662832756
0.008865142,0.002019384,-0.12647098,-0.00897768,0.13473926,-0.00564506,-0.01643063,0.009608947,0.014425256,0.007912786,0.015057066,-0.013859749,0.054080788,0.8361714,0.911495929
0.005446782,0.000395768,0.114719205,0.038382437,0.11037052,-0.006814989,-0.016622944,0.009832406,0.01464205,0.00798284,0.01499859,-0.013898484,0.05400854,0.83617747,1.16962019
0.040926673,0.002651588,0.25765282,0.072163425,0.08041406,-0.007617881,-0.016679822,0.010058797,0.01485363,0.008051896,0.014939645,-0.013937031,0.053936288,0.8361836,1.353597688
0.046206545,0.005690089,0.3618346,0.08716513,0.04838165,-0.008149567,-0.016611729,0.01028633,0.015059912,0.008119912,0.014880209,-0.013975387,0.053864054,0.8361896,1.448941349
0.05004961,0.008789081,0.35309237,0.07750325,0.016233228,-0.008392188,-0.016420642,0.010513188,0.015260801,0.008186869,0.014820294,-0.014013549,0.05379183,0.8361957,1.405609842
0.04973105,0.010223154,0.2454938,0.049722005,-0.015515244,-0.008307477,-0.016098201,0.010737401,0.015456215,0.008252744,0.014759905,-0.014051523,0.053719614,0.83620185,1.240325293
-0.003828489,0.002897758,0.09793972,0.01081474,-0.047705796,-0.007893096,-0.015636543,0.010956115,0.015646022,0.008317498,0.01469902,-0.014089308,0.053647406,0.8362079,0.961972947
-0.038574804,-0.005327463,-0.036783684,-0.029944655,-0.07956128,-0.007285491,-0.015037926,0.011166998,0.015830133,0.008381104,0.014637655,-0.0141269,0.0535752,0.83621395,0.713162837
-0.05447499,-0.006013697,-0.21628124,-0.061352354,-0.10680057,-0.006738476,-0.014308593,0.01136777,0.016008496,0.008443547,0.014575797,-0.014164303,0.053503014,0.8362201,0.459984501
-0.0842355,-0.005973219,-0.33146107,-0.07931256,-0.12485582,-0.006432983,-0.013450236,0.01155637,0.016181009,0.00850478,0.014513459,-0.014201516,0.053430837,0.8362261,0.280489652
-0.06691376,-0.005494825,-0.36809584,-0.082464986,-0.12785707,-0.006458408,-0.012460678,0.011730859,0.016347596,0.008564781,0.014450622,-0.014238541,0.05335866,0.83623224,0.25670065
-0.04565919,-0.00742038,-0.30493435,-0.062745646,-0.11532469,-0.006741653,-0.011335863,0.011889501,0.016508123,0.008623523,0.014387293,-0.014275373,0.053286493,0.83623827,0.372496058
-0.041497596,-0.004559156,-0.17856143,-0.027022712,-0.08976512,-0.007057458,-0.010074409,0.012031166,0.016662452,0.008680983,0.014323471,-0.014312018,0.053214338,0.8362443,0.568306812
0.006366571,-0.001346277,0.02195315,0.000689312,-0.057558116,-0.007240987,-0.008703353,0.012155951,0.016810423,0.008737119,0.014259157,-0.014348472,0.053142197,0.83625036,0.881167035
0.057742808,0.002890043,0.19788168,0.03643583,-0.026368259,-0.007147618,-0.007313226,0.012264123,0.016951742,0.008791924,0.014194344,-0.014384734,0.05307007,0.8362564,1.181265127
