IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,IMF10,IMF11,IMF12,IMF13,Residual,Pred
-0.08655448,-0.007477137,-0.20325463,-0.05751476,0.13057482,0.04288258,1.77E-05,-0.038550362,-0.02328848,-0.039945237,0.046677805,0.002680226,-0.039118033,1.3558874,1.083017367
0.10718621,0.015032114,0.012487819,-0.004916734,0.15542707,0.04522228,-0.000632721,-0.03984309,-0.023970256,-0.039728887,0.046691753,0.002551404,-0.03912861,1.3558922,1.592270551
0.19382669,0.02730681,0.28695872,0.03090203,0.16775408,0.04562401,-0.001222217,-0.041109055,-0.024633212,-0.039509427,0.04670458,0.00242249,-0.03913919,1.3558968,2.011783108
0.2667771,0.020003775,0.47691897,0.03395473,0.16735616,0.043942805,-0.0017766,-0.042340174,-0.025276594,-0.039286893,0.04671638,0.002293494,-0.039149765,1.3559016,2.266034988
0.28700006,0.020885546,0.5142979,0.0459656,0.15348025,0.040247224,-0.002259561,-0.043528028,-0.025899628,-0.039061364,0.046727154,0.002164405,-0.03916035,1.3559062,2.316765408
0.19377501,0.02347046,0.41243395,0.0675161,0.12677622,0.03480847,-0.002636073,-0.04466325,-0.026501453,-0.038832895,0.046736922,0.002035212,-0.039170936,1.355911,2.111658737
0.08254749,0.011596709,0.23539527,0.05817005,0.090032056,0.02777791,-0.002904549,-0.045735266,-0.027081126,-0.038601484,0.046745677,0.001905949,-0.03918152,1.3559158,1.756582966
-0.025888717,-0.000468663,0.08402696,0.012103705,0.04844402,0.019356728,-0.003075308,-0.04673395,-0.027637202,-0.038367216,0.04675345,0.001776593,-0.03919211,1.3559203,1.38701859
-0.07548847,-0.004889421,-0.09587329,-0.038596887,0.00656524,0.010087263,-0.003175686,-0.047652327,-0.028167687,-0.03813011,0.04676023,0.001647168,-0.039202698,1.3559252,1.049808525
-0.12604624,-0.007360119,-0.27179334,-0.06356069,-0.03713387,0.000241364,-0.003263274,-0.048486028,-0.02867334,-0.03789023,0.046766043,0.001517626,-0.039213292,1.3559297,0.74103431
-0.24152127,-0.01646791,-0.4068263,-0.063827395,-0.07457233,-0.009450803,-0.003397794,-0.04923401,-0.029154148,-0.037647597,0.04677071,0.001388015,-0.039223887,1.3559345,0.432769781
-0.31744522,-0.02260806,-0.433421,-0.054491542,-0.10188715,-0.01840834,-0.003632044,-0.049897008,-0.029609434,-0.037402257,0.046774194,0.001258323,-0.03923448,1.3559393,0.295935282
-0.30607465,-0.023261739,-0.37714973,-0.0476453,-0.11817771,-0.026166108,-0.004022591,-0.050474845,-0.030038783,-0.037154287,0.04677634,0.001128537,-0.039245084,1.3559439,0.34443795
-0.096869506,-0.013716054,-0.14351511,-0.044280667,-0.12498271,-0.032275498,-0.004615021,-0.05096648,-0.03044255,-0.03690372,0.046776727,0.00099867,-0.03925569,1.3559487,0.785901092
