IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,IMF10,IMF11,IMF12,IMF13,Residual
-0.07869128,-0.006729893,-0.22957873,-0.051961537,0.13133027,0.041398063,-0.0022855846,-0.03986031,-0.023139156,-0.039793525,0.046639226,0.002816387,-0.03908513,1.3558385
0.1201825,0.015467866,-0.0057531255,0.0002848366,0.15426569,0.043575373,-0.0029417092,-0.04124864,-0.023820432,-0.039579082,0.046652745,0.0026888314,-0.039095752,1.3558435
0.20889366,0.028025443,0.26589173,0.03513284,0.1667157,0.043810114,-0.0035348034,-0.042608883,-0.024482515,-0.03936147,0.046665173,0.0025611827,-0.039106373,1.3558486
0.28328046,0.02085845,0.45087773,0.03774725,0.16671799,0.041952007,-0.0040328745,-0.0439324,-0.025124695,-0.039140712,0.04667602,0.002433453,-0.03911699,1.3558536
0.30293274,0.021711566,0.4919944,0.049708106,0.15336378,0.03806711,-0.0044229953,-0.045210373,-0.025746109,-0.03891687,0.046685364,0.0023056304,-0.039127614,1.3558584
0.2097501,0.02422054,0.39243388,0.071370505,0.1270739,0.0324292,-0.0046966737,-0.04643306,-0.026345896,-0.038689982,0.04669365,0.0021777146,-0.039138246,1.3558635
0.09658585,0.012406223,0.21576905,0.06297449,0.09048836,0.025401106,-0.00485558,-0.047589295,-0.02692311,-0.038460094,0.04670089,0.0020497062,-0.039148875,1.3558685
-0.014221633,0.00036493156,0.061090954,0.018719327,0.047848295,0.01694116,-0.0049301046,-0.048668522,-0.027476972,-0.038227264,0.0467071,0.0019216046,-0.03915861,1.3558733
-0.06422653,-0.004325691,-0.117405415,-0.032798927,0.004130032,0.0075892997,-0.0049267793,-0.04966334,-0.028006677,-0.03799154,0.04671228,0.0017934334,-0.039168254,1.3558785
-0.13251577,-0.0068031154,-0.29193228,-0.05828536,-0.03820013,-0.0020651699,-0.0049039274,-0.050569024,-0.02851164,-0.03775294,0.046716448,0.0016651695,-0.039177906,1.3558834
-0.25582692,-0.016042013,-0.42043638,-0.05865092,-0.07481705,-0.011529225,-0.0049223965,-0.0513844,-0.028991248,-0.037511487,0.04671885,0.0015368125,-0.039187554,1.3558885
-0.3182244,-0.022004904,-0.44364247,-0.049076125,-0.10175736,-0.020324523,-0.005036486,-0.052110072,-0.029444927,-0.037267286,0.046720114,0.0014083742,-0.039197206,1.3558934
-0.30415568,-0.022873947,-0.39665297,-0.042007737,-0.11803536,-0.027982764,-0.0053090043,-0.052745715,-0.02987213,-0.037020363,0.04672038,0.0012798663,-0.03920686,1.3558985
-0.08844251,-0.012990969,-0.1663007,-0.03822082,-0.12516366,-0.034047894,-0.005835026,-0.053290054,-0.03027237,-0.036770772,0.046719663,0.0011512538,-0.039216515,1.3559035
0.108556025,0.0062436233,0.10491524,-0.006310841,-0.12815996,-0.038012534,-0.0065887664,-0.053741317,-0.03064521,-0.036518592,0.046717957,0.0010225484,-0.039226174,1.3559084
0.29398942,0.030602593,0.28490108,0.049778286,-0.12714995,-0.039571904,-0.0075816168,-0.054098263,-0.03099033,-0.036263898,0.04671528,0.00089376175,-0.039235838,1.3559135
0.37485602,0.03988055,0.3962457,0.09153199,-0.12267704,-0.03858775,-0.008818386,-0.0543605,-0.031307492,-0.036006805,0.046711605,0.000764917,-0.039245497,1.3559184
0.36970827,0.02723507,0.41749108,0.093115926,-0.11339898,-0.03550488,-0.010277861,-0.054528635,-0.031596784,-0.035747413,0.046706986,0.0006359677,-0.03925517,1.3559235
0.2306755,0.008643258,0.28459507,0.07173654,-0.09632498,-0.030943172,-0.011899942,-0.054605428,-0.031858254,-0.03548582,0.046701383,0.00050693715,-0.03926483,1.3559284
0.06152634,0.0025765619,0.10370321,0.03466968,-0.07061648,-0.025739295,-0.0136348335,-0.054594807,-0.032092005,-0.035222124,0.046694826,0.00037781365,-0.039274503,1.3559335
-0.033564612,-0.0066107665,-0.13038702,-0.020771485,-0.039667107,-0.020716818,-0.015406254,-0.054501623,-0.03229802,-0.034956425,0.046687327,0.00024860888,-0.039284173,1.3559386
-0.14889784,-0.02787273,-0.2953996,-0.082259186,-0.009751773,-0.016474972,-0.017121023,-0.054331057,-0.032476418,-0.03468883,0.04667885,0.000119322794,-0.039293844,1.3559434
-0.31329638,-0.04808934,-0.39055637,-0.11115416,0.01383251,-0.0132254325,-0.018727805,-0.054088026,-0.032627128,-0.034419455,0.04666945,-1.0044578e-05,-0.039303526,1.3559486
-0.2977646,-0.053049996,-0.4268805,-0.09315663,0.033783574,-0.010965525,-0.020172851,-0.05377568,-0.032750163,-0.03414839,0.046659093,-0.00013950487,-0.0393132,1.3559536
-0.2884948,-0.037742123,-0.3322342,-0.054506037,0.051835902,-0.009450143,-0.021400806,-0.053394735,-0.03284539,-0.033875775,0.046647802,-0.00026903485,-0.039322883,1.3559586
-0.12933086,-0.007431156,-0.12610266,-0.011291342,0.06847551,-0.008336494,-0.022359684,-0.0529453,-0.032912713,-0.033601742,0.04663557,-0.0003986461,-0.039332565,1.3559636
0.16830939,0.027526623,0.091716275,0.034188922,0.081725694,-0.0071250065,-0.023018537,-0.05242799,-0.03295203,-0.033326346,0.04662244,-0.0005283503,-0.03934225,1.3559687
0.2651286,0.058766503,0.27519783,0.07602243,0.08840041,-0.00544742,-0.023362,-0.05184369,-0.032963216,-0.03304975,0.04660836,-0.00065813574,-0.039351948,1.3559737
0.38152257,0.081446216,0.43084356,0.10450388,0.086792,-0.0031629566,-0.023387427,-0.051192317,-0.03294612,-0.032773085,0.046593368,-0.00078801415,-0.039361633,1.3559787
0.40632623,0.07973884,0.441325,0.10586225,0.07591839,-0.00037028198,-0.023098674,-0.050472926,-0.032900684,-0.032495454,0.046577446,-0.00091792736,-0.039371327,1.3559837
0.30678827,0.061578188,0.357292,0.0849209,0.056423165,0.0028812028,-0.022473399,-0.049683355,-0.032826804,-0.032216802,0.04656062,-0.0010479684,-0.039381023,1.3559889
0.19267488,0.032835424,0.18336804,0.04941458,0.031962793,0.006299763,-0.021492263,-0.048822336,-0.032724444,-0.03193722,0.04654278,-0.001178079,-0.03939072,1.3559937
0.07289827,0.010353943,0.005471629,0.0063992576,0.0061791325,0.009567552,-0.020154059,-0.047888823,-0.032593463,-0.03165768,0.04652404,-0.001308271,-0.03940042,1.3559988
