IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,IMF10,IMF11,IMF12,IMF13,Residual
0.113607131,0.016180169,0.022046452,0.001624871,0.146549709,0.044063773,-0.003245499,-0.040462288,-0.022838073,-0.039772981,0.046667334,0.002908255,-0.039139433,1.355810579
0.213148583,0.030131671,0.307766787,0.041572203,0.161633073,0.04447471,-0.003940574,-0.041843476,-0.023517388,-0.0395576,0.046684485,0.00278261,-0.039150283,1.355815199
0.305088499,0.022112494,0.507025863,0.0426443,0.165591168,0.04276618,-0.004540563,-0.043187826,-0.024177135,-0.039338968,0.046700413,0.002656892,-0.039161138,1.35581982
0.336898177,0.022953442,0.559351994,0.052262068,0.157108843,0.038979614,-0.005032591,-0.044486615,-0.024816474,-0.039117133,0.046715128,0.0025311,-0.039171997,1.355824445
0.215550825,0.026307974,0.444104802,0.073797805,0.135549791,0.033373417,-0.005407942,-0.045730138,-0.025434478,-0.038892145,0.04672864,0.002405237,-0.03918286,1.355829071
0.088957507,0.013419491,0.251371324,0.063224521,0.102534551,0.026098964,-0.005664898,-0.046907379,-0.026030263,-0.03866405,0.046740958,0.002279302,-0.039193729,1.3558337
-0.03464673,-0.000865427,0.077898465,0.011861055,0.061701386,0.017369935,-0.005813979,-0.048007938,-0.026602993,-0.038432892,0.046752092,0.002153295,-0.039204602,1.355838332
-0.090175422,-0.006710747,-0.129399044,-0.045029878,0.017407848,0.007749415,-0.005883802,-0.049024519,-0.027151895,-0.03819871,0.04676205,0.002027218,-0.03921548,1.355842966
-0.149281697,-0.009534061,-0.323095667,-0.072301297,-0.02640007,-0.002155111,-0.005934829,-0.049952535,-0.027676339,-0.037961545,0.046770841,0.001901069,-0.039226363,1.355847602
-0.247771066,-0.020516547,-0.474973711,-0.069845217,-0.064502815,-0.011840811,-0.006030118,-0.050790866,-0.028175726,-0.037721437,0.046778472,0.001774851,-0.03923725,1.355852241
-0.432530207,-0.027758745,-0.504998637,-0.058177355,-0.09286418,-0.020819375,-0.006225708,-0.051540155,-0.028649452,-0.037478438,0.046784949,0.001648562,-0.039248143,1.355856882
-0.365524923,-0.028584893,-0.445156653,-0.051961555,-0.1099509,-0.02862473,-0.006581465,-0.052200256,-0.029096988,-0.037232603,0.046790277,0.001522203,-0.03925904,1.355861526
-0.113634727,-0.016489319,-0.168055347,-0.049796364,-0.116594532,-0.03479876,-0.007145599,-0.052769976,-0.029517848,-0.036983994,0.046794461,0.001395774,-0.039269943,1.355866172
0.101783658,0.006407299,0.12841945,-0.012755652,-0.117852805,-0.038824421,-0.007942488,-0.053247566,-0.029911556,-0.036732674,0.046797507,0.001269277,-0.03928085,1.355870821
0.315075574,0.033286523,0.32533583,0.052815194,-0.118282968,-0.040385979,-0.008981702,-0.05363182,-0.030277753,-0.036478737,0.046799418,0.00114271,-0.039291763,1.355875472
0.43111899,0.044412027,0.438437028,0.099991465,-0.117850193,-0.039476554,-0.010265751,-0.053922166,-0.030616282,-0.036222285,0.046800201,0.001016075,-0.03930268,1.355880126
0.399000694,0.029641833,0.470040636,0.099696492,-0.113434899,-0.036423818,-0.011771555,-0.054119213,-0.030927162,-0.035963421,0.04679986,0.000889372,-0.039313603,1.355884782
0.235120581,0.008413733,0.337340065,0.073039978,-0.101614661,-0.031849843,-0.013437455,-0.054225599,-0.031210462,-0.035702247,0.0467984,0.0007626,-0.039324531,1.355889441
0.052106445,0.001367501,0.124278607,0.031365202,-0.081153508,-0.026608318,-0.015195895,-0.054245135,-0.03146626,-0.035438863,0.046795827,0.000635761,-0.039335465,1.355894102
-0.057551027,-0.009317731,-0.131218568,-0.027022608,-0.055197452,-0.021530542,-0.016964847,-0.054182635,-0.031694582,-0.03517337,0.046792145,0.000508854,-0.039346403,1.355898765
-0.157441165,-0.03470543,-0.326707681,-0.093148342,-0.028983343,-0.017212705,-0.018672138,-0.054043188,-0.031895459,-0.034905874,0.04678736,0.00038188,-0.039357347,1.355903431
-0.337810356,-0.059490755,-0.430161998,-0.123675852,-0.00577258,-0.013862574,-0.020265081,-0.053831514,-0.032068922,-0.034636487,0.046781476,0.000254839,-0.039368297,1.3559081
-0.546884908,-0.065570523,-0.472172911,-0.100640009,0.015125453,-0.011471758,-0.021690277,-0.053550586,-0.032214904,-0.034365328,0.046774499,0.000127731,-0.039379251,1.355912771
-0.311235295,-0.046259223,-0.367734236,-0.05584944,0.03509606,-0.009792441,-0.022893049,-0.053200785,-0.032333298,-0.034092515,0.046766433,5.57E-07,-0.039390211,1.355917445
-0.143458752,-0.010174205,-0.12527295,-0.008394404,0.054485059,-0.008489785,-0.023822214,-0.052782132,-0.032423991,-0.033818167,0.046757282,-0.000126684,-0.039401177,1.355922121
