IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,IMF10,IMF11,IMF12,IMF13,Residual,Pred
-0.117186114,-0.009113804,-0.18978406,-0.060188953,0.1367198,0.04065335,-0.00157146,-0.03883619,-0.0216117,-0.039041318,0.04672641,0.002906557,-0.039052773,1.355851,1.066470745
0.09876042,0.012491246,0.029094983,-0.007497462,0.16246472,0.043278225,-0.002279292,-0.040160622,-0.02229752,-0.03882084,0.04674224,0.002779176,-0.039063174,1.3558555,1.6013476
0.18728761,0.025198968,0.30293965,0.027183771,0.17479254,0.043881312,-0.002946501,-0.04145214,-0.022981815,-0.03859713,0.046757065,0.002651713,-0.03907358,1.3558601,2.021501563
0.26545885,0.018127177,0.490239,0.029907651,0.1743241,0.042290386,-0.003522371,-0.042708214,-0.023649994,-0.038370248,0.04677089,0.002524181,-0.039083987,1.3558648,2.27817222
0.28871658,0.018786324,0.5297805,0.041832544,0.16128679,0.038558375,-0.004005708,-0.043922063,-0.02429743,-0.038140196,0.046783708,0.002396579,-0.0390944,1.3558694,2.334551003
0.18867883,0.02152416,0.43002728,0.06335887,0.13475837,0.032955203,-0.004379355,-0.0450836,-0.02492284,-0.037907112,0.046795554,0.002268872,-0.039104808,1.355874,2.124843424
0.07644703,0.009996084,0.25206134,0.054485455,0.09730897,0.025640143,-0.004639237,-0.04618076,-0.02552583,-0.03767099,0.046806403,0.002141096,-0.039115228,1.3558786,1.767633076
-0.03410841,-0.002045466,0.10021899,0.008870999,0.056858517,0.016833058,-0.004796097,-0.047203198,-0.026105573,-0.037431892,0.046816316,0.002013238,-0.039125644,1.3558832,1.396678039
-0.09247265,-0.006814906,-0.08319347,-0.04114349,0.013990885,0.007111666,-0.004877596,-0.04814378,-0.026661346,-0.037189838,0.046825238,0.001885323,-0.039136063,1.3558878,1.046067773
-0.15836252,-0.009277061,-0.25894123,-0.06572684,-0.030613398,-0.002904319,-0.004942418,-0.04899796,-0.02719372,-0.0369449,0.046833236,0.001757314,-0.03914649,1.3558923,0.721431995
-0.27431625,-0.018425178,-0.39112446,-0.066102676,-0.069230296,-0.012696859,-0.005065239,-0.04976675,-0.027702168,-0.036697093,0.04684017,0.001629213,-0.03915691,1.355897,0.414082505
-0.33151022,-0.024365978,-0.41316366,-0.056777805,-0.09778084,-0.02139919,-0.005323517,-0.05045016,-0.02818477,-0.03644649,0.046845905,0.001501065,-0.03916734,1.3559016,0.2996786
-0.3141652,-0.025259623,-0.36496973,-0.049905956,-0.11518222,-0.028947687,-0.005753646,-0.05104668,-0.028641013,-0.036193267,0.04685073,0.001372801,-0.03917777,1.3559062,0.344886939
-0.122184046,-0.015264365,-0.13097508,-0.04644881,-0.12289903,-0.03488354,-0.006416115,-0.051555168,-0.029070035,-0.03593736,0.046854623,0.00124449,-0.0391882,1.3559108,0.769188165
0.087620586,0.003977357,0.14305773,-0.014514936,-0.1250579,-0.038695972,-0.007304988,-0.05198335,-0.029471321,-0.035678823,0.04685758,0.001116087,-0.039198633,1.3559154,1.296638817
0.275343,0.027716083,0.3202633,0.041770734,-0.12237949,-0.04007778,-0.00842917,-0.052327476,-0.029844992,-0.035417784,0.046859633,0.000987614,-0.03920907,1.3559201,1.741174702
0.36831298,0.037282355,0.43615466,0.083589494,-0.11783932,-0.03902089,-0.009790874,-0.052579563,-0.030190844,-0.035154343,0.04686077,0.000859071,-0.039219514,1.3559247,2.005188682
0.3542407,0.02452923,0.45685086,0.084687375,-0.10830202,-0.035852678,-0.011366774,-0.052740183,-0.03050894,-0.03488867,0.046860997,0.000730435,-0.039229956,1.3559294,2.010939776
0.20789929,0.005912054,0.32167968,0.062306684,-0.090811744,-0.031194285,-0.013094469,-0.052811887,-0.030799346,-0.034620788,0.046859533,0.000601753,-0.0392404,1.3559339,1.708619975
0.042341385,2.20E-06,0.13702191,0.024291731,-0.06465264,-0.025895242,-0.014896706,-0.052801076,-0.03106216,-0.034350794,0.04685621,0.00047263,-0.039250847,1.3559386,1.344015206
-0.06164211,-0.009153008,-0.09663565,-0.029733744,-0.033592712,-0.020784432,-0.016706942,-0.052709937,-0.031297367,-0.03407878,0.046851918,0.000343309,-0.0392613,1.3559432,0.977542445
-0.17308751,-0.030135132,-0.26295432,-0.08976728,-0.003536575,-0.016463285,-0.0184493,-0.05254324,-0.03150507,-0.03380486,0.046846658,0.000213918,-0.039271753,1.3559479,0.651490151
-0.3227241,-0.05055602,-0.35795358,-0.117744856,0.020226615,-0.013142291,-0.020075357,-0.05230569,-0.03168525,-0.033529144,0.046840265,8.44E-05,-0.039282206,1.3559524,0.384105232
-0.31291476,-0.05542708,-0.39440727,-0.099981956,0.040631685,-0.010818186,-0.021532767,-0.052000403,-0.031837884,-0.033251762,0.046832893,-4.51E-05,-0.039292663,1.355957,0.391911752
-0.29918703,-0.040200748,-0.29775164,-0.06297753,0.05926768,-0.009251408,-0.022770867,-0.0516278,-0.031962886,-0.032972824,0.04682452,-0.000174707,-0.039303128,1.3559617,0.573873332
-0.16102232,-0.009882299,-0.09067018,-0.019945625,0.07644313,-0.008101702,-0.023733856,-0.051188044,-0.032060135,-0.03269242,0.04681514,-0.000304388,-0.039313596,1.3559663,1.010310005
0.14690204,0.024896225,0.12763424,0.025441375,0.089545414,-0.006870681,-0.024388429,-0.05068167,-0.032129645,-0.032410722,0.0468046,-0.00043415,-0.039324064,1.3559711,1.630955633
0.25833562,0.055734698,0.31240174,0.06661205,0.095908225,-0.005209297,-0.024720209,-0.05010958,-0.032171186,-0.032127794,0.04679314,-0.000564005,-0.039334536,1.3559757,2.007524567
0.35878664,0.07859455,0.46883076,0.095323764,0.09377069,-0.002976601,-0.02471915,-0.049471803,-0.032184705,-0.031843714,0.046780724,-0.000693907,-0.039345,1.3559803,2.316832548
0.3993805,0.07664137,0.48111337,0.09712007,0.082210414,-0.000223755,-0.024400724,-0.048767254,-0.03217008,-0.03155858,0.046767388,-0.000823878,-0.039355487,1.3559849,2.361918254
0.2874727,0.05833934,0.39359665,0.076207764,0.061884675,0.002998996,-0.02374593,-0.04799381,-0.032127313,-0.031272482,0.04675311,-0.000953884,-0.039365962,1.3559896,2.107783454
0.17157887,0.030095788,0.21870428,0.040345233,0.0364837,0.006377542,-0.022736179,-0.047150098,-0.032056287,-0.030985467,0.04673789,-0.001084006,-0.039376445,1.3559942,1.732929021
0.05383484,0.007940632,0.043750715,-0.003003992,0.009719913,0.009566757,-0.021370107,-0.0462349,-0.031956885,-0.030697608,0.046721756,-0.001214164,-0.039386936,1.3559988,1.353668822
0.009248992,-0.012719323,-0.1791118,-0.046257906,-0.015282018,0.01245145,-0.019667687,-0.04524442,-0.031829216,-0.030409027,0.04670469,-0.001344414,-0.03939742,1.3560034,1.003145302
-0.061029874,-0.03385875,-0.35498452,-0.07965225,-0.035773583,0.014830588,-0.017682396,-0.044171136,-0.03167332,-0.03011986,0.046686683,-0.001474722,-0.039407913,1.356008,0.687696947
-0.21569486,-0.054389916,-0.4415652,-0.08811367,-0.04979997,0.016486155,-0.015501431,-0.042992465,-0.031490926,-0.029829875,0.04666775,-0.001605099,-0.039418582,1.3560127,0.408764611
-0.3324743,-0.061037395,-0.41836622,-0.0748883,-0.056514286,0.017366705,-0.013224691,-0.04172324,-0.031286284,-0.029540284,0.046647903,-0.001735547,-0.03942939,1.3560172,0.319811871
-0.17345393,-0.04828654,-0.28445953,-0.062295433,-0.05710745,0.017603712,-0.010943945,-0.04035848,-0.03105455,-0.029250046,0.046627317,-0.001866087,-0.039440196,1.3560221,0.641736942
-0.052536633,-0.013844581,-0.002845646,-0.040034585,-0.052406967,0.01733853,-0.008726126,-0.03889351,-0.030796306,-0.028959041,0.046605848,-0.001996686,-0.039451,1.3560266,1.109479898
0.15860681,0.019436695,0.28517103,-0.006544047,-0.04340962,0.016644623,-0.006638171,-0.037323896,-0.030512318,-0.028667254,0.04658344,-0.002127354,-0.039461818,1.3560313,1.687789421
0.25397208,0.043524645,0.47349885,0.030988734,-0.03091529,0.015617276,-0.00473484,-0.03564688,-0.030203417,-0.028374664,0.046560097,-0.002258092,-0.039472636,1.356036,2.048591863
0.27292556,0.05874606,0.5545389,0.06549203,-0.017386852,0.014490721,-0.003029587,-0.03386074,-0.029870406,-0.028081255,0.046535913,-0.002388899,-0.039483458,1.3560406,2.214668587
0.21757597,0.045824416,0.47563067,0.07488211,-0.006167674,0.013624784,-0.001557817,-0.031966034,-0.029514218,-0.027787073,0.046511047,-0.002519765,-0.039494276,1.3560451,2.09108724
0.05514357,0.019912,0.3336854,0.055595733,0.001364555,0.013347965,-0.000317467,-0.029964067,-0.029138124,-0.02749207,0.046485264,-0.002650712,-0.039505098,1.3560498,1.75251675
-0.0267935,-0.004851632,0.0900389,0.02006587,0.007302526,0.013794142,0.000691312,-0.0278578,-0.028739715,-0.027196232,0.04645855,-0.002781728,-0.039515924,1.3560545,1.376669269
-0.12191854,-0.012567205,-0.15961751,-0.015376812,0.013789693,0.014967949,0.001502438,-0.025651181,-0.02832025,-0.026899705,0.04643091,-0.002912826,-0.03952676,1.3560592,0.999959401
-0.17794214,-0.029526243,-0.3770429,-0.052947436,0.02204798,0.016826699,0.002159586,-0.023349624,-0.02788144,-0.026602708,0.046402343,-0.00304397,-0.039537378,1.3560638,0.685626568
-0.29799664,-0.05448984,-0.4867639,-0.07837043,0.031416517,0.019111568,0.002680372,-0.020960819,-0.027424078,-0.026304927,0.046372853,-0.003175207,-0.03954791,1.3560685,0.420616059
-0.28882256,-0.06842501,-0.4781045,-0.082265,0.03881904,0.021308798,0.00312614,-0.018493086,-0.026949003,-0.026006317,0.04634243,-0.00330648,-0.03955844,1.356073,0.433739012
-0.18441737,-0.041140966,-0.3549045,-0.056768805,0.042757697,0.023089347,0.003574465,-0.015955238,-0.026457148,-0.02570697,0.046311073,-0.003437856,-0.03956897,1.3560778,0.723452559
-0.061563652,-0.004012313,-0.12557337,-0.01727432,0.04321738,0.023256237,0.004096308,-0.01335647,-0.025944144,-0.025406836,0.04627878,-0.003569302,-0.039579514,1.3560824,1.156651184
0.15531133,0.01771463,0.20701897,0.016508546,0.040671792,0.021449272,0.004711299,-0.010707988,-0.025410907,-0.025105963,0.046245553,-0.003700795,-0.03959006,1.3560871,1.761202779
0.23610838,0.02830558,0.47553736,0.04194679,0.035324458,0.01750968,0.005471128,-0.007992174,-0.02486405,-0.024804365,0.046211388,-0.003832358,-0.0396006,1.3560917,2.141412917
0.32182464,0.03527475,0.57843816,0.055959344,0.027591288,0.011538447,0.00640886,-0.005241728,-0.024304515,-0.024502045,0.04617629,-0.00396399,-0.039611153,1.3560965,2.341684849
0.32816565,0.030727787,0.5356557,0.05327023,0.018113498,0.003865576,0.00754196,-0.002472002,-0.023733301,-0.024199089,0.046140246,-0.004095726,-0.039621696,1.356101,2.285459833
0.1948817,0.014935576,0.38573757,0.042867962,0.006988448,-0.004803336,0.008882605,0.000316153,-0.023151182,-0.023895482,0.046103284,-0.004227498,-0.039632246,1.3561057,1.961109254
0.05457195,0.004219552,0.16993539,0.030759292,-0.00559519,-0.013378047,0.010438517,0.003099932,-0.022558818,-0.023591245,0.046065386,-0.004359351,-0.039642803,1.3561105,1.566075066
0.003708154,-0.005182413,-0.11142402,0.006063428,-0.019256566,-0.020554155,0.012193583,0.00586817,-0.02195662,-0.023286434,0.04602646,-0.004491273,-0.03965336,1.3561151,1.184170054
-0.07754114,-0.012721234,-0.30721757,-0.028946636,-0.030361481,-0.02656735,0.014078036,0.008610463,-0.021344924,-0.022981038,0.045986496,-0.004623242,-0.03966392,1.3561198,0.85282626
-0.21891585,-0.030553754,-0.4344688,-0.060737118,-0.035026114,-0.031336397,0.016078334,0.011316865,-0.020723987,-0.022675086,0.04594533,-0.004755292,-0.03967448,1.3561244,0.530598051
-0.32718852,-0.041808803,-0.4583505,-0.07193322,-0.03137491,-0.034936883,0.018195042,0.013977483,-0.020094054,-0.022368707,0.04590316,-0.004887435,-0.03968504,1.3561292,0.381576813
-0.3144633,-0.03311584,-0.40326995,-0.05701741,-0.021062825,-0.03753747,0.020382319,0.016582647,-0.019455487,-0.022064837,0.04585883,-0.005019613,-0.03969561,1.3561337,0.486255154
-0.15575346,-0.00827703,-0.21937451,-0.03172743,-0.007489212,-0.039295558,0.022568537,0.019124681,-0.018808784,-0.02176864,0.045812976,-0.00515186,-0.039706174,1.3561385,0.896292035
0.05713616,0.016896836,0.03490046,0.001409847,0.005050105,-0.040340513,0.024698546,0.021608565,-0.01815494,-0.021476086,0.045766167,-0.005284201,-0.03971675,1.3561431,1.438637296
0.21396509,0.033751383,0.29911098,0.024967516,0.014652426,-0.04084715,0.026737658,0.024028046,-0.017494475,-0.021182975,0.04571824,-0.005416577,-0.039727323,1.3561478,1.914410639
0.29970703,0.042900033,0.502559,0.03470962,0.021201733,-0.04085916,0.028609578,0.026367784,-0.01682695,-0.020889306,0.045669205,-0.005549057,-0.0397379,1.3561525,2.234014111
0.35689324,0.047033437,0.5220084,0.053173102,0.025216425,-0.040202677,0.030269654,0.028622536,-0.016152723,-0.02059507,0.04561906,-0.005681548,-0.03974847,1.3561572,2.342612566
0.24982037,0.040734384,0.44934213,0.06333933,0.02747448,-0.038706254,0.03168702,0.030786965,-0.015472262,-0.02030025,0.04556786,-0.005814167,-0.039759055,1.356162,2.174862551
0.12460713,0.014974496,0.2810586,0.04053416,0.026609493,-0.03603259,0.032860078,0.03285573,-0.01478608,-0.020004839,0.045515645,-0.005946833,-0.039769635,1.3561666,1.838641956
-0.002192887,-0.003673083,0.07210814,0.001302599,0.02219538,-0.03219153,0.033801377,0.03482206,-0.014094874,-0.01970887,0.045462433,-0.006079557,-0.039780214,1.3561711,1.448142074
-0.108835086,-0.015630785,-0.14802596,-0.03982996,0.015828528,-0.02723477,0.034541268,0.036681864,-0.013396876,-0.01941357,0.04540823,-0.006212327,-0.0397908,1.3561759,1.070265656
-0.19487302,-0.030434817,-0.32963815,-0.07066908,0.00985354,-0.021188803,0.035119936,0.03843387,-0.012692631,-0.019117698,0.04535305,-0.00634519,-0.039801393,1.3561805,0.760180114
-0.29207274,-0.049995355,-0.46422145,-0.07521323,0.006087905,-0.014237001,0.03557602,0.04007632,-0.011986381,-0.018821258,0.04529686,-0.006478111,-0.03981198,1.3561853,0.510384899
-0.33364227,-0.05513252,-0.42456648,-0.06395993,0.003289501,-0.006777664,0.0359219,0.041608606,-0.011279317,-0.018524138,0.045239713,-0.006611102,-0.03982257,1.35619,0.521933729
-0.1709419,-0.03655176,-0.31471634,-0.038206533,-0.001111759,0.000709814,0.03615598,0.043029632,-0.010572624,-0.018226419,0.04518155,-0.006744152,-0.039833166,1.3561947,0.844367024
-0.054435052,-0.000260676,-0.011685628,-0.008465936,-0.007828621,0.007996021,0.036252916,0.04433958,-0.009867541,-0.017928045,0.045122392,-0.006877282,-0.03984376,1.3561994,1.332717769
0.16306579,0.022899026,0.25247577,0.016155558,-0.014936558,0.015051259,0.036168396,0.045538295,-0.009165277,-0.017629001,0.045062263,-0.00701047,-0.03985436,1.3562042,1.864024891
0.25318736,0.043498546,0.457925,0.044924956,-0.019560648,0.021914389,0.03585147,0.046600744,-0.008468187,-0.017329242,0.04500114,-0.007143716,-0.039864957,1.3562087,2.212745555
0.31499836,0.053861868,0.542646,0.06886102,-0.020908123,0.028460452,0.03524644,0.0475688,-0.0077776,-0.01702877,0.04493902,-0.007277032,-0.039875552,1.3562136,2.399928483
0.23914973,0.05243427,0.5343434,0.06717391,-0.0195542,0.03491282,0.034318242,0.048436537,-0.007093328,-0.016727572,0.044875927,-0.007410407,-0.039886154,1.3562181,2.321191275
0.1666461,0.025147675,0.35203394,0.028705446,-0.016625738,0.04097323,0.033054322,0.049206316,-0.006416305,-0.016426185,0.04481185,-0.007543851,-0.03989676,1.3562229,2.00989294
0.030849807,0.013595433,0.14919995,-0.010273879,-0.013389436,0.04629759,0.031463757,0.049880482,-0.005747509,-0.01612457,0.044746786,-0.007677353,-0.039907366,1.3562275,1.629141193
-0.005045683,0.002695791,-0.13547009,-0.03497188,-0.010046654,0.05057458,0.029565608,0.05046135,-0.005087849,-0.0158224,0.044680748,-0.007810895,-0.039917972,1.3562323,1.280036955
-0.10262124,-0.012907327,-0.3495047,-0.05125915,-0.005651111,0.053572092,0.027349342,0.050951276,-0.004438047,-0.015520002,0.04461375,-0.007944531,-0.039928578,1.356237,0.942948774
-0.22348645,-0.033349194,-0.472495,-0.06277232,0.001710767,0.05503033,0.02479698,0.051353477,-0.003798873,-0.015221071,0.04454577,-0.008078218,-0.03993919,1.3562417,0.674538708
-0.29477435,-0.049838595,-0.4946504,-0.07427093,0.01318929,0.05473413,0.02189853,0.05167054,-0.00317098,-0.014921791,0.044476826,-0.00821197,-0.0399498,1.3562465,0.562427
-0.2929462,-0.0422693,-0.40696236,-0.06997293,0.028448887,0.052659005,0.01865297,0.051904835,-0.002554856,-0.014617198,0.044406943,-0.008345786,-0.039960414,1.3562511,0.674694697
-0.08398661,-0.014597687,-0.19155878,-0.035091013,0.04571039,0.048670437,0.015079942,0.052059207,-0.001951177,-0.014309085,0.04433609,-0.008479659,-0.039971024,1.3562559,1.172166931
0.1331156,0.007450399,0.10839709,0.011742193,0.06320396,0.042538047,0.01120926,0.05213582,-0.00136055,-0.014003952,0.044264283,-0.008613585,-0.039981693,1.3562607,1.766357572
0.2218136,0.023932004,0.3558951,0.054587007,0.07778015,0.034606878,0.007085484,0.052137297,-0.000783627,-0.013700657,0.044191513,-0.008747592,-0.039992567,1.3562653,2.165069889
0.32442427,0.026009547,0.48439568,0.07257605,0.08483296,0.025763264,0.002761309,0.05206572,-0.000221014,-0.013397179,0.04411556,-0.008881652,-0.04000349,1.3562701,2.410711125
0.2544276,0.027229963,0.54874235,0.06436945,0.08148903,0.01665247,-0.001694861,0.05192269,0.000326822,-0.013096026,0.044036552,-0.009015763,-0.04001442,1.3562748,2.381650657
0.16271603,0.015322057,0.41553026,0.03789356,0.068425305,0.007780002,-0.006200351,0.051708594,0.000859533,-0.01279537,0.043956608,-0.009149939,-0.04002535,1.3562794,2.092300339
0.07533834,0.001235167,0.20565166,0.006596284,0.04831415,-0.000613665,-0.010671358,0.05142284,0.001376582,-0.01249454,0.04387566,-0.009284178,-0.04003629,1.3562841,1.716994752
-0.051373705,0.000840512,-0.011967194,-0.009120201,0.025268758,-0.008668683,-0.015039446,0.051065207,0.00187748,-0.012193579,0.043793738,-0.009418481,-0.040047236,1.3562889,1.321306071
-0.13095725,0.001488776,-0.22128625,-0.025935477,0.002819428,-0.016629988,-0.019245317,0.050636653,0.002361737,-0.011892471,0.04371086,-0.009552836,-0.040058173,1.3562937,0.981753393
-0.22870849,-0.007773608,-0.3713491,-0.050243374,-0.01818302,-0.024515647,-0.023254817,0.050137743,0.002828981,-0.011591258,0.043626994,-0.009687256,-0.04006912,1.3562983,0.667516328
-0.28665623,-0.026404496,-0.41758177,-0.067916974,-0.0379488,-0.032295354,-0.027056703,0.049568836,0.003278698,-0.011289904,0.04354217,-0.009821733,-0.04008007,1.3563031,0.49564077
-0.32716227,-0.041823506,-0.3467553,-0.06997361,-0.05559918,-0.03993381,-0.030651525,0.04893023,0.003710446,-0.01098843,0.043456238,-0.009956257,-0.04009101,1.3563079,0.479469916
-0.10762617,-0.031552635,-0.18517384,-0.042559613,-0.07028202,-0.047151115,-0.034018405,0.048220456,0.004123783,-0.01068686,0.043369263,-0.010090863,-0.040101964,1.3563126,0.872782617
0.064344056,0.000681026,0.06304256,0.011750316,-0.07979265,-0.053592794,-0.037147664,0.04744129,0.004518474,-0.010385227,0.04328136,-0.010225509,-0.04011292,1.3563173,1.360119618
0.29879868,0.022715135,0.33904853,0.05069039,-0.08303876,-0.058753293,-0.040006787,0.046594005,0.004894287,-0.010083927,0.043192532,-0.010360231,-0.04012387,1.356322,1.919888691
0.4941915,0.016731694,0.4596408,0.053483453,-0.08278666,-0.0619111,-0.04253778,0.04567855,0.005250966,-0.009784891,0.04310275,-0.010494987,-0.04013482,1.3563268,2.226756275
