IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,IMF10,IMF11,IMF12,IMF13,Residual,Pred
-0.008690599,0.002299809,0.021878896,0.013343182,-0.081515364,-0.002270947,0.005335017,0.009467992,0.011477664,0.0001104,0.004079459,0.01851691,0.047319524,0.3783302,0.419682143
-0.000396689,0.004653485,0.06198112,0.049340278,-0.087239675,-0.003181494,0.005317206,0.00890485,0.011460239,9.75E-05,0.004002906,0.018423915,0.047320772,0.378336,0.499020461
-0.000558095,0.002994245,0.09315707,0.06681115,-0.087691166,-0.003620483,0.005241249,0.00833952,0.011437328,8.42E-05,0.003926256,0.018330794,0.047322,0.3783417,0.544115747
-0.005489798,0.000909849,0.087430984,0.060542047,-0.08276147,-0.003608839,0.005103369,0.007773388,0.011408702,7.03E-05,0.003849505,0.018237535,0.047323212,0.37834743,0.529136195
-0.001492491,0.00077024,0.051302034,0.03590693,-0.07279587,-0.003244895,0.004901137,0.007206963,0.011374122,5.58E-05,0.00377266,0.018144146,0.047324378,0.3783531,0.481578299
-0.007601471,0.001692099,0.004038355,0.001672719,-0.058041718,-0.002675273,0.004636055,0.006640412,0.011333335,4.09E-05,0.003695723,0.018050624,0.047325537,0.37835872,0.409165968
-0.003779232,0.001957601,-0.06356595,-0.03537994,-0.039930467,-0.002049258,0.004307567,0.00607426,0.011286102,2.53E-05,0.0036187,0.017956981,0.04732666,0.37836432,0.326212627
-0.007009036,-0.000583995,-0.09195407,-0.06410009,-0.020959683,-0.001454032,0.003915299,0.005508751,0.01123223,9.13E-06,0.003541591,0.017863201,0.04732777,0.37836996,0.281707025
-0.008428681,0.001267319,-0.11610208,-0.07576048,-0.000809313,-0.000950134,0.003460879,0.004943911,0.01117152,-7.62E-06,0.003464403,0.017769296,0.047328852,0.37837556,0.265723436
-0.007323495,0.001416271,-0.09085337,-0.0689824,0.019713122,-0.000536197,0.002958785,0.004379741,0.011103748,-2.50E-05,0.003387138,0.017675256,0.0473299,0.37838116,0.318624689
-0.009415573,0.001683153,-0.046739407,-0.046518907,0.04063709,-0.0002081,0.002434636,0.00381641,0.011028721,-4.29E-05,0.003309799,0.017581092,0.04733094,0.37838677,0.403283694
-0.005553603,0.002961055,-0.001170237,-0.016248321,0.058515143,8.98E-05,0.001873224,0.003254531,0.010946264,-6.15E-05,0.003232387,0.017486796,0.047331937,0.37839237,0.501049832
-0.003933673,0.001132449,0.065155946,0.007882483,0.07091342,0.000394168,0.001290368,0.002693795,0.010856207,-8.07E-05,0.003154913,0.017392384,0.047332924,0.37839797,0.602582663
-0.00550328,0.000204811,0.11340347,0.024208497,0.07682445,0.000669895,0.000702467,0.002136993,0.010758397,-0.0001005,0.003077376,0.01729784,0.047333874,0.37840354,0.66941783
-0.003140013,0.001534008,0.13504158,0.05013236,0.076850414,0.000870032,0.000129255,0.001585776,0.010652779,-0.000120923,0.002999776,0.017203158,0.0473348,0.3784091,0.719482102
-0.002136481,0.004650298,0.10318354,0.06303551,0.07081988,0.000934337,-0.000409401,0.001044473,0.010539441,-0.000141977,0.00292212,0.017108366,0.04733567,0.37841463,0.697300405
-0.002649254,0.003420853,0.060795683,0.05079546,0.058249176,0.000847888,-0.000897742,0.000513384,0.010418518,-0.000163655,0.002844415,0.017013447,0.04733651,0.37842014,0.626944822
-0.008614028,0.000443729,0.011847198,0.015934402,0.038994495,0.000665978,-0.001326538,-8.91E-06,0.010290143,-0.00018597,0.002766661,0.016918404,0.047337327,0.3784257,0.513488593
-0.003082993,0.000423591,-0.042041108,-0.02407022,0.015489866,0.000422697,-0.001691724,-0.000521619,0.010154487,-0.000208925,0.002688859,0.016823232,0.047338128,0.3784312,0.400155472
-0.003923573,0.002123091,-0.095573545,-0.05503675,-0.008503548,0.000162563,-0.001996507,-0.001024095,0.010011681,-0.000232515,0.002611014,0.01672794,0.047338903,0.37843674,0.2911214
-0.004690941,-0.000137009,-0.13968922,-0.06561822,-0.028229542,-2.33E-05,-0.002248345,-0.00151384,0.00986186,-0.000256751,0.002533135,0.01663253,0.047339648,0.37844226,0.212402301
-0.014194558,-0.002458363,-0.15826325,-0.06435383,-0.044038467,-5.56E-05,-0.002455094,-0.001994986,0.009705156,-0.000281638,0.002455219,0.016536996,0.047340374,0.37844777,0.166389717
-0.001175479,-0.001203488,-0.1402581,-0.051519856,-0.05667922,0.000134281,-0.002627457,-0.002460312,0.009541705,-0.000307181,0.002377276,0.016441336,0.047341067,0.37845328,0.198057852
-0.008634677,0.000680771,-0.06851203,-0.032663118,-0.06599221,0.000565343,-0.00278197,-0.002906399,0.009371631,-0.000333411,0.002299299,0.016345562,0.047341753,0.3784588,0.273239343
-0.004635556,0.002946028,0.012529895,-0.008726401,-0.071185574,0.00118325,-0.002931291,-0.003330352,0.009195061,-0.000360301,0.002221299,0.016249664,0.047342397,0.37846428,0.378962399
0.002469162,0.003524927,0.09303552,0.013935099,-0.07225074,0.001893017,-0.003092892,-0.003730307,0.009012267,-0.000387857,0.002142947,0.016153656,0.047343027,0.3784698,0.488517625
-0.0052348,0.002253107,0.14555794,0.024392877,-0.06890718,0.002584247,-0.003281396,-0.004105411,0.008823626,-0.000416074,0.00206446,0.01605753,0.04734363,0.3784753,0.545607856
-0.003493798,0.000882898,0.163781,0.026522731,-0.06112579,0.003169572,-0.003506884,-0.004455118,0.008629473,-0.00044496,0.001985961,0.015961284,0.04734419,0.37848082,0.573731379
-0.001485929,0.002503274,0.117564395,0.023255223,-0.049418297,0.003618324,-0.003774913,-0.004778903,0.00843014,-0.000474516,0.001907453,0.01586491,0.04734466,0.3784863,0.53904212
-0.005829362,0.001465199,0.0499153,0.00996596,-0.03502609,0.003838715,-0.00408463,-0.005076774,0.008225938,-0.000504743,0.001828941,0.015768439,0.047345072,0.37849182,0.466323785
-0.00753892,-0.000328535,-0.028991943,-0.015645422,-0.019203011,0.003753587,-0.004433671,-0.005349715,0.008017166,-0.000535639,0.001750382,0.015671838,0.04734546,0.3784972,0.373008777
-0.010877657,-0.000123037,-0.110124156,-0.03691361,-0.004643912,0.003381212,-0.004819631,-0.005596658,0.00780416,-0.000567211,0.00167163,0.015575139,0.047345825,0.37850264,0.280614734
-0.007030604,-0.001739944,-0.15180637,-0.04474992,0.010985319,0.002827241,-0.005231591,-0.005817695,0.007587223,-0.000599443,0.001592882,0.015478303,0.04734617,0.37850803,0.247349602
-0.01387627,-0.002280971,-0.15456074,-0.046923503,0.026999116,0.002179873,-0.00565927,-0.006013418,0.007366666,-0.000632336,0.001514144,0.015381382,0.047346495,0.37851346,0.249354628
-0.008705962,0.001032691,-0.13269666,-0.03984805,0.043705694,0.001491819,-0.00609307,-0.006184412,0.00714279,-0.000665872,0.001435415,0.015284323,0.04734679,0.37851885,0.301764346
-0.004015418,-0.00014725,-0.055308588,-0.026940802,0.058470882,0.000780554,-0.006522891,-0.006331787,0.006915925,-0.000700036,0.001356702,0.015187166,0.04734706,0.37852424,0.408615757
-0.005258293,0.000742119,0.011406058,-0.01066158,0.06820338,0.000133705,-0.006942018,-0.006456886,0.006686436,-0.000734824,0.001277789,0.015089902,0.04734731,0.37852964,0.499362738
-0.004248648,0.001218271,0.07393441,0.015260221,0.06936183,-0.000427426,-0.007342304,-0.006561335,0.006454662,-0.000770223,0.001198802,0.014992517,0.047347516,0.37853503,0.588953324
0.004425006,0.003483878,0.12380948,0.04376251,0.06286049,-0.000922471,-0.007717797,-0.006647307,0.006220945,-0.00080621,0.001119845,0.014895022,0.04734769,0.3785404,0.670371481
0.00245774,0.004938639,0.1384629,0.05712644,0.04978611,-0.001337029,-0.008065634,-0.006717274,0.005985597,-0.000842792,0.001040918,0.01479742,0.047347844,0.3785458,0.683526681
-0.000106015,0.004660325,0.116912894,0.048828855,0.030860357,-0.001656823,-0.008384748,-0.006773577,0.005748926,-0.000879939,0.000962021,0.01469972,0.047347967,0.37855113,0.630771095
-0.002036618,0.002035294,0.076618105,0.023418767,0.008744954,-0.001846808,-0.008673944,-0.006818243,0.005511266,-0.000917654,0.000883169,0.014601913,0.047348063,0.37855646,0.537424722
-0.003737442,0.002215141,0.001509731,-0.008777068,-0.011541114,-0.001965372,-0.0089261,-0.006853359,0.005272979,-0.000955929,0.000804352,0.01450398,0.047348157,0.3785618,0.407459756
