IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,IMF10,IMF11,IMF12,IMF13,Residual,Pred
-0.0759242,-0.007774029,-0.22992948,-0.054053936,0.13871826,0.043122195,-0.003214688,-0.039478116,-0.022991102,-0.03941702,0.046636038,0.00295299,-0.039058473,1.3558716,1.075460039
0.13125937,0.013921415,-0.001462176,-0.002092966,0.16270289,0.04554706,-0.003851167,-0.040808666,-0.02367464,-0.03921527,0.046653163,0.002819186,-0.039068043,1.3558763,1.608606455
0.22045976,0.026912533,0.24127485,0.032165047,0.17514144,0.046077564,-0.004434302,-0.042110357,-0.02433916,-0.039009966,0.04666904,0.002685347,-0.039077617,1.3558812,1.998295379
0.29707265,0.01985896,0.41985062,0.035102524,0.17469618,0.044556618,-0.004911977,-0.043375105,-0.024983972,-0.038801152,0.04668366,0.00255145,-0.039087184,1.355886,2.245099272
0.32042956,0.020852897,0.46198988,0.0472013,0.1606249,0.041045174,-0.005290382,-0.04459466,-0.02560831,-0.038588904,0.046697058,0.002417519,-0.039096754,1.3558908,2.303970078
0.22160918,0.023321118,0.36266348,0.068680264,0.13374919,0.035811327,-0.005563497,-0.04575985,-0.026211279,-0.03837326,0.046709225,0.002283541,-0.039106324,1.3558955,2.095708615
0.1074157,0.011587128,0.1961489,0.060214747,0.097212486,0.028413402,-0.005730487,-0.04686025,-0.026792001,-0.03815423,0.046720173,0.002149493,-0.0391159,1.3559003,1.749109461
-0.002810136,-0.000725734,0.058216568,0.015243307,0.05207916,0.019561771,-0.005802351,-0.047886115,-0.027349731,-0.037931867,0.046729933,0.002015422,-0.039125472,1.355905,1.388119755
-0.062317673,-0.005860394,-0.120302625,-0.03523924,0.006740933,0.009855312,-0.005806785,-0.04883068,-0.027883701,-0.03770626,0.04673848,0.001881304,-0.039135043,1.3559098,1.038043428
-0.13202763,-0.008167947,-0.2936035,-0.060517322,-0.03699231,-8.21E-05,-0.005801976,-0.04968982,-0.028393302,-0.037477367,0.04674585,0.001747129,-0.039144617,1.3559146,0.712509723
-0.25735778,-0.017450606,-0.41816202,-0.060691416,-0.075033724,-0.009729465,-0.005848038,-0.050462674,-0.028877957,-0.037245274,0.04675204,0.00161293,-0.03915419,1.3559194,0.404271226
-0.332375,-0.023107214,-0.4451646,-0.05110791,-0.1026138,-0.018635757,-0.005997787,-0.051150143,-0.029337125,-0.03701002,0.04675707,0.001478673,-0.03916376,1.3559241,0.268496727
-0.31748572,-0.024015838,-0.39333928,-0.043955807,-0.11922231,-0.026346881,-0.0063075,-0.051752236,-0.029770236,-0.03677165,0.04676091,0.00134437,-0.03917334,1.3559289,0.315893383
-0.08581017,-0.014108764,-0.16740383,-0.040435474,-0.12662008,-0.032426707,-0.006822095,-0.052270807,-0.030176908,-0.036530256,0.046763595,0.001210032,-0.039182913,1.3559337,0.772119323
0.11979859,0.005463928,0.096761376,-0.007744789,-0.12985276,-0.036392346,-0.007563455,-0.052703056,-0.030556612,-0.036285866,0.046765126,0.001075647,-0.039192483,1.3559384,1.285511701
0.30732983,0.029902436,0.2564377,0.046765503,-0.12719561,-0.03796019,-0.008539337,-0.053046193,-0.030909037,-0.036038574,0.04676551,0.000941216,-0.039202057,1.3559432,1.711194397
0.40172672,0.03855585,0.3688295,0.08768914,-0.1224506,-0.037132524,-0.009751003,-0.053299796,-0.031234032,-0.035788495,0.04676475,0.00080675,-0.03921163,1.3559481,1.97145273
0.38987547,0.026347645,0.38865495,0.08924591,-0.112622924,-0.034228414,-0.011174613,-0.053464416,-0.031531617,-0.035535716,0.046762828,0.00067225,-0.03922121,1.3559529,1.979733043
0.24125905,0.007583099,0.25875878,0.06810906,-0.09463161,-0.029846502,-0.012749387,-0.053542633,-0.031801853,-0.03528034,0.046759788,0.000537691,-0.03923079,1.3559576,1.681881953
0.071082436,0.001184319,0.09036423,0.030591657,-0.0674717,-0.02478636,-0.01440972,-0.05353809,-0.032044858,-0.035022475,0.04675562,0.000403097,-0.039240368,1.3559624,1.329830188
-0.028334275,-0.007777901,-0.13118687,-0.023582831,-0.03473159,-0.019902106,-0.01607689,-0.053455323,-0.0322606,-0.034762204,0.046750303,0.000268457,-0.039249945,1.3559672,0.981665425
-0.15047573,-0.029022496,-0.29808393,-0.084135726,-0.004776903,-0.015806265,-0.017683368,-0.05329921,-0.032449126,-0.03449964,0.046743855,0.000133782,-0.039259523,1.3559719,0.643357621
-0.3059865,-0.047967143,-0.39186254,-0.112929784,0.020262798,-0.012712689,-0.019285632,-0.053074226,-0.032610465,-0.034234885,0.04673629,-9.16E-07,-0.039269105,1.3559767,0.373041903
-0.32237607,-0.052844085,-0.42044166,-0.09472618,0.03979316,-0.010613295,-0.02079874,-0.05278116,-0.032744534,-0.03396807,0.046727613,-0.000135672,-0.039278686,1.3559817,0.361794321
-0.29650906,-0.03828068,-0.33065578,-0.057195015,0.057696503,-0.009249667,-0.022073813,-0.05242177,-0.032851204,-0.033699308,0.046717826,-0.000270463,-0.03928827,1.3559865,0.547905799
-0.12797734,-0.0090055,-0.12523629,-0.014818674,0.074357055,-0.008264702,-0.023058869,-0.05199636,-0.032930378,-0.03342872,0.046706937,-0.000405313,-0.03929785,1.3559912,1.010635197
0.17964455,0.026792515,0.082902715,0.030036593,0.08774621,-0.007144219,-0.023723828,-0.051505312,-0.032981966,-0.033156384,0.04669496,-0.000540197,-0.03930743,1.355996,1.621454208
0.28347602,0.056863975,0.25063863,0.07112626,0.09465567,-0.005509708,-0.024053954,-0.050949246,-0.033005748,-0.03288241,0.046681892,-0.000675092,-0.039317016,1.3560008,1.973050073
0.39981183,0.07902554,0.40242803,0.0992255,0.09338279,-0.003215926,-0.024047269,-0.05032809,-0.033001635,-0.032606903,0.046667736,-0.000810046,-0.0393266,1.3560057,2.293210658
0.43613234,0.07782443,0.4113098,0.10135978,0.08282551,-0.000361369,-0.023708718,-0.049640663,-0.03296946,-0.032329936,0.046652485,-0.000945023,-0.03933619,1.3560104,2.332823386
0.32177266,0.06047582,0.3259236,0.08129886,0.06371021,0.003004797,-0.023015622,-0.04888481,-0.032909203,-0.032051597,0.046636168,-0.001080058,-0.039345775,1.3560152,2.08155025
0.20165433,0.031910982,0.16332187,0.04653771,0.03742155,0.006584987,-0.021947786,-0.048059106,-0.03282071,-0.0317719,0.046618767,-0.001215116,-0.039355364,1.35602,1.714900214
0.08212882,0.009275017,0.001114316,0.003941325,0.009486588,0.010053016,-0.02050279,-0.04716231,-0.032703828,-0.031490948,0.046600275,-0.001350209,-0.03936495,1.3560249,1.346049221
