IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,IMF10,IMF11,IMF12,IMF13,Residual,Pred
-0.004338544,0.001453077,0.028003827,0.023269098,-0.08242174,-0.002623722,0.005429493,0.009578539,0.011889652,8.38E-05,0.003958555,0.018519528,0.047519326,0.37828898,0.438609866
0.002846172,0.003952611,0.070320524,0.05877507,-0.087488614,-0.003552126,0.00540208,0.00900837,0.011871692,7.13E-05,0.003886723,0.018429138,0.047520358,0.3782948,0.519338077
0.00028553,0.00218912,0.10267826,0.078122735,-0.08811781,-0.003996408,0.005319198,0.008436755,0.011848111,5.82E-05,0.003814835,0.018338652,0.047521356,0.37830055,0.564799116
-0.00112688,-2.34E-05,0.096984975,0.073580064,-0.08312403,-0.003981996,0.005177681,0.007865057,0.011818687,4.47E-05,0.003742896,0.018248087,0.04752233,0.37830633,0.555034484
0.001602177,-0.000161985,0.059492715,0.049549658,-0.0727424,-0.003608858,0.004976782,0.007294089,0.011783184,3.05E-05,0.003670908,0.018157411,0.04752328,0.37831208,0.505879574
-0.00299061,0.000830052,0.010907223,0.014194927,-0.057627987,-0.003025133,0.004716333,0.006724197,0.011741338,1.58E-05,0.003598878,0.01806665,0.047524195,0.37831786,0.432993771
-0.003123014,0.001097033,-0.057891503,-0.022433843,-0.03868319,-0.002381719,0.004395937,0.006156229,0.011692932,5.76E-07,0.003526801,0.017975802,0.047525093,0.37832364,0.346180775
-0.00119465,-0.001593871,-0.08795383,-0.050347716,-0.019075276,-0.001767636,0.004015434,0.005606753,0.01163779,-1.53E-05,0.003454692,0.017884847,0.047525954,0.3783294,0.306506613
-0.003712045,0.000356689,-0.111791074,-0.062307026,-0.000299074,-0.001243649,0.003576577,0.005057554,0.011575697,-3.17E-05,0.00338255,0.017793817,0.0475268,0.37833515,0.288220231
-0.003752962,0.000557563,-0.08719082,-0.054275453,0.020957818,-0.000811683,0.003070942,0.004508654,0.011506462,-4.88E-05,0.003310376,0.017702684,0.047527608,0.3783409,0.34140329
-0.005060449,0.000820636,-0.040416002,-0.03499591,0.042370234,-0.000469202,0.002520592,0.003960245,0.011429903,-6.65E-05,0.003238176,0.017611476,0.047528394,0.37834665,0.426818267
-0.001438249,0.002147105,0.005805566,-0.008196083,0.060650263,-0.000157946,0.001950688,0.003410481,0.011345864,-8.48E-05,0.003165946,0.017520173,0.047529157,0.3783524,0.522000597
-0.000641564,0.000239323,0.07332499,0.01638812,0.07362266,0.000161088,0.00136005,0.002863047,0.011254186,-0.000103686,0.003093702,0.017428769,0.04752989,0.37835813,0.624878705
-0.001522815,-0.000761309,0.12157187,0.036039688,0.079471014,0.000442153,0.000764833,0.002320205,0.01115474,-0.000123224,0.003021442,0.017337292,0.047530588,0.3783639,0.695610377
0.000500978,0.000627208,0.14322996,0.06031531,0.07967552,0.000645208,0.000185336,0.001783556,0.011047527,-0.000143379,0.002949168,0.017245727,0.047531277,0.37836966,0.743963055
0.000143205,0.003949408,0.11116929,0.073256604,0.07360055,0.000714983,-0.000358352,0.001254138,0.010932621,-0.000164164,0.002873872,0.017154075,0.047531936,0.37837538,0.720433547
-0.000701137,0.00261507,0.06844358,0.06381597,0.060974583,0.000636226,-0.000850507,0.000732706,0.010810203,-0.000185578,0.002793979,0.01706233,0.047532566,0.3783811,0.652061093
-0.0044963,-0.000491684,0.020377737,0.030460546,0.040917538,0.0004488,-0.001282098,0.000219836,0.010680429,-0.000207628,0.002714072,0.0169705,0.047533166,0.37838686,0.542231775
0.000313144,-0.000539697,-0.032036215,-0.009989582,0.017127998,0.000193681,-0.001649337,-0.000283666,0.010543493,-0.000230312,0.002634156,0.016878592,0.047533743,0.37839258,0.428888578
-0.00048616,0.001258431,-0.086916156,-0.043011278,-0.007290056,-7.85E-05,-0.001955458,-0.000776459,0.010399571,-0.00025364,0.00255424,0.016786598,0.047534302,0.3783983,0.31616369
-0.001296551,-0.001107947,-0.13486186,-0.057174396,-0.02908564,-0.000271928,-0.002208543,-0.001256825,0.010248818,-0.000277619,0.002474317,0.016694525,0.04753482,0.37840405,0.227815221
-0.007974315,-0.003543312,-0.14790198,-0.05795045,-0.044052124,-0.000302722,-0.002416887,-0.001722817,0.010091404,-0.000302241,0.002394394,0.016602369,0.047535323,0.37840977,0.188866411
0.002378123,-0.002225026,-0.12388965,-0.045884535,-0.057000656,-9.75E-05,-0.002591349,-0.002127924,0.009927501,-0.000327506,0.002314471,0.016510129,0.047535792,0.3784155,0.222937346
-0.004010805,-0.000254281,-0.057089478,-0.02701679,-0.06596761,0.000364769,-0.002746726,-0.002508021,0.009745635,-0.000353435,0.002234559,0.016417803,0.047536243,0.37842122,0.294773083
-0.001557327,0.002143819,0.01878744,-0.000887125,-0.07134963,0.001007377,-0.002897374,-0.002869147,0.009554702,-0.000380025,0.002154662,0.016325405,0.047536664,0.3784269,0.395996342
0.002874816,0.002757188,0.10068618,0.023737377,-0.0724551,0.001714582,-0.00306135,-0.00320976,0.009357237,-0.000407271,0.002074783,0.01623292,0.04753706,0.37843266,0.506271322
-0.002044569,0.001415748,0.15310915,0.036251128,-0.06894401,0.002404482,-0.003253482,-0.003529773,0.009153668,-0.000435183,0.001994923,0.016140359,0.047537427,0.37843835,0.568238218
-0.00026433,-1.51E-05,0.17312297,0.04105265,-0.060801648,0.002989365,-0.003483928,-0.003841583,0.008944438,-0.000463759,0.001915095,0.016047722,0.04753777,0.37844408,0.601183708
0.001297998,0.001686017,0.12541775,0.037227053,-0.048659526,0.003437658,-0.003758191,-0.004129821,0.008729901,-0.000493005,0.001835296,0.015955007,0.047538087,0.3784498,0.564534022
-0.003158623,0.000582544,0.058307637,0.021333428,-0.03343803,0.003656568,-0.004075008,-0.004394358,0.008510441,-0.000522914,0.001755526,0.015862217,0.047538392,0.3784555,0.49041332
-0.00309587,-0.001325943,-0.019943858,-0.004245498,-0.016799944,0.003568074,-0.004431848,-0.004634994,0.00828642,-0.00055349,0.001675798,0.01576935,0.047538653,0.37846118,0.40026803
-0.005377573,-0.001106871,-0.10729431,-0.026513092,-0.002375939,0.003191469,-0.00482445,-0.004851744,0.008058216,-0.000584739,0.001596108,0.015676413,0.047538895,0.37846687,0.301599254
-0.002430045,-0.002843907,-0.13974619,-0.036579926,0.011716541,0.002634277,-0.00524311,-0.005045055,0.00782621,-0.000616648,0.00151646,0.015583398,0.04753911,0.37847257,0.272783686
-0.007933175,-0.00332274,-0.14150213,-0.03725707,0.027929217,0.001984781,-0.005677274,-0.00521557,0.007590747,-0.00064921,0.001436858,0.015490308,0.047539312,0.37847826,0.278892313
-0.00442367,0.000145156,-0.12572551,-0.029333988,0.04542993,0.001296111,-0.006117037,-0.005363912,0.007352192,-0.00068241,0.00135731,0.015397145,0.047539465,0.37848395,0.325354731
-0.001168402,-0.001091399,-0.051404398,-0.014587237,0.06054152,0.000565457,-0.00655213,-0.005491233,0.007110924,-0.000716237,0.001277817,0.015303902,0.047539614,0.37848964,0.429817837
-0.00155063,-0.000197202,0.019604506,0.004540655,0.07097409,-0.000131085,-0.006975734,-0.005598899,0.006867346,-0.000750679,0.001198378,0.015210608,0.047539733,0.37849534,0.529226427
-0.001035461,0.000298126,0.082237646,0.031934258,0.07290053,-0.000730424,-0.007378796,-0.005688563,0.006621862,-0.000785728,0.001119002,0.015117228,0.047539815,0.37850103,0.620650526
0.005081269,0.002703782,0.13311619,0.056729686,0.06651718,-0.001252063,-0.007776486,-0.005762425,0.006374846,-0.000821365,0.001039689,0.01502378,0.04753989,0.37850672,0.697020691
0.003130531,0.004243299,0.14638169,0.068310656,0.05182636,-0.001680307,-0.008164544,-0.005822988,0.006126645,-0.000857581,0.000960446,0.01493027,0.047539927,0.37851238,0.705436783
0.002263725,0.003963908,0.122009285,0.06045307,0.03168618,-0.002000601,-0.008520478,-0.005872619,0.00587762,-0.000894362,0.000881274,0.014836679,0.047539935,0.37851807,0.650741686
0.000300312,0.001171402,0.08154621,0.0351824,0.009550916,-0.002178292,-0.008843144,-0.00591336,0.005628114,-0.000931709,0.00080218,0.014743037,0.047539935,0.37852374,0.557121741
-0.000602193,0.001364548,0.009002383,0.005371516,-0.009861619,-0.002277055,-0.00912476,-0.005947382,0.00537854,-0.000969607,0.000723172,0.014649309,0.047539897,0.37852943,0.433776179
