IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,IMF10,IMF11,IMF12,IMF13,Residual,Pred
0.053317282,0.004254509,0.23961435,0.11047933,-0.010094717,0.005522917,0.003558013,0.006376799,0.009041372,0.006249304,0.01613728,-0.01301271,0.055469945,0.83612084,1.323034513
0.03390953,0.006214469,0.10437506,0.08545674,-0.062223263,0.007874128,0.003072187,0.006433404,0.009357096,0.006333369,0.016087547,-0.01305658,0.055403803,0.83612716,1.095364649
0.010501994,0.003772028,-0.025811657,0.028226294,-0.11318994,0.00944572,0.002472738,0.006498138,0.009668687,0.006417093,0.016037373,-0.013100259,0.055337682,0.8361334,0.832409291
0.004338831,-0.000138461,-0.10536391,-0.04686512,-0.16189763,0.010091598,0.001750328,0.006571503,0.009976048,0.006500463,0.015986752,-0.013143749,0.055271566,0.83613974,0.619217959
-0.023886124,-0.003847835,-0.20444281,-0.10752836,-0.19689806,0.009798257,0.000902647,0.006653718,0.01027904,0.006583481,0.015935687,-0.013187049,0.055205464,0.83614606,0.391714115
-0.03445306,-0.00149585,-0.29975793,-0.11416406,-0.2112309,0.008679305,-6.10E-05,0.00674433,0.010577567,0.00666615,0.01588418,-0.013230161,0.055139385,0.8361523,0.265450232
-0.032620095,-0.001285561,-0.30949888,-0.09783287,-0.20686807,0.00704765,-0.001127053,0.006842698,0.010871581,0.006748399,0.015832221,-0.013273085,0.05507332,0.83615863,0.276068884
-0.031299092,-0.005170269,-0.24128303,-0.0571044,-0.1889023,0.005280511,-0.002298117,0.006948217,0.011160998,0.006830206,0.015779821,-0.013315818,0.055007283,0.83616483,0.39779884
-0.019697111,-0.005340901,-0.051440272,0.000217251,-0.16183634,0.003679878,-0.003694293,0.007060763,0.011445729,0.006911525,0.015726969,-0.013358361,0.054941237,0.8361711,0.680787175
0.0321502,0.003710787,0.047210637,0.055949762,-0.1265569,0.002523128,-0.0051626,0.007180644,0.011725694,0.006992325,0.015673662,-0.013400718,0.05487522,0.8361774,0.929049241
0.03317571,-0.001143558,0.24567027,0.08731288,-0.08306995,0.001943905,-0.006655349,0.007308207,0.012000797,0.007072557,0.01561991,-0.013442883,0.05480922,0.8361836,1.196785317
0.05365473,-0.000188222,0.30674776,0.109699994,-0.036719978,0.001903455,-0.00813349,0.007443695,0.012271016,0.007152177,0.015565699,-0.013484864,0.054743238,0.83618987,1.346845079
