Metric,Value,Station,Month,Model
R2,0.751 ,Burlington Station,12,BiLSTM
RMSE,0.388866902,Burlington Station,12,BiLSTM
MAE,0.32855637,Burlington Station,12,BiLSTM
R2,0.767 ,Burlington Station,3,BiLSTM
RMSE,0.38370627,Burlington Station,3,BiLSTM
MAE,0.35933639,Burlington Station,3,BiLSTM
R2,0.743 ,Burlington Station,6,BiLSTM
RMSE,0.409286492,Burlington Station,6,BiLSTM
MAE,0.384660058,Burlington Station,6,BiLSTM
R2,0.762 ,Burlington Station,9,BiLSTM
RMSE,0.382500013,Burlington Station,9,BiLSTM
MAE,0.34482049,Burlington Station,9,BiLSTM
R2,0.774 ,Burlington Station,12,N
RMSE,0.370658767,Burlington Station,12,N
MAE,0.339887026,Burlington Station,12,N
R2,0.769 ,Burlington Station,3,N
RMSE,0.381829761,Burlington Station,3,N
MAE,0.341303043,Burlington Station,3,N
R2,0.753 ,Burlington Station,6,N
RMSE,0.40135654,Burlington Station,6,N
MAE,0.357795193,Burlington Station,6,N
R2,0.765 ,Burlington Station,9,N
RMSE,0.379637901,Burlington Station,9,N
MAE,0.351252943,Burlington Station,9,N
R2,0.757 ,Burlington Station,12,Stack
RMSE,0.384246474,Burlington Station,12,Stack
MAE,0.329682035,Burlington Station,12,Stack
R2,0.772 ,Burlington Station,3,Stack
RMSE,0.379092927,Burlington Station,3,Stack
MAE,0.350776821,Burlington Station,3,Stack
R2,0.757 ,Burlington Station,6,Stack
RMSE,0.397553472,Burlington Station,6,Stack
MAE,0.36281501,Burlington Station,6,Stack
R2,0.765 ,Burlington Station,9,Stack
RMSE,0.38001125,Burlington Station,9,Stack
MAE,0.347107246,Burlington Station,9,Stack
R2,0.848089169,HONOLULU Station,12,BiLSTM
RMSE,0.078640668,HONOLULU Station,12,BiLSTM
MAE,0.062625944,HONOLULU Station,12,BiLSTM
R2,0.829811988,HONOLULU Station,3,BiLSTM
RMSE,0.067909967,HONOLULU Station,3,BiLSTM
MAE,0.057108455,HONOLULU Station,3,BiLSTM
R2,0.865357756,HONOLULU Station,6,BiLSTM
RMSE,0.070600661,HONOLULU Station,6,BiLSTM
MAE,0.056820601,HONOLULU Station,6,BiLSTM
R2,0.834218702,HONOLULU Station,9,BiLSTM
RMSE,0.069603853,HONOLULU Station,9,BiLSTM
MAE,0.057535986,HONOLULU Station,9,BiLSTM
R2,0.86408177,HONOLULU Station,12,N
RMSE,0.074386081,HONOLULU Station,12,N
MAE,0.060469989,HONOLULU Station,12,N
R2,0.830151157,HONOLULU Station,3,N
RMSE,0.067842264,HONOLULU Station,3,N
MAE,0.056756669,HONOLULU Station,3,N
R2,0.866669847,HONOLULU Station,6,N
RMSE,0.070255816,HONOLULU Station,6,N
MAE,0.056128462,HONOLULU Station,6,N
R2,0.835749466,HONOLULU Station,9,N
RMSE,0.06928176,HONOLULU Station,9,N
MAE,0.056722468,HONOLULU Station,9,N
R2,0.849278664,HONOLULU Station,12,Stack
RMSE,0.078332176,HONOLULU Station,12,Stack
MAE,0.063339888,HONOLULU Station,12,Stack
R2,0.833489567,HONOLULU Station,3,Stack
RMSE,0.067172229,HONOLULU Station,3,Stack
MAE,0.055926182,HONOLULU Station,3,Stack
R2,0.872881261,HONOLULU Station,6,Stack
RMSE,0.068599805,HONOLULU Station,6,Stack
MAE,0.055342823,HONOLULU Station,6,Stack
R2,0.835147787,HONOLULU Station,9,Stack
RMSE,0.06940854,HONOLULU Station,9,Stack
MAE,0.056978619,HONOLULU Station,9,Stack
R2,0.862796975,KAHUKUI Station,12,BiLSTM
RMSE,0.085723297,KAHUKUI Station,12,BiLSTM
MAE,0.068322327,KAHUKUI Station,12,BiLSTM
R2,0.812404985,KAHUKUI Station,3,BiLSTM
RMSE,0.089091477,KAHUKUI Station,3,BiLSTM
MAE,0.075311193,KAHUKUI Station,3,BiLSTM
R2,0.83488294,KAHUKUI Station,6,BiLSTM
RMSE,0.094911387,KAHUKUI Station,6,BiLSTM
MAE,0.079156995,KAHUKUI Station,6,BiLSTM
R2,0.802006067,KAHUKUI Station,9,BiLSTM
RMSE,0.091687918,KAHUKUI Station,9,BiLSTM
MAE,0.07558469,KAHUKUI Station,9,BiLSTM
R2,0.860661554,KAHUKUI Station,12,N
RMSE,0.086387818,KAHUKUI Station,12,N
MAE,0.068995399,KAHUKUI Station,12,N
R2,0.816990144,KAHUKUI Station,3,N
RMSE,0.087995963,KAHUKUI Station,3,N
MAE,0.073743608,KAHUKUI Station,3,N
R2,0.845337871,KAHUKUI Station,6,N
RMSE,0.091857441,KAHUKUI Station,6,N
MAE,0.076394689,KAHUKUI Station,6,N
R2,0.81319137,KAHUKUI Station,9,N
RMSE,0.089060399,KAHUKUI Station,9,N
MAE,0.073380615,KAHUKUI Station,9,N
R2,0.84343753,KAHUKUI Station,12,Stack
RMSE,0.091571612,KAHUKUI Station,12,Stack
MAE,0.071206934,KAHUKUI Station,12,Stack
R2,0.814235352,KAHUKUI Station,3,Stack
