IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,IMF10,IMF11,IMF12,IMF13,Residual,Pred
0.054184668,0.004387363,0.24260926,0.11131208,-0.013709215,0.003630829,0.003567769,0.006775867,0.009305174,0.006153622,0.016329283,-0.013193508,0.055620153,0.8361259,1.323099244
0.034044437,0.006240554,0.10799825,0.086056426,-0.067962855,0.005847631,0.003029111,0.006834299,0.009613276,0.006237229,0.016279029,-0.013237745,0.05554919,0.8361321,1.092660931
0.009440536,0.003810208,-0.028327955,0.027687049,-0.12062695,0.007308035,0.002381863,0.006901016,0.009917249,0.00632055,0.016228309,-0.013281782,0.05547824,0.8361384,0.819374767
0.001413605,0.000107175,-0.11271628,-0.04406407,-0.1671004,0.007876747,0.001616821,0.006976535,0.010217016,0.006403549,0.01617712,-0.01332562,0.0554073,0.8361446,0.605134098
-0.02499112,-0.003345024,-0.21577623,-0.101358324,-0.19954346,0.007545312,0.000732319,0.007061065,0.010512468,0.006486217,0.016125472,-0.013369259,0.055336382,0.8361509,0.381566717
-0.037068836,-0.001093174,-0.3030361,-0.113419205,-0.21224347,0.006426918,-0.000268356,0.007154101,0.010803544,0.006568539,0.016073354,-0.013412702,0.055265468,0.8361571,0.257907181
-0.03377783,-0.0008213,-0.3078619,-0.09622862,-0.20704158,0.004826149,-0.001373264,0.00725497,0.011090199,0.006650483,0.016020758,-0.013455944,0.055194575,0.8361633,0.276639996
-0.03187448,-0.004582319,-0.23800261,-0.05477303,-0.1891446,0.0031056,-0.002572086,0.007363027,0.011372388,0.006732023,0.015967702,-0.01349899,0.055123683,0.8361696,0.401385909
-0.020630121,-0.004787547,-0.049585294,0.002504675,-0.16287257,0.001551541,-0.003855119,0.007478159,0.01165004,0.006813113,0.015914172,-0.013541834,0.055052813,0.8361758,0.681867828
0.029486746,0.003729209,0.04932266,0.05807691,-0.12883216,0.000444891,-0.005202313,0.007600625,0.011923084,0.006893715,0.01586017,-0.013584483,0.05498196,0.836182,0.926883015
0.031491756,-0.000807168,0.24978997,0.089655936,-0.08566588,-0.000102617,-0.006662193,0.007730808,0.012191463,0.006973794,0.015805693,-0.013626933,0.054911125,0.8361882,1.197873954
0.052940834,0.000183226,0.31318334,0.11221637,-0.042447794,-0.000144723,-0.008116367,0.007868918,0.012455289,0.007053301,0.01575074,-0.013669184,0.054840297,0.8361944,1.348308647
0.036599614,0.002699081,0.33399013,0.11772582,0.000562456,0.000141875,-0.009524166,0.008015196,0.012714767,0.007132192,0.01569531,-0.013711239,0.054769475,0.83620065,1.403011161
