IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,IMF10,IMF11,IMF12,IMF13,Residual,Pred
0.020245843,0.004868364,0.25338092,0.07784183,-0.017091613,0.005584197,0.003035299,0.006765149,0.008793869,0.006035016,0.0161422,-0.013251599,0.05548437,0.83617085,1.264004694
0.003976095,0.006824158,0.12440619,0.050619356,-0.07016905,0.007858935,0.002502277,0.006819886,0.009099819,0.006118716,0.016093235,-0.013297303,0.055416394,0.83617723,1.042445937
-0.01755756,0.004367363,-0.010139977,-0.008911389,-0.12377654,0.009345137,0.001859026,0.006882513,0.009402026,0.006202101,0.016043838,-0.0133428,0.055348437,0.8361836,0.771905774
-0.022841271,0.000443627,-0.09126522,-0.06560298,-0.17168419,0.009880813,0.001094728,0.006953547,0.009700378,0.00628518,0.015994016,-0.013388095,0.055280477,0.83619,0.57704101
-0.05161036,-0.003261284,-0.19288968,-0.13344568,-0.20562498,0.009512814,0.00020531,0.007033203,0.009994748,0.006367921,0.015943753,-0.013433186,0.05521254,0.83619636,0.340201479
-0.058881782,-0.000920736,-0.28992435,-0.13722876,-0.21939783,0.008366104,-0.000801936,0.007121018,0.010285052,0.0064503,0.01589306,-0.013478074,0.055144615,0.83620274,0.21882942
-0.05798993,-0.000699308,-0.3030358,-0.12344213,-0.21506368,0.006710426,-0.001915138,0.007216359,0.010571218,0.006532296,0.01584193,-0.013522758,0.055076696,0.8362091,0.222489281
-0.058200393,-0.004570938,-0.2390105,-0.082605146,-0.19760238,0.004926813,-0.003124089,0.00731864,0.010853179,0.006613889,0.015790362,-0.013567238,0.055008788,0.8362155,0.338046487
-0.04575473,-0.004773523,-0.038692612,-0.024122717,-0.17141949,0.003318679,-0.004419243,0.007427725,0.011130844,0.006695031,0.015738359,-0.013611516,0.054940905,0.8362219,0.632679612
0.002411632,0.004268014,0.06147586,0.03284821,-0.13718942,0.002174351,-0.00578877,0.007543925,0.011404108,0.006775678,0.015685918,-0.013655589,0.054873023,0.83622825,0.87905519
0.003544383,-0.000565379,0.25966603,0.06459629,-0.094278105,0.001609516,-0.007246485,0.0076676,0.011672902,0.006855797,0.015633034,-0.01369946,0.054805156,0.8362345,1.146495777
