Metric,Value,Station,Month
R2,0.7687751118480871,Burlington Station,12
RMSE,0.3747315066497878,Burlington Station,12
MAE,0.3366461678734769,Burlington Station,12
R2,0.7670195257581097,Burlington Station,3
RMSE,0.3835088863410908,Burlington Station,3
MAE,0.3486771763364175,Burlington Station,3
R2,0.7567425863134473,Burlington Station,6
RMSE,0.3980557801060853,Burlington Station,6
MAE,0.3596321909662191,Burlington Station,6
R2,0.7516017300940165,Burlington Station,9
RMSE,0.3906873606455265,Burlington Station,9
MAE,0.3521596422986888,Burlington Station,9
R2,0.8728501839058663,HONOLULU Station,12
RMSE,0.0719466685774198,HONOLULU Station,12
MAE,0.0588434453894138,HONOLULU Station,12
R2,0.8202685213556627,HONOLULU Station,3
RMSE,0.0697880572283613,HONOLULU Station,3
MAE,0.0571571219256838,HONOLULU Station,3
R2,0.8672320713530033,HONOLULU Station,6
RMSE,0.0701075329106576,HONOLULU Station,6
MAE,0.0563989853188377,HONOLULU Station,6
R2,0.8263351223011258,HONOLULU Station,9
RMSE,0.0712396067193482,HONOLULU Station,9
MAE,0.0580655026537441,HONOLULU Station,9
R2,0.8533768221831151,KAHUKUI Station,12
RMSE,0.0886172642816833,KAHUKUI Station,12
MAE,0.070931311900981,KAHUKUI Station,12
R2,0.8055322825815375,KAHUKUI Station,3
RMSE,0.0907087679048341,KAHUKUI Station,3
MAE,0.0763687960826996,KAHUKUI Station,3
R2,0.8579698823212208,KAHUKUI Station,6
RMSE,0.0880263252864915,KAHUKUI Station,6
MAE,0.0711684533069139,KAHUKUI Station,6
R2,0.802910475845776,KAHUKUI Station,9
RMSE,0.0914782692923617,KAHUKUI Station,9
MAE,0.0754910896122164,KAHUKUI Station,9
R2,0.8451480827933655,LaJolla Station,12
RMSE,0.204072463246666,LaJolla Station,12
MAE,0.1722774003673705,LaJolla Station,12
R2,0.8118726833043975,LaJolla Station,3
RMSE,0.2131022365125288,LaJolla Station,3
MAE,0.1782926733890588,LaJolla Station,3
R2,0.8402235108480759,LaJolla Station,6
RMSE,0.2051033686343435,LaJolla Station,6
MAE,0.168923666702159,LaJolla Station,6
R2,0.8061859882724935,LaJolla Station,9
RMSE,0.2107837708359086,LaJolla Station,9
MAE,0.1753187795818877,LaJolla Station,9
R2,0.8815377190445532,Nawiliwili Station,12
RMSE,0.0677599423129291,Nawiliwili Station,12
MAE,0.0555853989432723,Nawiliwili Station,12
R2,0.8328406919973211,Nawiliwili Station,3
RMSE,0.0684297512205696,Nawiliwili Station,3
MAE,0.0567055656210413,Nawiliwili Station,3
R2,0.8691660511549828,Nawiliwili Station,6
RMSE,0.0719682645545754,Nawiliwili Station,6
MAE,0.0587007733290913,Nawiliwili Station,6
R2,0.8251610850151716,Nawiliwili Station,9
RMSE,0.0722205799536818,Nawiliwili Station,9
MAE,0.0594356338282752,Nawiliwili Station,9
