Time,LightGBM,BiLSTM,StackLSTM ,LSTM,RF,SVM,XGB,TRUE
2010/7/20 16:00,48.51064153,50.131184,51.405212,47.615395,49.60250859,49.49941859,38.556473,42.4137931
2010/7/20 16:30,38.88462093,37.437485,39.221497,35.44134,35.44176728,35.82754053,28.418459,49.81034483
2010/7/20 17:00,42.23724409,40.56213,44.039078,37.658607,45.27200284,40.34355886,45.40328,36.48275862
2010/7/20 17:30,27.10044002,31.64775,33.811684,30.213108,28.0010536,29.65895237,28.67667,27.93965517
2010/7/20 18:00,21.06660889,22.56609,24.469887,21.526772,22.34684091,20.51821306,16.965593,26
2010/7/20 18:30,19.64421859,19.305857,23.602987,18.402664,23.31426928,18.54161622,21.074594,16.96551724
2010/7/20 19:00,12.91370089,13.712817,14.745545,11.697263,11.5840644,11.98224279,7.6035104,7.456896552
2010/7/20 19:30,3.622368443,6.632618,8.501555,5.8231015,2.625256454,4.464861768,-3.0775342,5.38362069
2010/7/21 5:00,3.445467378,5.9565525,7.937209,6.8765993,2.758378616,3.414309677,1.3117727,2.851724138
2010/7/21 5:30,5.883385421,6.0752454,7.629002,6.085325,5.739863066,4.740210309,4.628797,7.939655172
2010/7/21 6:00,11.31852775,11.1790695,12.01576,11.6728115,11.02526687,7.839128412,7.2150216,13.18103448
2010/7/21 6:30,13.10937275,13.818903,15.416122,14.170749,11.64834963,12.0482516,5.0518484,20.32758621
2010/7/21 7:00,21.28310334,19.176357,20.910524,18.21823,18.93181844,17.06341626,26.642118,28.43103448
2010/7/21 7:30,24.870904,27.075354,28.212988,25.488983,22.9951074,25.1836214,19.844296,34.93103448
2010/7/21 8:00,29.26141188,31.859968,33.48867,29.543661,28.52179185,29.37387003,32.76827,41.90517241
2010/7/21 8:30,36.57870251,38.264244,40.04147,35.370407,39.48580056,35.14742083,44.767414,45.04310345
2010/7/21 9:00,39.51501023,40.805923,42.998035,37.436714,40.80962039,37.91107791,40.653313,56.73275862
2010/7/21 9:30,49.89918121,52.14921,52.328495,49.093872,47.91232086,49.22861404,51.2979,44.93103448
2010/7/21 10:00,40.72099667,40.167816,40.497494,37.686653,39.71424718,37.20975303,42.88484,35.34482759
2010/7/21 10:30,25.33924847,30.930792,31.895077,29.166126,24.55562117,29.39121179,18.24401,41.26724138
2010/7/21 11:00,34.86162256,33.8637,35.40254,30.812698,33.95398948,32.2165149,26.578789,55.90517241
2010/7/21 11:30,45.7086454,47.615273,46.392788,44.591934,45.85457052,45.7801891,37.58108,77.84482759
2010/7/21 12:00,61.55518498,67.68754,62.37348,65.59065,66.24328576,64.08196199,71.97471,45.27586207
2010/7/21 12:30,39.34378647,47.729427,46.299343,43.384037,42.28350618,38.98837739,39.652626,11.62931034
2010/7/21 13:00,13.13110783,14.7437935,17.153393,11.607393,13.98086401,10.02374417,4.5055685,10.92241379
2010/7/21 13:30,8.57146402,8.591046,11.539982,7.934246,7.378806549,9.597688101,7.0279694,10.11206897
2010/7/21 14:00,5.220256207,7.660527,10.165299,7.2436724,7.175292694,8.083140203,20.138433,19.71551724
2010/7/21 14:30,18.31528683,16.087196,18.546068,14.089321,16.61492637,15.76901135,47.847485,10.63793103
2010/7/21 15:00,8.221560592,10.127774,10.282165,9.145541,7.586911826,11.59980977,13.601467,11.52586207
2010/7/21 15:30,9.079282574,10.576092,11.455582,10.230731,8.27986154,14.28880381,13.912288,10.67241379
2010/7/21 16:00,7.429053325,9.699584,10.295426,9.56907,7.318118173,11.66466251,21.639084,6.948275862
2010/7/21 16:30,4.744092836,6.9760485,6.6550326,6.7414713,2.686863929,7.857270954,13.813486,2.820689655
2010/7/21 17:00,4.254826047,3.9916356,4.4704404,3.379464,1.541179735,5.088570766,-0.47280234,3.970689655
2010/7/21 17:30,5.426328058,5.666963,7.1299095,5.5237455,4.364064415,7.082322109,9.033545,5.897413793
