BiLSTM,StackLSTM ,LSTM,TRUE
24.870739,24.901546,25.643782,29.13793103
26.335867,26.561815,27.926468,31.03448276
27.826868,28.010443,29.321106,25.43103448
24.713362,24.289694,24.515182,18.70689655
19.744558,19.53327,19.050865,24.65517241
22.598728,23.211517,24.693426,20.43103448
20.39954,20.256445,20.20087,14.05172414
15.108124,14.608181,14.700885,9.74137931
9.488415,9.410667,10.209779,4.310344828
4.376474,5.4995227,5.469862,4.310344828
4.36548,5.8579106,6.930992,3.103448276
2.6052132,4.4400196,5.1185536,6.293103448
8.028501,9.317074,10.588561,7.155172414
7.5560884,8.9819565,9.921619,13.01724138
13.6684675,14.571738,16.348066,11.46551724
12.125164,12.497163,13.219616,8.103448276
8.948584,9.207947,10.110015,18.18965517
18.048304,18.353598,20.351501,26.29310345
24.774824,25.178358,27.05075,11.37931034
14.942015,16.010565,15.244552,14.82758621
15.828856,16.02723,17.685059,17.06896552
17.917759,18.07334,19.734695,15.43103448
16.100286,16.62425,17.375895,13.36206897
14.467631,14.936385,15.435291,31.46551724
28.403625,28.344978,30.562212,15.86206897
19.64301,19.625288,19.863647,40.60344828
32.539562,32.81801,34.249107,39.13793103
34.693577,34.543846,34.88245,17.5
22.217722,22.430882,22.148756,13.87931034
14.915714,15.037073,15.045268,10.68965517
11.302138,11.005865,11.298672,12.4137931
13.3289175,13.937346,14.900219,4.74137931
5.1498046,6.2506022,6.2045197,3.275862069
3.2790568,4.5908875,5.7919345,3.362068966
3.725935,5.3595004,6.7882295,2.586206897
3.2804475,4.6397853,6.0802155,2.931034483
3.1152732,4.2810845,5.549345,5.431034483
5.948351,7.4832234,9.109664,12.32758621
12.781762,14.071078,15.627241,25.77586207
23.65909,24.615255,25.650661,25.43103448
24.655819,25.10885,25.666002,28.62068966
27.352169,27.78086,29.195082,33.01724138
29.978218,30.523907,32.18172,25.94827586
26.038185,26.217747,25.774326,66.12068966
43.8554,46.408665,47.132526,63.79310345
55.87421,55.978535,55.21456,55.17241379
49.3297,48.664646,48.32756,55
49.136135,49.88664,50.493683,34.13793103
36.125988,35.964573,35.507145,49.13793103
39.247223,40.278645,42.912933,51.46551724
45.13049,45.643417,47.064163,50.0862069
44.074913,44.07834,45.43001,34.74137931
34.966953,34.37805,34.027073,30.25862069
27.94878,27.313936,28.29769,31.03448276
28.951515,29.460209,30.408318,18.18965517
