TRUE,LightGBM,BiLSTM,StackLSTM ,LSTM,RF,SVM,XGB
2.337,2.184397209,2.1080394,2.2620053,2.0933683,2.195894486,2.211018097,2.1166909
2.042,2.121704909,2.1634767,2.3184252,2.1500747,2.208226152,2.273289351,2.063375
1.643,1.869819197,1.9079508,2.0439715,1.8766037,1.881288706,1.99481471,1.7894198
1.222,1.599021559,1.5463076,1.663313,1.504844,1.616914596,1.629316273,1.5564629
0.843,1.00631717,1.1382277,1.2473452,1.0941143,1.295643912,1.248431717,0.98299754
0.504,0.747541089,0.7978883,0.8935229,0.84783113,0.872680787,0.89970739,1.2911129
0.203,0.491204456,0.5150115,0.5293557,0.45622352,0.530550039,0.591653779,0.4450531
-0.004,0.164439561,0.34301376,0.303847,0.27507347,0.179025752,0.314804935,0.21138327
0.446,0.181588466,0.24010403,0.21109165,0.15289178,0.2708629,0.191788,0.21065079
0.958,0.438893933,0.4924841,0.50878847,0.4388242,0.461931894,0.524031205,0.38032368
1.611,1.150561019,0.940923,1.035723,0.8904843,1.220223316,0.990634921,1.1171372
2.039,1.578362506,1.5191845,1.6364568,1.4729196,1.53696745,1.609174796,1.486937
2.252,1.899881238,1.8997164,2.0423992,1.8694823,1.99795998,2.001387317,1.893889
2.067,2.160609292,2.0174627,2.1841073,2.0446415,2.202111389,2.144709029,2.0869534
1.679,1.968672326,1.8552722,2.0192485,1.8940893,1.921868858,2.008215245,1.8030269
1.242,1.721586762,1.5833108,1.7017399,1.5401583,1.729616096,1.664436208,1.6260681
0.845,1.111815429,1.1920952,1.2989717,1.1388735,1.306316987,1.250539866,1.0502338
0.499,0.826032237,0.83948135,0.91919285,0.78352726,0.934927397,0.876778285,0.92346424
0.202,0.372298364,0.54140306,0.56802523,0.48003593,0.5834252,0.56022481,0.46469092
0.022,0.238334087,0.33229938,0.30126265,0.25313902,0.169197464,0.334974541,0.08898136
0.597,0.12467378,0.23765485,0.23191595,0.1536641,0.077801044,0.206474293,0.036470126
1.137,0.452347392,0.62539935,0.66968226,0.568616,0.494950243,0.634067283,0.29257447
1.845,0.807214424,1.0971982,1.2036661,1.0437356,0.940029762,1.145576363,0.90693396
2.301,1.819956635,1.6642514,1.807935,1.7007031,1.795100747,1.811187659,1.8744372
2.571,2.142584114,2.1258645,2.292184,2.1065118,2.213711096,2.232730141,2.1832912
2.588,2.359377926,2.3623474,2.546105,2.3604484,2.457548915,2.435930275,2.1943192
