TRUE,LightGBM,BiLSTM,StackLSTM ,LSTM,RF,SVM,XGB
0.236,0.258157428,0.33666706,0.32642028,0.32391873,0.262019577,0.329143743,0.35179195
0.274,0.27835576,0.39515606,0.36910275,0.33435628,0.270278922,0.351312871,0.26715782
0.28,0.312557117,0.42415464,0.41133225,0.386753,0.300856697,0.358735315,0.38615397
0.251,0.27719723,0.4149268,0.39861467,0.3908003,0.294448646,0.373148261,0.3986358
0.159,0.255003483,0.42001158,0.39732134,0.36917523,0.277231576,0.353894701,0.31901416
0.069,0.195262329,0.32659143,0.29999363,0.273392,0.194085774,0.324577571,0.25889722
0.009,0.102001003,0.2325554,0.2152589,0.19694258,0.091876626,0.252126316,0.14558858
-0.036,0.060413174,0.18205105,0.16467966,0.14966416,0.053958642,0.224077699,0.12275916
-0.012,0.031590458,0.08882589,0.08399918,0.08320143,-0.001818404,0.129994669,0.08448433
0.04,0.057488487,0.13167596,0.11933501,0.110132486,0.039178,0.16873908,0.10898196
0.17,0.087100477,0.18175007,0.17014463,0.15638281,0.085492428,0.230889837,0.12619884
0.32,0.205236608,0.29951426,0.28679773,0.26323968,0.21060346,0.307196946,0.24959825
0.464,0.39125423,0.4390728,0.42738745,0.40348232,0.378464534,0.384112285,0.48759347
0.641,0.516338689,0.578621,0.5702867,0.5454328,0.486691683,0.474749114,0.5559252
0.743,0.689844948,0.7224548,0.7212494,0.69890785,0.65341604,0.659964492,0.5984828
0.802,0.766906876,0.82621217,0.8198717,0.79928327,0.774985758,0.544264019,0.73446727
0.771,0.817320723,0.8898184,0.8894773,0.85767275,0.799783991,0.596711053,0.70027786
0.647,0.811829263,0.8311566,0.8301884,0.80501604,0.782877778,0.701532987,0.76367116
0.494,0.673612077,0.6745272,0.6734495,0.6597323,0.652014908,0.715069127,0.7198369
0.342,0.528901425,0.52112305,0.53222054,0.51410466,0.468218141,0.548385248,0.50741094
0.228,0.388122671,0.38473114,0.40159127,0.38344216,0.368951383,0.402495989,0.49495816
0.152,0.26732197,0.25299054,0.27133924,0.26280588,0.241297959,0.248306582,0.24838026
0.105,0.201360751,0.18285999,0.20127068,0.19307326,0.170387563,0.189013389,0.16648121
0.111,0.137877235,0.13789654,0.15658106,0.15042669,0.132674739,0.136349838,0.12480948
0.139,0.129320313,0.14412725,0.16022842,0.15638337,0.122220679,0.134036998,0.11199784
0.198,0.180216151,0.16877764,0.1878697,0.17857167,0.168080375,0.177990271,0.15995555
0.235,0.24006716,0.22110912,0.23796402,0.22799626,0.239222864,0.240771227,0.21860509
0.242,0.258645851,0.2576622,0.27319846,0.26738122,0.265746659,0.257428765,0.23913734
0.177,0.274959886,0.2647286,0.28126281,0.27225706,0.260650872,0.253048828,0.24279478
0.11,0.178550036,0.18884046,0.20886584,0.2053695,0.202342785,0.189684699,0.19935498
0.029,0.115958238,0.13614039,0.15297394,0.14638597,0.12342435,0.141251789,0.11329516
-0.052,0.035721223,0.06320201,0.08009888,0.07375957,0.054096396,0.073101034,0.031446997
-0.083,-0.014501855,-0.008797381,0.011150091,0.006615198,-0.032930591,-7.50E-05,-0.014221116
-0.049,-0.019072544,-0.027019827,-0.0112278,-0.01447934,-0.035351452,-0.006421447,-0.011868182
0.034,0.027386897,0.029033821,0.035854887,0.029272942,-0.012550838,0.072466756,0.07398513
0.158,0.092236049,0.101592466,0.10968585,0.09854342,0.081349747,0.123297209,0.1062777
0.357,0.216875095,0.21561363,0.22953388,0.21058615,0.192898941,0.230112905,0.22008212
0.543,0.424105279,0.40540308,0.4215987,0.3971021,0.394670981,0.441988987,0.36453697
0.681,0.617785745,0.5831182,0.6037227,0.5707249,0.595416282,0.631267152,0.57699174
0.803,0.71067468,0.7082628,0.72590154,0.6965485,0.663501611,0.724961298,0.6886357
0.837,0.784527409,0.8120749,0.8280004,0.8018483,0.796902642,0.760179381,0.7337051
0.767,0.76590714,0.8297667,0.8404677,0.82578444,0.806924565,0.768218487,0.78217274
0.618,0.736535787,0.7516557,0.76561296,0.75335187,0.725848666,0.755511806,0.7432216
0.455,0.580025735,0.5993654,0.61621225,0.6048355,0.596360811,0.623301196,0.51749885
0.305,0.447237999,0.44440627,0.46643922,0.45374736,0.432409619,0.471914352,0.45517516
0.15,0.315039042,0.29982275,0.3188499,0.30549994,0.312551069,0.318086856,0.28549737
0.098,0.146980175,0.14190154,0.16991225,0.16496179,0.144646213,0.137325929,0.114024356
0.057,0.104925488,0.11520013,0.13022178,0.12453165,0.128074786,0.126950607,0.108262904
0.056,0.090827667,0.08256821,0.0968893,0.09327821,0.083912349,0.092466497,0.10268066
0.08,0.092877065,0.08152452,0.09668638,0.09127622,0.095060958,0.093266422,0.106684595
0.145,0.105901191,0.102766864,0.11806989,0.11268141,0.102526539,0.108479272,0.10153443
0.189,0.166812788,0.15732178,0.17543724,0.16560465,0.173122291,0.171021491,0.17208509
0.209,0.211314653,0.19253212,0.20986821,0.20172727,0.210903602,0.193073329,0.18569109
0.147,0.212746806,0.21685503,0.23172878,0.22451846,0.237555589,0.222690362,0.2197505
0.058,0.159453183,0.16234456,0.17761402,0.17155081,0.180767273,0.161304339,0.16712718
-0.006,0.076449956,0.08042926,0.096059665,0.089867875,0.085544796,0.084772229,0.05955133
-0.04,0.017530829,0.019566586,0.039224707,0.026079461,0.040062686,0.040007414,0.021895416
-0.063,-0.039025651,-0.002106806,0.013895212,0.011439989,-0.013463059,0.020028618,-0.009994184
-0.018,-0.026338276,-0.014229475,-0.000736652,-0.001583723,-0.035351452,0.010090148,-0.021228679
0.077,0.035837753,0.02355691,0.04194685,0.037862796,0.020244321,0.05394933,0.0565468
0.262,0.142228771,0.11882316,0.13567594,0.123818204,0.110585208,0.146000212,0.14701374
0.445,0.321200846,0.2945688,0.31662253,0.2972013,0.296274755,0.319664952,0.32952413
0.616,0.490560626,0.4728471,0.49431136,0.4676174,0.469501446,0.518355111,0.5060897
0.726,0.671836167,0.6348662,0.6589424,0.62674946,0.646518209,0.670946302,0.67595416
0.817,0.72363142,0.7289456,0.7470704,0.72021943,0.711188244,0.723662676,0.76241064
0.822,0.763646899,0.8074946,0.8288807,0.8063221,0.746692753,0.763989964,0.7827368
0.753,0.766573163,0.8059548,0.82380563,0.80710727,0.755809341,0.760210004,0.7880104
0.602,0.705672911,0.72984356,0.7482324,0.734664,0.715885377,0.720078131,0.73548853
0.423,0.624382427,0.5916214,0.6170425,0.5939303,0.637692192,0.605734575,0.6385478
0.253,0.379163715,0.40150186,0.42629313,0.41426468,0.405945168,0.424602053,0.40836984
0.135,0.296617034,0.26297632,0.2921229,0.27564004,0.28221661,0.2807905,0.27935883
0.067,0.162535069,0.14411072,0.16655298,0.15962654,0.142945876,0.134353508,0.1540715
0.028,0.101198262,0.08484311,0.10789478,0.102658235,0.086792114,0.086451165,0.107413955
0.029,0.051749033,0.053187154,0.075334,0.07069836,0.034653231,0.068286539,0.009976747
0.07,0.054924694,0.05501727,0.07648032,0.07223358,0.047700986,0.067069069,0.031132713
0.144,0.091009774,0.09664807,0.112207785,0.10713568,0.098328925,0.102361113,0.083246954
0.213,0.156448069,0.1677272,0.18332839,0.17751001,0.173094968,0.158496111,0.14289522
0.229,0.216464373,0.21910657,0.2349271,0.2272902,0.236315154,0.217315711,0.22100496
0.158,0.217473168,0.22897446,0.24485274,0.236184,0.230705934,0.229072593,0.22580715
0.078,0.145291975,0.16716266,0.18282612,0.17562291,0.159373827,0.172647805,0.16209207
0.017,0.127084257,0.083039016,0.10630729,0.10180406,0.114312086,0.077842779,0.12995966
-0.015,0.036565384,0.03992288,0.060845453,0.054664448,0.024288187,0.062045466,0.038844824
-0.017,0.026089624,0.013072269,0.03106115,0.027934417,0.009245098,0.028118873,0.025269743
0.037,0.007826209,0.015221407,0.03386271,0.029552728,0.007211376,0.031756357,0.008273906
0.154,0.08449634,0.073923804,0.09370036,0.08756883,0.08385056,0.103519625,0.065459415
0.324,0.202576043,0.19096881,0.20836964,0.19805774,0.194426849,0.210301757,0.2294719
0.499,0.420424119,0.3581194,0.37958264,0.3581205,0.390210225,0.388635357,0.4356837
0.682,0.569630734,0.52403265,0.5478362,0.51977396,0.532456748,0.566535057,0.53859
0.774,0.677178985,0.6891052,0.7159602,0.68659276,0.672523386,0.709208603,0.72237676
0.853,0.767649395,0.7564785,0.7748633,0.75703096,0.719962521,0.752529932,0.7166738
0.855,0.758869741,0.8178576,0.83356917,0.82107526,0.756117041,0.767472295,0.75905305
0.767,0.742912477,0.8052652,0.818541,0.8134675,0.761539655,0.766614949,0.76999986
0.605,0.735639234,0.72194415,0.74056447,0.73015934,0.725108153,0.725505474,0.70092756
0.429,0.569822404,0.58677644,0.61431515,0.59395796,0.612862531,0.60645969,0.5793597
0.278,0.45196651,0.4289386,0.4572161,0.43514216,0.452520696,0.442780071,0.4549703
0.16,0.314666626,0.29415083,0.3197511,0.30688554,0.287491907,0.309983638,0.31451502
0.1,0.203136939,0.17721677,0.19794384,0.19170035,0.194450202,0.189892751,0.2150622
0.086,0.138697861,0.12702684,0.14730461,0.14273016,0.144839826,0.140620221,0.1556724
0.11,0.127242603,0.1106976,0.13391891,0.1289446,0.1286694,0.130935307,0.15666072
0.135,0.138690889,0.12826209,0.15357208,0.14702192,0.117424099,0.151790957,0.14070173
0.187,0.165189295,0.15544803,0.17894411,0.17080209,0.158222797,0.175709398,0.16375904
0.202,0.227050694,0.21279919,0.23580042,0.22539987,0.211905841,0.231553182,0.2030562
0.167,0.210313736,0.2093551,0.23963338,0.22569816,0.202924424,0.227006963,0.18435751
0.131,0.179643414,0.17218252,0.19146003,0.1739298,0.207528798,0.188993193,0.15154438
0.096,0.138291532,0.12617914,0.15148114,0.14109886,0.12501264,0.133624086,0.14839275
0.034,0.123873229,0.09939873,0.1292303,0.11789512,0.116583874,0.134291988,0.13629088
-0.006,0.052289158,0.049317516,0.07103668,0.061724804,0.062658003,0.09209002,0.06412968
