True,LightGBM,BiLSTM,StackLSTM ,LSTM,RF,SVM,XGB
0.312,0.2931315031014043,0.373937,0.3220216,0.35408917,0.3119197773659312,0.3675332638090778,0.3230074
0.322,0.302418590473277,0.40760458,0.3493534,0.38751632,0.3329844694242898,0.3898205812677076,0.2917425
0.274,0.3210397906112276,0.4095954,0.35110283,0.3855819,0.3339909755276646,0.3895111715150789,0.34675142
0.203,0.2657250321105182,0.37066418,0.31589425,0.34648782,0.2896262111511964,0.3731907065507551,0.30584902
0.122,0.2035894999835077,0.31728685,0.26217863,0.2987359,0.2536067252857162,0.3416833141228054,0.20769888
0.057,0.1491997588650263,0.23533557,0.19109231,0.21445723,0.1688469803833195,0.2707631950184335,0.14051196
-0.008,0.1329776688258099,0.16572757,0.13290861,0.15062742,0.1102173146460121,0.2029556383619046,0.2277655
-0.028,0.0357010282269947,0.11711557,0.085775785,0.109139785,0.0193901556233846,0.2507729134092193,0.009753253
-0.0109999999999999,0.0407475030847367,0.086971425,0.04382701,0.070122235,0.003406468621173,0.1050968087587263,0.017658023
0.085,0.0655727138666449,0.096780896,0.06026756,0.08654456,0.0157215414271918,0.1334308848059196,0.03269205
0.203,0.201475834265039,0.19603646,0.15518747,0.17214134,0.1382543202573991,0.2199425468971332,0.22329351
0.383,0.2430919142991361,0.2972831,0.25906497,0.28702733,0.2517950318442016,0.3290314573433379,0.20363171
0.558,0.4629662484532352,0.47418413,0.41863126,0.44749886,0.4055177185888128,0.4600715459741693,0.37779185
0.695,0.679138275987751,0.6376843,0.5796114,0.60853946,0.5887912183359777,0.585799640728469,0.68608046
0.762,0.7319789778071983,0.77075636,0.7029044,0.73830235,0.6725721994425463,0.6084972226267272,0.7698197
0.744,0.8186955715742937,0.824236,0.76044035,0.7971588,0.7529652790439596,0.7218567720577549,0.837816
0.711,0.8015123877952294,0.7942721,0.73427254,0.7714519,0.7237369067202922,0.7315343330180014,0.82268924
0.622,0.7573870643326619,0.7542007,0.7064031,0.7437633,0.6965162141944028,0.6855195097060052,0.75389826
0.4839999999999999,0.6609301985121082,0.6561042,0.6158381,0.6516078,0.6280840754853242,0.6253092520506104,0.71179765
0.366,0.5134139540546369,0.5278131,0.49120453,0.52820903,0.5016525011266979,0.5158000641765874,0.49971947
0.268,0.3837462906515705,0.40417442,0.38018963,0.40881935,0.3938663701618159,0.4096149703671928,0.39159143
0.219,0.3070441975776382,0.31190336,0.29866436,0.32414106,0.2945994618030086,0.3239176541990089,0.30987203
0.1739999999999999,0.2315392414905321,0.26364538,0.24749418,0.267596,0.2596147925945858,0.2627905488867952,0.25340807
0.161,0.2188576717186967,0.22962572,0.21842125,0.23540813,0.184516002183618,0.2350703269995008,0.21904372
0.1849999999999999,0.145412921838682,0.193912,0.18681465,0.20499948,0.1680282762489891,0.2482132017709308,0.1577159
0.2009999999999999,0.1972046323436918,0.22015335,0.20185848,0.22408536,0.2112524077006057,0.1903034247069908,0.19591883
0.195,0.1845175697015809,0.21377786,0.18791543,0.2119886,0.2270264437423707,0.184670429169815,0.20189904
0.1569999999999999,0.1913016095028091,0.21084978,0.18645324,0.216702,0.2314774487702701,0.2220489228015078,0.21223584
0.107,0.1555382917335675,0.18656416,0.16740954,0.19463626,0.1713484173555108,0.162533995410805,0.12363913
-0.0019999999999999,0.1079917311298883,0.11984964,0.09418547,0.1247322,0.1142420796033265,0.1410106268839779,0.15943429
-0.091,-0.01310272788261,0.032162644,0.010786098,0.039630175,0.0177456814298699,0.0741723952582049,0.018534696
-0.131,-0.0605753114861071,-0.03230741,-0.04666722,-0.020569973,-0.0555211228208782,0.0186283998073906,-0.09376368
-0.131,-0.0564085293747779,-0.058590665,-0.07614315,-0.059783034,-0.0564238371065925,-0.0506262604724262,-0.13394412
-0.063,-0.0289041674228226,-0.08961317,-0.07765351,-0.067059405,-0.0586778087948847,-0.0165297021836671,-0.06789095
0.065,-0.0016293006433139,-0.0044400543,-0.019074868,0.001839669,-0.0216592021012126,0.0034142578561164,0.0407751
0.2199999999999999,0.142597059459072,0.107577406,0.10253738,0.12311461,0.1192514124359773,0.1136637058758008,0.14258946
0.391,0.280416159701274,0.26390648,0.22907917,0.25069413,0.2639929284131991,0.2393675372997191,0.2723021
0.5630000000000001,0.4804187786882971,0.44150677,0.40378797,0.424698,0.4099476118842486,0.4113370390668768,0.45734248
0.688,0.668877910602222,0.58131367,0.5595119,0.57756656,0.6233536047428577,0.5610106720346911,0.6078789
0.7660000000000001,0.7035274507800883,0.685783,0.6671971,0.68495536,0.6977948696634889,0.638240106856683,0.6789176
0.789,0.8165000809299282,0.7498749,0.7304934,0.7542807,0.7458559192977277,0.6935916206306685,0.78184193
0.734,0.7462630008862978,0.76340127,0.73867893,0.7757528,0.7510032891111248,0.693623477017096,0.7670983
0.61,0.6669834241053619,0.6998634,0.6835674,0.7165942,0.6691682227883874,0.6902340931424786,0.66581595
0.4379999999999999,0.5487731721243857,0.6010639,0.5887355,0.6112382,0.5725693792776921,0.6032161183328076,0.54756
0.298,0.4268038056985485,0.4355757,0.40844882,0.43571493,0.4154308992621983,0.4323377390775982,0.43673497
