True,LightGBM,BiLSTM,StackLSTM ,LSTM,RF,SVM,XGB
0.2359999999999999,0.2399349545660649,0.23089054,0.22656393,0.23616908,0.2004265920544936,0.2585031281114365,0.19972458
0.274,0.2575180983609147,0.25238135,0.26967356,0.24527942,0.2332892531522964,0.3807819429381524,0.283534
0.28,0.3037167535060157,0.2829604,0.29288626,0.2896222,0.250327047370985,0.3629486650235997,0.2868876
0.2509999999999999,0.2716046229450364,0.29277995,0.29217857,0.2974854,0.2666367920483997,0.2891558502110806,0.26405376
0.1589999999999999,0.2547264023766332,0.2609525,0.2722148,0.26165074,0.2411804263669457,0.3358348193739554,0.23770618
0.069,0.1938489314371146,0.18751256,0.2002249,0.17730746,0.1660523214288381,0.3411081524508154,0.24691054
0.0089999999999999,0.0967555266787917,0.10814814,0.11473917,0.10133947,0.0703783506915587,0.1943778451092011,0.07305514
-0.0359999999999999,0.0430959934366655,0.055326894,0.064092785,0.04835421,0.0495010563695423,0.1565394208572293,0.12392542
-0.0119999999999999,0.0049300721967621,0.0070994706,0.013826259,0.0053921496,-0.003183260017983,0.0377050096553428,0.02236426
0.04,0.0510837579992547,0.041191388,0.04303666,0.030112056,0.0310668525003338,0.1095505540908026,0.106979124
0.1699999999999999,0.0800546426423476,0.087522864,0.091917984,0.07471677,0.0744080200987289,0.1845770692279274,0.07987993
0.32,0.1808465870233631,0.19439171,0.20065261,0.18559188,0.1824612072754034,0.2914420332650507,0.24107803
0.4639999999999999,0.3191006915930172,0.31747004,0.32351017,0.3193557,0.3253545829439425,0.3257572386197254,0.32732248
0.641,0.4652937542725693,0.4539428,0.45683122,0.45983395,0.4560994510733101,0.4072207931782234,0.411373
0.743,0.6046670136703989,0.6333385,0.6315528,0.6432395,0.6021859577230018,0.6057640240429475,0.6090274
0.802,0.6940527799448019,0.73021954,0.7338506,0.74077713,0.7130915013762423,0.4765450382909288,0.6991776
0.771,0.7937694132368097,0.78981656,0.79376775,0.79916555,0.7727777960963328,0.5783751943166473,0.66952467
0.647,0.7477641053895395,0.75708604,0.7600304,0.7676418,0.7362901591158711,0.6234853546476447,0.6743355
0.4939999999999999,0.6060535832344619,0.63545257,0.6325433,0.6441204,0.6235731854254407,0.6312462575298398,0.58940274
0.342,0.4567016419224959,0.49655294,0.4939725,0.5024398,0.4577102412472663,0.4795184729089238,0.45804834
0.228,0.338628397046013,0.354057,0.35281208,0.35898685,0.3062820907262586,0.3441174706949025,0.33370003
0.152,0.2242592358822999,0.24271348,0.23931794,0.24514039,0.2148223405151365,0.2271398078476372,0.2280304
0.105,0.1672122493429059,0.17337427,0.1702707,0.1737247,0.1551038664374536,0.1639325646896126,0.16997325
0.111,0.1107269756922984,0.12956002,0.12802348,0.12917608,0.1220085412976285,0.1314459518846911,0.111477375
0.1389999999999999,0.1320419852831876,0.1347795,0.13253206,0.13463926,0.1246572652304846,0.1377365835982204,0.14075576
0.198,0.1620048058545932,0.16040455,0.1578853,0.16069737,0.1597847217410768,0.1549132132532527,0.18011804
0.2349999999999999,0.2082433717807167,0.21224555,0.20972213,0.2148306,0.2109724795454156,0.2006868799799572,0.20624554
0.242,0.2348772487724665,0.24796557,0.24412875,0.25125387,0.2534801960383799,0.2471328494773666,0.28784245
0.1769999999999999,0.227701367236031,0.25657108,0.2527063,0.25954577,0.2499745190930473,0.2472870585273117,0.2154094
0.11,0.1973360227332388,0.19429399,0.19089885,0.19595751,0.1745705915377454,0.192516444707697,0.19162115
