True,LightGBM,BiLSTM,StackLSTM ,LSTM,RF,SVM,XGB
0.312,0.3121048574981788,0.31678167,0.29431075,0.29496756,0.3073860633516479,0.3046793006411792,0.31135535
0.322,0.2965212101773872,0.33375758,0.31288773,0.31286553,0.3138847210439457,0.3236619912235113,0.2885451
0.274,0.3390299511194899,0.3470332,0.32431963,0.32491344,0.3338587067826438,0.3283365997325391,0.36657786
0.203,0.287746644162989,0.30334598,0.27924868,0.2813965,0.2693662980092389,0.2904267650919351,0.2912261
0.122,0.1925725370050748,0.23627394,0.21294601,0.21335655,0.2173164324230361,0.2256650111544285,0.18973222
0.057,0.1314858879356947,0.16284072,0.13439451,0.13777708,0.1530251234301579,0.1657110455108125,0.116846204
-0.008,0.1031075084761056,0.1023369,0.07074428,0.08032206,0.0900437000172534,0.1038851159150294,0.102260575
-0.028,0.0169488225203542,0.05095741,0.021060454,0.035223436,0.0132624814537811,0.0575210915778037,0.00044441465
-0.0109999999999999,0.0006102332251511,0.022348855,-0.01180107,0.004022887,-0.0101878979889274,0.0145970075356099,-0.01225228
0.085,0.0262136724160317,0.04105106,0.0063188095,0.021894647,0.0020095496465417,0.0407958959596497,0.0001567302
0.203,0.1082226373082751,0.12871818,0.09971146,0.10943004,0.0933091941408761,0.1111076306720071,0.11309806
0.383,0.2062718126361068,0.22977246,0.20408235,0.21002041,0.2121555400547586,0.2193603631132886,0.21188103
0.558,0.370333124970544,0.39205366,0.37019414,0.37281588,0.3887123851176048,0.3854200288142562,0.35930997
0.695,0.575283555519919,0.55372417,0.53224206,0.53230506,0.5388781375169874,0.5388865432160446,0.58523256
0.762,0.63237957738931,0.6790288,0.6603251,0.65456957,0.6482054483235642,0.6698710778947509,0.6590728
0.744,0.7486160528403898,0.74673206,0.7341726,0.72170585,0.7562443094589838,0.7311938755420042,0.7510124
0.711,0.7474434457567308,0.731383,0.7197128,0.7085885,0.716596024707288,0.7271454135913937,0.71641594
0.622,0.7001244241199305,0.70150375,0.68459785,0.6763402,0.686829923221029,0.7081992956688475,0.6775664
0.4839999999999999,0.6300868683042317,0.62104356,0.6042699,0.5987335,0.6068356597197266,0.6252338119238935,0.6488419
0.366,0.4984277541729786,0.4941643,0.4752076,0.47460377,0.4945773472994818,0.484909179005755,0.50286645
0.268,0.3485589583538192,0.38898492,0.36629802,0.36884722,0.3665769778973062,0.3694302887849313,0.34055474
0.219,0.2833774840623962,0.29435647,0.27326027,0.27545416,0.2780419748489705,0.2852514876501041,0.28018457
0.1739999999999999,0.2112206302291916,0.24783142,0.22244467,0.22751088,0.2125309727800061,0.2392579357421375,0.21232766
0.161,0.1761860139357562,0.20882657,0.18146329,0.18685442,0.1649906063272846,0.1992098186723185,0.17273004
0.1849999999999999,0.1515775740252455,0.1712251,0.15392582,0.15638734,0.1638075034186879,0.1494554349577379,0.18782118
0.2009999999999999,0.2046131653836653,0.20552798,0.18410689,0.1883439,0.194810963249194,0.1969344836659622,0.19424208
0.195,0.1825130888427281,0.20699203,0.19226427,0.19064896,0.2058282364609336,0.185055200659842,0.17250511
0.1569999999999999,0.202199254665988,0.20972204,0.19002259,0.1935255,0.2014242445461739,0.2143725387901041,0.2089011
0.107,0.1575097424308129,0.17458412,0.15353008,0.15986055,0.154732542940387,0.1655379759341013,0.15101203
-0.0019999999999999,0.0944702511565416,0.11478237,0.0976373,0.105429314,0.1050646668686461,0.1197849019122115,0.11237912
-0.091,-0.0053640213433186,0.021650927,0.0013445439,0.012632306,0.0240795528334083,0.0478791053814714,0.004815424
-0.131,-0.0431072272797851,-0.048344847,-0.06667077,-0.061408315,-0.0561388161845035,0.0218090085208773,-0.06494468
-0.131,-0.0630808111305219,-0.07591596,-0.09124482,-0.09231859,-0.0570415304702178,-0.0296594712512558,-0.07791439
-0.063,-0.0311143682690063,-0.07941788,-0.09040621,-0.09144262,-0.0614547563524455,0.0082632140438673,-0.04826391
0.065,-0.0245449829835747,-0.007903631,-0.038463634,-0.029523656,-0.0291281234790146,-0.0093588628843307,-0.011925428
0.2199999999999999,0.0887582452660214,0.10708105,0.07558352,0.08519313,0.1067667090402532,0.0890706039821991,0.10850227
0.391,0.2743599533323552,0.25422287,0.22582072,0.22743542,0.2620494699040492,0.2456070809076375,0.28085616
0.5630000000000001,0.3902737758718543,0.4227129,0.39724863,0.39796984,0.3707569154876055,0.3931553633723978,0.36236462
0.688,0.5580926387139856,0.57154995,0.553269,0.54903716,0.5532615019655357,0.5661604498661251,0.56256944
0.7660000000000001,0.6752803677810658,0.6842056,0.66916686,0.6593022,0.6907207042671654,0.6765466907657222,0.68725306
0.789,0.7769340134169566,0.75273764,0.74639225,0.7304792,0.7457142184784213,0.7284841242383926,0.74035704
0.734,0.7397773539215918,0.7719242,0.7641695,0.7478994,0.7584483867423352,0.728645122258511,0.7409802
0.61,0.6806328637556415,0.708105,0.6987949,0.68955976,0.6693806377089083,0.6947609922317649,0.6698166
0.4379999999999999,0.5527132550253697,0.6034281,0.5868462,0.58064574,0.5510650433316626,0.5898386652626189,0.5510456
0.298,0.4165872444370406,0.43904167,0.4225102,0.41881424,0.4128049820868112,0.4219522417113364,0.41722375
0.2159999999999999,0.3047912176509273,0.3073662,0.29025996,0.2893305,0.2940848500144811,0.2983426817627903,0.31021598
0.1709999999999999,0.1987750188413767,0.2263746,0.20894401,0.21067023,0.1935574898485836,0.210836302028756,0.20755427
0.161,0.181053790680075,0.19035754,0.16901529,0.17420892,0.1915543713468293,0.1958693035066296,0.17748804
0.1529999999999999,0.1614207697669016,0.17362398,0.15448716,0.16050768,0.1642707351167426,0.1580013261701708,0.17172964
0.176,0.1460837261226623,0.16756466,0.14799485,0.15298355,0.1527916613823512,0.1452213395397448,0.14694098
0.1859999999999999,0.1890932781601909,0.20116009,0.17847075,0.18307364,0.1954555759307299,0.1987032340810665,0.19503652
0.202,0.202739788435228,0.21422699,0.19015233,0.19255121,0.2052247227766819,0.2100326229710664,0.19803077
0.1579999999999999,0.2096258424668869,0.22134057,0.20047763,0.20284158,0.2178891593840204,0.2103615880383104,0.1960712
0.076,0.1557088223560274,0.17954771,0.15752687,0.16329336,0.1572424846209578,0.1729914612378303,0.15590319
-0.01,0.1015940830469804,0.10841512,0.08102918,0.08970577,0.0960027285175459,0.0922897665243487,0.09610462
-0.079,0.0388727204607382,0.0295056,0.0008160779,0.01171111,0.0042824217256894,0.0211121101123998,0.021336377
-0.126,-0.0257071505860142,-0.023732865,-0.052639678,-0.04422306,-0.0561388161845035,-0.0240171217064885,-0.04765043
-0.1209999999999999,-0.0569032639161567,-0.068175346,-0.08590001,-0.08574698,-0.0570415304702178,-0.0365988476368787,-0.09535726
-0.016,-0.048841313864695,-0.053608812,-0.077362664,-0.07224422,-0.0614547563524455,-0.0369623952933757,-0.070404
0.1239999999999999,-0.0029039713402895,0.035959024,0.0011264047,0.017328084,-0.0048732099667669,0.0182480261287641,0.021707002
0.2939999999999999,0.1476415803716652,0.16256566,0.1361383,0.14408821,0.1587046814733658,0.1477413483617143,0.14116639
0.475,0.294846253196569,0.31272048,0.29151025,0.29533428,0.2855667660741166,0.3071108436409019,0.28686208
0.631,0.4604580798547202,0.48121545,0.46140227,0.4616376,0.4718324827041782,0.4651672939986748,0.4820463
0.746,0.5768009392971778,0.6230816,0.603923,0.60018367,0.5826107750549914,0.6082799120027579,0.56066
0.819,0.7525243892994596,0.73288566,0.7199256,0.7087606,0.749026889765277,0.7260299175848013,0.7776873
0.795,0.786061891233821,0.79622245,0.78720844,0.7733135,0.7910372468614112,0.787235539949779,0.7925726
0.734,0.759860037974833,0.77606595,0.7696608,0.7553097,0.7571240290347953,0.758784787219394,0.7407295
0.602,0.7199236299524493,0.71972096,0.7088038,0.6990251,0.7133789743849378,0.7244010908327849,0.7342648
