True,LightGBM,BiLSTM,StackLSTM ,LSTM,RF,SVM,XGB
49.65517241,48.68214525739871,47.96977,47.32551,48.45137,45.44771058043612,46.70712096114582,46.367676
39.74137931,40.80656775990512,39.93819,38.887688,39.727615,38.62051476573744,40.249968345423845,35.993034
29.65517241,30.109916427479902,29.38622,28.469282,28.980324,28.572136987225285,29.98511722898199,28.28003
19.39655172,20.28991094738052,18.742819,18.020607,19.067377,18.14334405303321,20.86566771863582,19.475006
10.0862069,10.904788266287545,9.242898,8.522565,10.192009,7.716814194124209,13.127105530359929,11.616907
3.211206897,4.3044885427838695,4.6132493,4.48412,5.3555164,2.147599996749997,7.951505637536872,4.807254
2.844827586,10.44307994023335,10.596762,11.106652,10.205861,9.17006350553278,10.232862585418374,10.558135
10.0,9.56602023793016,7.7693677,7.9195056,7.708955,6.968244794734833,8.743997042929793,8.583932
19.74137931,19.427669099139028,19.180695,19.611506,19.154707,17.82468606462379,18.591723928053177,20.667652
30.17241379,29.197453943649048,29.83783,29.034222,28.936077,27.401546131766047,26.427636472739568,28.252401
40.51724138,39.263058273501976,40.62645,39.54341,39.73028,38.09137791813533,37.00090855395327,38.900852
49.9137931,47.94627253058733,51.222748,50.14301,49.400303,47.56028119855024,45.43846194798,43.101578
58.70689655,55.67476923966589,57.909847,57.211716,55.580338,56.91883038583549,51.099837863315074,55.356766
66.12068966,64.6050227834598,67.051315,65.14633,64.81416,64.00155041136371,61.38295105875039,59.613293
71.81034483,70.5478282428098,73.1533,71.14204,70.35888,72.5918658899855,68.40260061149662,74.36933
76.12068966,74.1969480549905,76.58973,75.10263,74.37582,75.4804478014157,72.7129772102816,76.03851
78.79310345,75.86156015709055,77.90306,76.33918,76.49254,78.10646017398764,74.5422293697975,79.935265
80.17241379,78.9307900102411,78.77154,77.57941,77.90659,80.17794225819236,76.2535247827917,81.906
80.43103448,79.45016690939285,79.12584,78.22029,78.60163,78.53363451576249,77.15409063485781,79.80382
78.62068966,78.13277802548444,78.09975,77.26167,77.869675,76.85350829673871,76.85858372836996,78.15966
75.77586207,76.77814869587947,75.114456,74.23209,75.07938,72.38427299239635,75.19055664564141,69.06924
70.60344828,69.28404202156776,69.732445,68.10388,69.18446,66.80152794618279,68.87808199268221,65.52057
64.39655172,64.61375177862875,63.378937,61.690823,63.332825,61.8669054878026,62.6546773337263,64.722466
57.06896552,55.27674427983185,55.730206,54.41165,55.922623,54.39511810847485,53.84750893513586,65.19381
