True,LightGBM,BiLSTM,StackLSTM ,LSTM,RF,SVM,XGB
7.178362069,7.094284204052958,8.046316,7.152427,7.4578943,5.789853037422781,9.293370656445816,4.088958
10.92758621,5.827339951025895,7.123508,6.2131834,6.7831745,3.699393025315769,8.828293621125468,4.8860264
8.735344828,14.642709677160555,14.016028,12.765909,14.203585,11.871371773567882,12.686723819884712,13.019774
9.09137931,7.954770536067386,8.371168,7.490698,8.046104,6.016730794140228,9.885823740468068,5.4522233
8.281637931,10.12342237233702,10.237295,8.823694,10.308216,8.544261537858969,11.073779812552909,9.8617735
7.573793103,8.489815855142437,8.262567,7.3787346,8.261823,5.944750285342994,9.61453085153521,4.456656
8.429913793,7.054641263109359,7.571152,6.7478757,7.556146,4.553484932321057,9.047157219072126,2.1142468
5.993534483,11.369768008027789,9.271208,8.062587,9.353285,9.668649667262612,9.82024368338621,8.261311
6.024051724,5.082074514532839,5.7332997,4.8954544,5.0808077,2.480054463538142,7.574073684488273,5.3898773
6.118017241,7.096392221169664,7.178407,5.977392,7.197341,4.672269373990864,9.073443753420367,3.8158622
4.8,7.1226574701614656,7.315781,6.05968,7.375657,4.764469021674913,9.21525409405892,6.994877
2.640172414,4.979919083223057,5.3022327,4.56855,4.9969897,2.882575211745476,7.81020483359873,0.56504846
5.527155172,5.141821868450208,4.3472133,4.4728017,4.120037,3.153956200079849,7.359359044200421,2.1546333
16.3,8.656942850993243,9.050279,7.614369,9.547876,7.290298466873978,9.992973784839654,12.009913
16.26034483,17.827218650935603,19.787043,17.216854,20.992214,16.007286932195388,16.853674908049687,12.885138
18.00517241,15.964337243089476,15.636105,15.404219,16.163809,14.755690107184526,15.290956418680263,15.56759
25.78017241,19.444152726293783,18.389832,17.994648,19.1036,20.047762419639103,17.048019960190885,19.938383
26.03362069,27.23656433708002,28.153599,27.02199,29.907694,25.926639694001537,25.135125654027878,27.259527
32.65344828,23.395711768558908,25.360023,24.788471,26.276962,23.61607512571075,24.71393749718902,30.624533
53.08706897,29.295081617564147,34.156845,33.477676,36.06708,34.16385051570272,30.8553373017458,20.362736
35.31896552,43.93074077851491,48.51677,47.44949,51.18946,47.27541863898157,47.85883352332907,44.287582
26.48793103,34.76040812711818,34.936687,34.78853,34.504257,34.506673709522886,33.476497522891314,38.392014
33.47931034,22.24526021131369,22.512798,22.679533,23.216665,20.386987732543464,22.91819878598073,14.704482
8.630172414,34.34206160043384,34.340466,33.71059,36.33423,34.27160218576679,30.51107705919696,31.82721
17.30431034,8.99364043042699,12.337034,10.445146,10.042038,6.6585339102165735,9.113858207183512,8.948432
34.24655172,17.20866247602072,19.996637,18.217148,21.37442,18.422865152796124,15.914125564723674,12.732595
47.16896552,34.666948706045446,33.8285,32.63867,35.94584,31.905761789883243,33.140671593740066,34.8183
26.36293103,38.006528274406,45.99143,44.852802,48.337288,39.170062478137424,43.866477513431626,39.253124
22.825,35.29383398951892,27.79565,27.291496,27.033876,26.954842291070943,25.62655225772399,30.003933
23.44224138,19.1566865571869,19.404222,19.659063,20.24086,17.108571178875973,20.01968545407553,15.432393
11.32155172,19.79902990877012,22.700333,22.307749,23.594526,19.74794352423516,21.852008779546058,17.45317
9.482758621,9.916020765298006,9.839604,8.962261,9.014153,7.721851627984275,8.366909528893911,14.339241
12.39827586,7.154168181152466,7.8996363,7.6809955,7.7807984,8.638536305754066,8.740160599821346,4.2913585
6.074482759,15.65729846307093,13.995938,13.279347,14.4865675,13.8404309184639,12.684931484418945,13.391359
2.798275862,5.258630534485016,4.4199,3.5139787,4.0587916,2.628781791137431,6.488838628944232,5.004225
4.585862069,4.139132430514155,3.0856848,2.4809287,2.4550927,2.136256566340539,6.349073487444957,4.975112
10.99310345,8.036677996290509,8.001487,6.62907,8.149578,5.793614291498548,9.416215520436252,3.8028076
18.12586207,14.7864820039732,15.325772,13.024421,16.056932,12.420184622361482,13.153629062397698,14.944025
9.81637931,21.47781938888589,21.696642,20.32953,23.213936,19.58940480498904,18.577156528990763,18.913815
9.10862069,7.776022462231903,8.286851,7.351324,7.807818,3.70396861850023,9.41769221262445,1.2581489
