Index,LightGBM,BiLSTM,StackLSTM ,LSTM,RF,SVM,XGB,,,,,,
MAE,0.352788187,0.352913047,0.346175739,0.353093407,0.361533525,0.363531188,0.366101554,,,,,,
RMSE,0.398751148,0.38856332,0.391757194,0.388016555,0.400722435,0.39143492,0.419170678,,,,,,
nRMSE,0.11276899,0.109887817,0.110791062,0.109733189,0.113326481,0.110699921,0.118543744,,,,,,
R2,0.697883891,0.701583381,0.694966605,0.698351566,0.688591066,0.681572113,0.673639344,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,Index,SVM,RF,XGB,LightGBM,LSTM,StackLSTM ,BiLSTM
,,,,,,MAE,0.364 ,0.362 ,0.366 ,0.353 ,0.353 ,0.346 ,0.353 
,,,,,,RMSE,0.391 ,0.401 ,0.419 ,0.399 ,0.388 ,0.392 ,0.389 
,,,,,,nRMSE,0.111 ,0.113 ,0.119 ,0.113 ,0.110 ,0.111 ,0.110 
,,,,,,R2,0.682 ,0.689 ,0.674 ,0.698 ,0.698 ,0.695 ,0.702 
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,0.364 ,0.391 ,0.111 ,0.682 ,,,
,,,,,,,0.362 ,0.401 ,0.113 ,0.689 ,,,
,,,,,,,0.366 ,0.419 ,0.119 ,0.674 ,,,
,,,,,,,0.353 ,0.399 ,0.113 ,0.698 ,,,
,,,,,,,0.353 ,0.388 ,0.110 ,0.698 ,,,
,,,,,,,0.346 ,0.392 ,0.111 ,0.695 ,,,
,,,,,,,0.353 ,0.389 ,0.110 ,0.702 ,,,
