Site,Statistical metrics,R2(%),,,,,,RMSE,,,,,,nRMSE(%),,,,,,MAE,,,,,
,Model/Input component,C1,C2,C3,C4,C5,C6,C1,C2,C3,C4,C5,C6,C1,C2,C3,C4,C5,C6,C1,C2,C3,C4,C5,C6
AU-ASM,LightGBM,0.94815512,0.948128994,0.951365172,0.950772328,0.950047849,0.950897789,4.879073709,4.865995832,4.759913705,4.7609835,4.796010493,4.719003531,0.072560583,0.072366092,0.07078846,0.07080437,0.071325284,0.070180053,2.509665402,2.490830346,2.383224977,2.380731734,2.47588583,2.487798961
,BiLSTM,0.949284078,0.956818367,0.955050122,0.956686462,0.952553691,0.958372391,4.88238408,4.456599409,4.447105177,4.402905885,4.664523946,4.413354476,0.072609815,0.066277632,0.066136436,0.065479113,0.069369843,0.065634502,2.37884863,2.369864781,2.554090513,2.421451165,2.67520076,2.417899864
,StackLSTM,0.946577172,0.948390528,0.952182939,0.957887574,0.957415292,0.949147323,5.0016274,4.756617555,4.681313933,4.418219032,4.479707755,4.681236507,0.074383177,0.070739441,0.069619541,0.065706847,0.066621295,0.069618389,2.493158489,2.775964744,2.379805333,2.317329802,2.197079512,2.83687587
,LSTM,0.937110754,0.950128238,0.959117364,0.953952848,0.954475575,0.954521203,5.46197353,4.938696392,4.350194268,4.722879632,4.62041819,4.648842716,0.08122935,0.07344728,0.064695197,0.070237697,0.068713912,0.069136635,3.546932462,3.03141425,2.122494612,2.577546393,2.60283704,2.593863815
,RF,0.947453024,0.950927093,0.953296869,0.952926105,0.952847115,0.952828197,5.050184973,4.900186053,4.774208747,4.793069854,4.788224904,4.761880879,0.075105315,0.072874562,0.071001053,0.071281552,0.071209499,0.070817716,2.907823852,2.878562704,2.808598063,2.814116494,2.790192237,2.838140092
,SVM,0.903029575,0.914437724,0.916004858,0.912483909,0.903142663,0.8969745,5.841104091,5.636641237,5.561773522,5.634246772,5.858102048,6.029170674,0.086867702,0.083826972,0.082713555,0.083791362,0.087120492,0.08966459,4.497018971,4.342258324,4.14289268,4.297638944,4.477907147,4.805897834
,XGB,0.944073949,0.949126087,0.952112303,0.950846715,0.952027126,0.955151281,5.159842579,4.961546979,4.800503149,4.869563482,4.83532329,4.629753046,0.07673612,0.073787109,0.071392098,0.072419149,0.071909936,0.068852738,3.16290029,2.940483236,2.958394647,3.091611349,3.009461098,2.884249148
AU-Emr,LightGBM,0.931235443,0.929377326,0.921789671,0.920490857,0.921238358,0.920548944,6.742584127,6.877781926,7.174248637,7.254290308,7.188499653,7.234364192,0.077058104,0.078603222,0.081991413,0.082906175,0.082154282,0.082678448,4.32053223,4.349590258,4.442679879,4.524075153,4.457389377,4.512212053
,BiLSTM,0.925047064,0.936382798,0.929418715,0.929611191,0.92656498,0.930325666,6.87850026,6.584330657,6.927973965,6.85518472,6.969387542,6.89730043,0.078611432,0.075249493,0.079176845,0.078344968,0.079650143,0.078826291,4.608975964,4.014494573,4.16047685,4.162242696,4.277073916,4.194653416
,StackLSTM,0.930017258,0.934437612,0.932936574,0.916776403,0.934100594,0.917267085,6.78739724,6.721490339,6.750841314,7.328309418,6.815990208,7.233603163,0.077570254,0.076817032,0.077152472,0.083752108,0.077897031,0.08266975,4.204466383,3.981891164,3.839471625,4.86510105,4.04709326,4.576102353
