Metric,Value,Station,Month
R2,0.8405893826388791,KAHUKUI Station,12
RMSE,0.092400781980045,KAHUKUI Station,12
MAE,0.0746890965428693,KAHUKUI Station,12
R2,0.8039872219193457,KAHUKUI Station,3
RMSE,0.0910683989906417,KAHUKUI Station,3
MAE,0.0757329184825062,KAHUKUI Station,3
R2,0.8574566337910984,KAHUKUI Station,6
RMSE,0.088185230456235,KAHUKUI Station,6
MAE,0.0722265449436349,KAHUKUI Station,6
R2,0.806464416927318,KAHUKUI Station,9
RMSE,0.0906497439219236,KAHUKUI Station,9
MAE,0.0746046784294059,KAHUKUI Station,9
