Metric,Value,Station,Month
R2,0.8409486022085125,LaJolla Station,12
RMSE,0.2068211070226314,LaJolla Station,12
MAE,0.1729139941312988,LaJolla Station,12
R2,0.8178346745746166,LaJolla Station,3
RMSE,0.209698311781734,LaJolla Station,3
MAE,0.1759055091620117,LaJolla Station,3
R2,0.8488889662503183,LaJolla Station,6
RMSE,0.1994639635374638,LaJolla Station,6
MAE,0.1663171853155463,LaJolla Station,6
R2,0.788663067006645,LaJolla Station,9
RMSE,0.2201062041991211,LaJolla Station,9
MAE,0.180665325240692,LaJolla Station,9
