Metric,Value,Station,Month
R2,0.7384308316921796,Burlington Station,12
RMSE,0.3985622812183687,Burlington Station,12
MAE,0.3423949055488335,Burlington Station,12
R2,0.7569261466008695,Burlington Station,3
RMSE,0.3917281593859944,Burlington Station,3
MAE,0.3466680226115643,Burlington Station,3
R2,0.7399335413686551,Burlington Station,6
RMSE,0.4115788639109905,Burlington Station,6
MAE,0.3619226189389182,Burlington Station,6
R2,0.7241108186018861,Burlington Station,9
RMSE,0.4117393867079178,Burlington Station,9
MAE,0.3602344086225946,Burlington Station,9
R2,0.8377743415770138,HONOLULU Station,12
RMSE,0.0812666942016056,HONOLULU Station,12
MAE,0.0648065183640534,HONOLULU Station,12
R2,0.811314685382191,HONOLULU Station,3
RMSE,0.0715052756332716,HONOLULU Station,3
MAE,0.0584852005509795,HONOLULU Station,3
R2,0.8662862326737617,HONOLULU Station,6
RMSE,0.0703568127516782,HONOLULU Station,6
MAE,0.0562432614462833,HONOLULU Station,6
R2,0.814628157367443,HONOLULU Station,9
RMSE,0.073601624386455,HONOLULU Station,9
MAE,0.0601121105095332,HONOLULU Station,9
R2,0.8218064234999913,KAHUKUI Station,12
RMSE,0.0976929101919676,KAHUKUI Station,12
MAE,0.077589188941164,KAHUKUI Station,12
R2,0.7843031591123855,KAHUKUI Station,3
RMSE,0.0955316770603684,KAHUKUI Station,3
MAE,0.0791368059159371,KAHUKUI Station,3
R2,0.8457622741861309,KAHUKUI Station,6
RMSE,0.0917313226301716,KAHUKUI Station,6
MAE,0.0745195337173073,KAHUKUI Station,6
R2,0.7800878502793381,KAHUKUI Station,9
RMSE,0.0966297333156243,KAHUKUI Station,9
MAE,0.0785470215118487,KAHUKUI Station,9
R2,0.8187648191188015,LaJolla Station,12
RMSE,0.2207737152209987,LaJolla Station,12
MAE,0.1825560518584764,LaJolla Station,12
R2,0.8082147625702464,LaJolla Station,3
RMSE,0.2151640272292002,LaJolla Station,3
MAE,0.1786503532080076,LaJolla Station,3
R2,0.8266527171264637,LaJolla Station,6
RMSE,0.2136362153616058,LaJolla Station,6
MAE,0.1765057154206717,LaJolla Station,6
R2,0.7410478062260057,LaJolla Station,9
RMSE,0.2436432485276314,LaJolla Station,9
MAE,0.1973272447494145,LaJolla Station,9
R2,0.8509171087552052,Nawiliwili Station,12
RMSE,0.0760145774390595,Nawiliwili Station,12
MAE,0.06138632730314,Nawiliwili Station,12
R2,0.8251985891371564,Nawiliwili Station,3
RMSE,0.0699764885483503,Nawiliwili Station,3
MAE,0.0574539885716186,Nawiliwili Station,3
R2,0.8717821934935996,Nawiliwili Station,6
RMSE,0.0712450961489866,Nawiliwili Station,6
MAE,0.0576639406945406,Nawiliwili Station,6
R2,0.8159522331863974,Nawiliwili Station,9
RMSE,0.0740981212083412,Nawiliwili Station,9
MAE,0.0601104065684682,Nawiliwili Station,9
